"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/all_with_default_time.csv --bytes --cpu --disk --page --int --load --mem --net --proc --io --swap --sys --aio --fs --ipc --lock --raw --socket --tcp --udp --unix --vm --vm-adv --zones 1 600",,,,"Date:","23 Mar 2023 13:32:03 -03"
"total cpu usage",,,,,"dsk/total",,"paging",,"interrupts",,,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"io/total",,"swap",,"system",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"raw","sockets",,,,,"tcp sockets",,,,,"udp",,"unix sockets",,,,"virtual memory",,,,"advanced virtual memory",,,,,"zones memory",,,
12.129,4.455,83.292,0.124,0,0,671744,0,0,0,155,0,1.140,1.020,1.220,5415456768,2676715520,7882575872,11067895808,6593,8246,2,0,8,0,40,108527616,914878464,3132,9003,0,14144,180960,0,0,5,84,12,13,83,0,1211,26,33,0,0,7,26,0,7,1,25,15,56,979,55,924,0,1857,3349,2619,0,0,0,0,0,159314,3141,490853,22688
10.414,4.517,84.944,0.125,0,8192,2498560,0,0,0,124,0,1.140,1.020,1.220,5414137856,2681671680,7878938624,11073200128,6532,8073,3,0,16,2,304,108527616,914878464,3195,11185,0,14144,180959,0,0,5,84,12,13,83,0,1211,26,33,0,0,7,26,0,6,1,25,15,56,979,55,924,0,3863,5269,6126,0,0,0,0,0,159314,3141,492375,22688
14.933,3.427,81.640,0,0,0,3727360,0,0,0,125,0,1.210,1.040,1.220,5287772160,2806501376,7880474624,11102072832,6794,8879,3,0,0,0,58,108527616,914878464,3055,9309,0,14144,180987,0,0,5,84,12,13,83,0,1211,26,33,0,0,7,26,0,7,1,25,15,56,979,55,924,0,2024,3524,33884,0,0,0,0,0,159314,3141,522539,22688
11.881,3.342,84.653,0.124,0,0,0,0,0,0,140,0,1.210,1.040,1.220,5287735296,2807144448,7879868416,11102883840,23037,13630,2,0,1,0,0,108527616,914878464,2773,7098,0,14144,180996,0,0,5,84,12,13,83,0,1211,26,33,0,0,7,26,0,7,1,25,15,56,979,55,924,0,585,839,933,0,0,0,0,0,159314,3141,522696,22688
12.144,3.965,83.891,0,0,0,0,0,0,0,127,0,1.210,1.040,1.220,5287768064,2807361536,7879618560,11101114368,7185,13970,2,0,8,0,0,108527616,914878464,3040,8989,0,14144,180996,0,0,5,84,12,13,83,0,1211,26,33,0,0,7,26,0,8,1,25,15,56,979,55,924,0,1572,2723,3121,0,0,0,0,0,159314,3141,523407,22688
11.400,3.470,85.006,0.124,0,0,598016,0,0,0,151,0,1.210,1.040,1.220,5288603648,2808635392,7877509120,11100282880,25395,12945,3,0,4,0,38,108527616,914878464,2883,7768,0,14144,180972,0,0,5,84,12,13,83,0,1211,26,33,0,0,7,26,0,8,1,25,15,56,979,55,924,0,1580,2286,2680,0,0,0,0,0,159314,3141,523060,22688
10.811,3.563,85.504,0.123,0,0,0,0,0,0,166,0,1.210,1.040,1.220,5288480768,2809049088,7877214208,11100573696,6677,9314,1,0,4,0,0,108527616,914878464,2870,7616,0,14176,180968,0,0,5,84,12,13,83,0,1211,26,33,0,0,7,26,0,8,1,25,15,56,979,55,924,0,232,1277,1489,0,0,0,0,0,159314,3141,523161,22688
11.443,3.358,85.075,0.124,0,0,12075008,0,0,0,157,0,1.190,1.040,1.220,5289603072,2807697408,7877443584,11099226112,15769,22328,3,0,1,0,564,108527616,914878464,3089,8346,0,14176,180968,0,0,5,84,12,13,83,0,1212,27,33,0,0,7,28,0,8,0,25,15,56,979,55,924,0,230,2736,2763,0,0,0,0,0,159314,3141,522831,22688
11.236,3.121,85.518,0.125,0,0,0,0,0,0,146,0,1.190,1.040,1.220,5290360832,2805587968,7878795264,11097489408,353785,11872,2,0,0,0,0,108527616,914878464,2856,8214,0,14176,180978,0,0,5,84,12,13,83,0,1211,27,33,0,0,7,27,0,9,0,25,15,56,979,55,924,0,1020,2441,1483,0,0,0,0,0,159314,3141,522316,22688
14.815,2.840,82.346,0,0,0,0,0,0,0,116,0,1.190,1.040,1.220,5293035520,2801373184,7880335360,11094331392,6184,7646,2,0,8,0,0,108527616,914878464,3122,9587,0,14112,181004,0,0,5,84,12,13,83,0,1211,27,33,0,0,7,27,0,8,0,25,15,56,979,55,924,0,3504,4880,3723,0,0,0,0,0,159314,3141,521287,22688
12.147,3.558,84.172,0.123,0,0,483328,0,0,0,153,0,1.190,1.040,1.220,5294481408,2808516608,7871746048,11102666752,37918,14396,2,0,0,0,34,108527616,914878464,3047,7988,0,14112,181013,0,0,5,84,12,13,83,0,1211,27,33,0,0,7,27,0,9,0,25,15,56,979,55,924,0,1406,2021,4010,0,0,0,0,0,159314,3141,522854,22688
11.481,3.333,85.062,0.123,0,0,0,0,0,0,120,0,1.190,1.040,1.220,5296144384,2806853632,7871746048,11104759808,6184,7764,1,0,8,0,0,108527616,914878464,2820,7983,0,14080,181012,0,0,5,84,12,13,83,0,1211,27,33,0,0,7,27,0,8,0,25,15,56,979,55,924,0,689,1341,1585,0,0,0,0,0,159314,3141,522509,22688
11.125,4.079,84.796,0,0,0,10067968,0,0,0,152,0,1.420,1.090,1.240,5292597248,2810400768,7871746048,11109371904,6593,7981,3,0,0,0,118,108527616,914878464,3035,7369,0,14080,181012,0,0,5,84,12,13,83,0,1211,27,33,0,0,7,27,0,8,0,25,15,56,979,55,924,0,268,2070,2527,0,0,0,0,0,159314,3141,523491,22688
11.207,3.325,85.345,0.123,0,0,0,0,0,0,126,0,1.420,1.090,1.240,5293326336,2812370944,7869046784,11109134336,6726,8462,1,0,0,0,0,108527616,914878464,2702,6872,0,14080,180984,0,0,5,84,12,13,83,0,1211,27,33,0,0,7,27,0,8,0,25,15,56,979,55,924,0,403,739,1315,0,0,0,0,0,159314,3141,523972,22688
10.875,5.125,84,0,0,0,0,0,0,0,118,0,1.420,1.090,1.240,5289963520,2819948544,7864832000,11118481408,6184,8004,2,0,34,0,0,108527616,914878464,3299,14734,0,14176,179878,0,0,5,84,12,13,83,0,1211,27,33,0,0,7,27,0,8,0,25,15,56,979,55,924,0,6329,5903,7757,0,0,0,0,0,159314,3141,525822,22688
12.237,3.214,84.425,0.124,0,0,1859584,0,0,0,141,0,1.420,1.090,1.240,5289119744,2821398528,7864225792,11119943680,21999,12552,1,0,1,0,48,108527616,914878464,3042,8934,0,14176,179890,0,0,5,84,12,13,83,0,1211,27,33,0,0,7,27,0,9,0,25,15,56,979,55,924,0,1788,2366,1664,0,0,0,0,0,159314,3141,526176,22688
14.018,2.378,83.479,0.125,0,0,876544,0,0,0,120,0,1.420,1.090,1.240,5289013248,2818453504,7867277312,11120283648,7588,8672,1,0,8,0,50,108527616,914878464,3073,9690,0,14144,179917,0,0,5,84,12,13,83,0,1211,27,33,0,0,7,27,0,9,0,25,15,56,979,55,924,0,4648,6319,4589,0,0,0,0,0,159314,3141,525457,22688
22.924,4.461,72.367,0.248,0,0,10412032,0,0,0,130,0,1.700,1.150,1.260,5313814528,2747703296,7913222144,11049541632,6914,8696,3,0,0,0,1628,108527616,914878464,4965,14320,0,14112,179993,0,0,5,84,12,13,83,0,1211,27,33,0,0,7,27,0,9,0,25,15,56,979,55,924,0,9928,23276,5619,0,0,0,0,0,159314,3141,508254,22688
18.599,4.713,76.306,0.382,0,0,1425408,0,0,0,171,0,1.700,1.150,1.260,5310402560,2760278016,7904059392,11062480896,352942,11128,1,0,0,0,40,108527616,914878464,4162,13864,0,14112,179980,0,0,5,84,12,13,83,0,1211,27,33,0,0,7,27,0,9,0,25,15,56,979,55,924,0,1704,3791,6021,0,0,0,0,0,159314,3141,511128,22688
25.524,5.672,68.681,0.123,0,0,434176,0,0,0,182,0,1.700,1.150,1.260,5321744384,2728083456,7924912128,11019964416,27256,28100,4,0,8,0,6,108527616,914878464,4600,16208,0,14240,179956,0,0,5,84,12,13,83,0,1214,27,33,0,0,7,28,0,9,0,25,17,56,979,55,924,0,8765,16790,8641,0,0,0,0,0,159314,3141,503394,22688
20.303,4.414,75.158,0.126,0,0,794624,0,0,0,148,0,1.700,1.150,1.260,5325860864,2721554432,7927324672,11013472256,66912,13288,3,0,0,0,28,108527616,914878464,4269,12526,0,14240,179963,0,0,5,84,12,13,83,0,1214,27,33,0,0,7,28,0,9,0,25,17,56,979,55,924,0,2535,5931,4996,0,0,0,0,0,159314,3141,501198,22688
13.985,3.589,82.302,0.124,0,0,0,0,0,0,141,0,1.700,1.150,1.260,5332393984,2706083840,7936262144,10998030336,27257,8649,0,0,8,0,0,108527616,914878464,3247,9232,0,14304,179986,0,0,5,84,12,13,83,0,1214,27,33,0,0,7,28,0,9,0,25,17,56,979,55,924,0,4943,8846,10453,0,0,0,0,0,159314,3141,501947,22688
13.259,4.585,81.289,0.867,0,49152,7290880,16384,0,0,124,6,1.570,1.130,1.250,5316927488,2719219712,7938592768,11011178496,6482,7901,3,0,3,6,66,108527616,914878464,3485,9208,0,14240,179941,0,0,5,84,12,13,83,0,1212,27,33,0,0,7,28,0,9,0,25,17,56,977,55,922,1,1571,6269,5599,0,0,0,0,0,159314,3141,501111,22688
17.794,3.133,79.073,0,0,0,0,0,0,0,134,0,1.570,1.130,1.250,5418561536,2610745344,7945433088,10909048832,7645,15225,0,0,0,0,0,108527616,914878464,5107,38196,0,14208,181038,0,0,5,84,12,13,83,0,1212,27,33,0,0,7,28,0,8,0,25,17,56,977,55,922,0,35980,58703,27794,0,0,0,0,0,159314,3141,474747,22688
9.080,3.607,87.189,0.124,0,0,0,0,0,0,167,0,1.570,1.130,1.250,5424222208,2617843712,7932674048,10916167680,6722,8403,0,0,8,0,0,108527616,914878464,2860,7528,0,14208,181010,0,0,5,84,12,13,83,0,1212,27,33,0,0,7,28,0,8,0,25,17,56,977,55,922,0,1423,2587,7383,0,0,0,0,0,159314,3141,476480,22688
9.483,4.064,86.207,0.246,0,0,2588672,0,0,0,123,0,1.570,1.130,1.250,5443149824,2597797888,7933792256,10897195008,6552,7878,0,0,0,0,40,108527616,914878464,2768,6391,0,14240,181056,0,0,5,84,12,13,83,0,1212,27,33,0,0,7,28,0,8,0,25,17,56,977,55,922,0,6277,8723,5720,0,0,0,0,0,159314,3141,473860,22688
10.075,3.856,85.821,0.249,0,0,548864,0,0,0,148,0,1.570,1.130,1.250,5447839744,2601140224,7925755904,10898468864,23921,13770,0,0,8,0,46,108527616,914878464,2819,8488,0,14240,181018,0,0,5,84,12,13,83,0,1212,27,33,0,0,7,28,0,9,0,25,17,56,977,55,922,0,7487,8151,7041,0,0,0,0,0,159314,3141,472402,22688
10.481,3.699,85.203,0.617,0,0,6021120,0,0,0,124,0,1.440,1.110,1.240,5450997760,2598248448,7925489664,10893615104,6681,8172,0,0,0,0,158,108527616,914878464,2745,6596,0,14240,181017,0,0,5,84,12,13,83,0,1211,27,33,0,0,7,28,0,9,0,25,16,56,977,55,922,0,2822,4602,3101,0,0,0,0,0,159314,3141,471696,22688
10.307,3.190,86.380,0.123,0,0,253952,0,0,0,121,0,1.440,1.110,1.240,5445406720,2641715200,7887613952,10935148544,6314,7764,0,0,1,0,46,108527616,914878464,2591,6117,0,14144,180929,0,0,5,84,12,13,83,0,1211,27,33,0,0,7,28,0,9,0,25,16,56,977,55,922,0,344,688,10719,0,0,0,0,0,159314,3141,482192,22688
10.907,3.186,85.539,0.368,0,0,2146304,0,0,0,120,0,1.440,1.110,1.240,5448208384,2638790656,7887736832,10932224000,6294,8198,0,0,8,0,56,108527616,914878464,2745,7441,0,14208,180931,0,0,5,84,12,13,83,0,1211,27,33,0,0,7,28,0,9,0,25,16,56,977,55,922,0,1963,3036,6844,0,0,0,0,0,159314,3141,485458,22688
13.366,2.228,84.406,0,0,0,434176,0,0,0,179,0,1.440,1.110,1.240,5425266688,2659381248,7890087936,10964426752,7651,9804,0,0,0,0,28,108527616,914878464,2778,7381,0,14144,180969,0,0,5,84,12,13,83,0,1211,27,33,0,0,7,28,0,9,0,25,16,56,977,55,922,0,1674,3032,5208,0,0,0,0,0,159314,3141,486445,22688
9.950,3.234,86.692,0.124,0,0,0,0,0,0,159,0,1.440,1.110,1.240,5430120448,2653904896,7890710528,10953129984,16805,20889,0,0,8,0,0,108527616,914878464,2717,7236,0,14144,180970,0,0,5,84,12,13,83,0,1212,27,33,0,0,7,28,0,9,0,25,17,56,977,55,922,0,4069,5820,5027,0,0,0,0,0,159314,3141,485284,22688
9.394,3.708,86.774,0.124,0,0,4923392,0,0,0,138,0,1.650,1.160,1.260,5431091200,2653261824,7890382848,10952491008,9320,94302,0,0,0,0,62,108527616,914878464,2665,6133,0,14144,180969,0,0,5,84,12,13,83,0,1212,27,33,0,0,7,28,0,9,0,25,17,56,977,55,922,0,910,1920,1695,0,0,0,0,0,159314,3141,485127,22688
9.665,3.346,86.989,0,0,0,0,0,0,0,137,0,1.650,1.160,1.260,5438373888,2647195648,7889166336,10945380352,8377,8959,4,0,0,0,0,108527616,914878464,2723,6296,0,14144,180987,0,0,5,84,12,13,83,0,1212,27,33,0,0,7,28,0,9,0,25,17,56,977,55,922,0,6088,8158,5521,0,0,0,0,0,159314,3141,484037,22688
9.494,3.699,86.683,0.123,0,0,0,0,0,0,122,0,1.650,1.160,1.260,5422231552,2663337984,7889166336,10961522688,6294,8472,1,0,7,0,0,108527616,914878464,2625,6698,0,14240,180995,0,0,5,84,12,13,83,0,1212,27,33,0,0,7,28,0,8,0,25,17,56,977,55,922,0,1385,1963,4692,0,0,0,0,0,159314,3141,487587,22688
8.354,2.868,88.653,0.125,0,0,696320,0,0,0,114,0,1.650,1.160,1.260,5423595520,2661904384,7889235968,10960105472,6184,7646,0,0,1,0,26,108527616,914878464,2466,5867,0,14208,180983,0,0,5,84,12,13,83,0,1210,27,33,0,0,7,28,0,8,0,25,17,56,975,55,920,0,479,615,775,0,0,0,0,0,159314,3141,487237,22688
9.777,3.713,86.510,0,0,0,0,0,0,0,157,0,1.650,1.160,1.260,5425020928,2660470784,7889244160,10958688256,6851,8872,0,0,8,0,0,108527616,914878464,2670,7654,0,14176,180984,0,0,5,84,12,13,83,0,1210,27,33,0,0,7,28,0,9,0,25,17,56,975,55,920,0,1461,2007,2352,0,0,0,0,0,159314,3141,486887,22688
13.243,2.351,84.158,0.248,0,0,2646016,0,0,0,151,0,1.670,1.170,1.260,5408481280,2674794496,7891460096,10969899008,23562,13259,0,0,0,0,438,108527616,914878464,2966,7826,0,14112,181012,0,0,5,84,12,13,83,0,1210,27,33,0,0,7,28,0,9,0,25,17,56,975,55,920,0,2216,3761,6799,0,0,0,0,0,159314,3141,490384,22688
9.547,3.672,86.659,0.122,0,0,0,0,0,0,121,0,1.670,1.170,1.260,5412782080,2669744128,7892209664,11094593536,6258,7646,2,0,0,0,0,108527616,914878464,2512,5753,0,14112,181023,0,0,5,84,12,13,83,0,1210,27,33,0,0,7,28,0,9,0,25,17,56,975,55,920,0,5301,5853,3971,0,0,0,0,0,159314,3141,489151,22688
8.458,3.607,87.935,0,0,0,0,0,0,0,129,0,1.670,1.170,1.260,5413507072,2669285376,7891943424,11094134784,8418,10838,2,0,0,0,0,108527616,914878464,2568,6006,0,14112,181022,0,0,5,84,12,13,83,0,1210,27,33,0,0,7,28,0,9,0,25,17,56,975,55,920,0,711,1094,1004,0,0,0,0,0,159314,3141,489039,22688
8.365,3.870,87.640,0.125,0,8192,0,0,0,0,126,0,1.670,1.170,1.260,5429829632,2651353088,7893553152,11107094528,7178,9374,0,0,9,2,0,108527616,914878464,2766,7603,0,14176,181071,0,0,5,84,12,13,83,0,1213,28,33,0,0,7,29,0,9,0,25,17,56,975,55,920,1,5897,7513,3098,0,0,0,0,0,159314,3141,484661,22688
10.074,3.563,86.241,0.123,0,0,1720320,0,0,0,122,0,1.670,1.170,1.260,5378039808,2692284416,7904411648,11097165824,6951,8091,0,0,8,0,40,108527616,914878464,2786,7291,0,14176,181048,0,0,5,84,12,13,83,0,1210,27,33,0,0,7,28,0,10,0,25,17,56,975,55,920,0,2636,6924,15334,0,0,0,0,0,159314,3141,494654,22688
10,3.951,85.556,0.494,0,0,9052160,0,0,0,156,0,1.620,1.170,1.260,5385469952,2688598016,7900667904,11093479424,6294,7958,3,0,0,0,470,108527616,914878464,2906,6940,0,14208,181044,0,0,5,84,12,13,83,0,1210,27,33,0,0,7,28,0,10,0,25,17,56,975,55,920,0,628,2179,3776,0,0,0,0,0,159314,3141,493754,22688
9.542,3.222,87.113,0.124,0,0,491520,0,0,0,125,0,1.620,1.170,1.260,5386776576,2687557632,7900401664,11092447232,6746,8126,0,0,2,0,28,108527616,914878464,2595,6159,0,14208,181038,0,0,5,84,12,13,83,0,1210,27,33,0,0,7,28,0,10,0,25,17,56,975,55,920,0,721,895,941,0,0,0,0,0,159314,3141,493500,22688
11.750,2.250,85.875,0.125,0,0,0,0,0,0,118,0,1.620,1.170,1.260,5297217536,2774970368,7902547968,11104403456,6351,7833,0,0,0,0,0,108527616,914878464,3041,7348,0,14144,181067,0,0,5,84,12,13,83,0,1210,27,33,0,0,7,28,0,9,0,25,17,56,975,55,920,0,2818,4185,25553,0,0,0,0,0,159314,3141,514841,22688
9.642,3.461,86.897,0,0,0,0,0,0,0,126,0,1.620,1.170,1.260,5296021504,2775642112,7903072256,11105075200,6705,8714,0,0,8,0,0,108527616,914878464,2644,6847,0,14176,181081,0,0,5,84,12,13,83,0,1210,27,33,0,0,7,28,0,9,0,25,17,56,975,55,920,0,1974,3161,2590,0,0,0,0,0,159314,3141,515015,22688
9.114,2.747,88.015,0.125,0,0,0,0,0,0,120,0,1.620,1.170,1.260,5304520704,2775568384,7894646784,11105103872,6310,7792,1,0,8,0,0,108527616,914878464,2762,7095,0,14176,181075,0,0,5,84,12,13,83,0,1210,27,33,0,0,7,28,0,9,0,25,17,56,975,55,920,0,1915,2458,4883,0,0,0,0,0,159314,3141,514987,22688
10.657,3.098,85.998,0.248,0,0,0,0,0,0,145,0,1.810,1.220,1.280,5307637760,2775154688,7891943424,11102560256,21925,13618,0,0,0,0,0,108527616,914878464,2638,6759,0,14176,181050,0,0,5,84,12,13,83,0,1213,27,36,0,0,7,28,0,10,0,28,17,56,975,55,920,0,212,749,1449,0,0,0,0,0,159314,3141,514886,22688
9.406,4.084,86.139,0.371,0,0,5644288,0,0,0,164,0,1.810,1.220,1.280,5315104768,2766508032,7893123072,11096383488,7628,9357,2,0,8,0,80,108527616,914878464,2902,8637,0,14112,181097,0,0,5,84,12,13,83,0,1213,27,36,0,0,7,28,0,10,0,28,17,56,975,55,920,0,6748,8753,4941,0,0,0,0,0,159314,3141,512712,22688
9.963,2.952,87.085,0,0,0,0,0,0,0,124,0,1.810,1.220,1.280,5287194624,2794483712,7893057536,11099394048,6314,8688,2,0,0,0,0,108527616,914878464,2610,5768,0,14112,181098,0,0,5,84,12,13,83,0,1213,27,36,0,0,7,28,0,10,0,28,17,56,975,55,920,0,201,708,7151,0,0,0,0,0,159314,3141,519605,22688
9.091,4.423,86.364,0.123,0,0,0,0,0,0,122,0,1.810,1.220,1.280,5284442112,2802446336,7887835136,11097821184,6573,9878,0,0,8,0,0,108527616,914878464,2712,6945,0,14048,179985,0,0,5,84,12,13,83,0,1213,27,36,0,0,7,28,0,10,0,28,17,56,975,55,920,0,1595,2117,5003,0,0,0,0,0,159314,3141,521554,22688
13.325,1.494,85.181,0,0,0,0,0,0,0,120,0,1.810,1.220,1.280,5290463232,2794082304,7890178048,11091341312,6184,7651,0,0,8,0,0,108527616,914878464,2811,8310,0,14112,180013,0,0,5,84,12,13,83,0,1213,27,36,0,0,7,28,0,10,0,28,17,56,975,55,920,0,5657,6999,2281,0,0,0,0,0,159314,3141,519507,22688
9.068,3.106,87.578,0.248,0,8192,0,0,0,0,127,0,1.670,1.200,1.270,5291384832,2792628224,7890710528,11089940480,6735,8150,0,0,1,2,0,108527616,914878464,2583,5842,0,14112,180011,0,0,5,84,12,13,83,0,1210,27,33,0,0,7,28,0,10,0,25,17,56,975,55,920,1,985,1355,657,0,0,0,0,0,159314,3141,519152,22688
9.642,2.843,87.392,0.124,0,0,2482176,0,0,0,128,0,1.670,1.200,1.270,5293019136,2791170048,7890534400,11088044032,7145,8911,0,0,0,0,48,108527616,914878464,2625,5807,0,14144,180020,0,0,5,84,12,13,83,0,1210,27,33,0,0,7,28,0,10,0,25,17,56,975,55,920,0,246,1039,1241,0,0,0,0,0,159314,3141,518796,22688
9.840,3.198,86.962,0,0,0,0,0,0,0,158,0,1.670,1.200,1.270,5295091712,2791485440,7888146432,11088498688,6428,8232,0,0,0,0,0,108527616,914878464,2595,5896,0,14144,179992,0,0,5,84,12,13,83,0,1210,27,33,0,0,7,28,0,9,0,25,17,56,975,55,920,0,74,510,1268,0,0,0,0,0,159314,3141,518873,22688
10.222,3.448,86.084,0.246,0,0,851968,0,0,0,125,0,1.670,1.200,1.270,5294272512,2791370752,7889080320,11092647936,6718,7958,0,0,8,0,30,108527616,914878464,2768,7350,0,14112,180038,0,0,5,84,12,13,83,0,1210,27,33,0,0,7,28,0,9,0,25,17,56,975,55,920,0,7156,8956,5751,0,0,0,0,0,159314,3141,518726,22688
9.618,3.206,87.176,0,0,0,0,0,0,0,125,0,1.670,1.200,1.270,5296500736,2790219776,7888003072,11090321408,6184,8004,0,0,8,0,0,108527616,914878464,2637,6911,0,14112,179951,0,0,5,84,12,13,83,0,1209,27,33,0,0,7,28,0,9,0,25,16,56,975,55,920,0,1410,1938,2633,0,0,0,0,0,159314,3141,518564,22688
9.418,3.098,87.361,0.124,0,0,0,0,0,0,123,0,1.610,1.200,1.270,5297426432,2789285888,7888011264,11089387520,6580,8092,0,0,0,0,0,108527616,914878464,2587,6063,0,14112,179951,0,0,5,84,12,13,83,0,1209,27,33,0,0,7,28,0,9,0,25,16,56,975,55,920,0,110,538,660,0,0,0,0,0,159314,3141,518336,22688
13.267,2.628,83.730,0.375,0,0,18235392,0,0,0,150,0,1.610,1.200,1.270,5302956032,2781519872,7890354176,11088003072,23716,13765,2,0,0,0,864,108527616,914878464,3495,11940,0,14144,179979,0,0,5,84,12,13,83,0,1209,27,33,0,0,7,28,0,10,0,25,16,56,975,55,920,0,923,4569,5140,0,0,0,0,0,159314,3141,516318,22688
9.717,2.952,87.331,0,0,0,0,0,0,0,118,0,1.610,1.200,1.270,5302931456,2781077504,7890821120,11087626240,6314,7646,1,0,0,0,0,108527616,914878464,2620,5886,0,14080,179980,0,0,5,84,12,13,83,0,1209,27,33,0,0,7,28,0,10,0,25,16,56,975,55,920,0,179,781,852,0,0,0,0,0,159314,3141,516332,22688
9.939,3.926,86.012,0.123,0,0,1990656,0,0,0,161,0,1.610,1.200,1.270,5304885248,2779398144,7890546688,11082190848,6573,8322,1,0,8,0,26,108527616,914878464,2689,6989,0,14112,179976,0,0,5,84,12,13,83,0,1207,27,33,0,0,7,28,0,10,0,25,14,56,975,55,920,0,2156,2948,4676,0,0,0,0,0,159314,3141,516812,22688
9.693,5.031,85.153,0.123,0,0,0,0,0,0,128,0,1.610,1.200,1.270,5423247360,2655244288,7896338432,10967437312,6613,8630,0,0,8,0,0,108527616,914878464,3482,37027,0,14144,181048,0,0,5,84,12,13,83,0,1207,27,33,0,0,7,28,0,10,0,25,14,56,975,55,920,0,34945,56628,22669,0,0,0,0,0,159314,3141,485611,22688
10.688,2.580,86.609,0.123,0,0,0,0,0,0,123,0,1.720,1.230,1.280,5424689152,2654269440,7895871488,10966462464,6258,7509,4,0,1,0,0,108527616,914878464,2648,6089,0,14112,181047,0,0,5,84,12,13,83,0,1207,27,33,0,0,7,28,0,10,0,25,14,56,975,55,920,0,789,1166,1746,0,0,0,0,0,159314,3141,485121,22688
9.975,3.695,86.330,0,0,0,5128192,0,0,0,136,0,1.720,1.230,1.280,5441175552,2639220736,7894433792,10959048704,8295,10222,0,0,0,0,58,108527616,914878464,2836,6348,0,14144,181065,0,0,5,84,12,13,83,0,1207,27,33,0,0,7,28,0,10,0,25,14,56,975,55,920,0,5586,8262,4597,0,0,0,0,0,159314,3141,481699,22688
15.233,3.317,81.327,0.123,0,0,0,0,0,0,118,0,1.720,1.230,1.280,5442920448,2637443072,7894466560,10957336576,6356,8132,0,0,1,0,0,108527616,914878464,2686,5858,0,14144,181065,0,0,5,84,12,13,83,0,1207,27,33,0,0,7,28,0,9,0,25,14,56,975,55,920,0,1059,1332,1031,0,0,0,0,0,159314,3141,481265,22688
12.438,2.488,84.950,0.124,0,0,3874816,0,0,0,119,0,1.720,1.230,1.280,5447335936,2630819840,7896674304,10975195136,6604,10934,0,0,8,0,44,108527616,914878464,2899,8366,0,14144,181093,0,0,5,84,12,13,83,0,1207,27,33,0,0,7,28,0,9,0,25,14,56,975,55,920,0,4275,6807,5501,0,0,0,0,0,159314,3141,479144,22688
10.455,3.198,86.347,0,0,0,0,0,0,0,156,0,1.720,1.230,1.280,5450444800,2627035136,7897350144,10971664384,7143,8522,0,0,8,0,0,108527616,914878464,2657,7067,0,14144,181094,0,0,5,84,12,13,83,0,1207,27,33,0,0,7,28,0,8,0,25,14,56,975,55,920,0,1383,2052,2032,0,0,0,0,0,159314,3141,478724,22688
11.138,2.570,86.169,0.122,0,0,0,0,0,0,127,0,1.660,1.220,1.280,5450326016,2625556480,7898947584,10970185728,7932,11555,3,0,0,0,0,108527616,914878464,2568,5906,0,14176,181093,0,0,5,84,12,13,83,0,1207,27,33,0,0,7,28,0,8,0,25,14,56,975,55,920,0,101,1080,1423,0,0,0,0,0,159314,3141,478363,22688
10.974,2.959,85.943,0.123,0,0,7823360,0,0,0,139,0,1.660,1.220,1.280,5452693504,2627477504,7894654976,10970824704,8630,13523,0,0,0,0,138,108527616,914878464,2587,6579,0,14144,181075,0,0,5,84,12,13,83,0,1206,26,33,0,0,7,25,1,9,1,25,14,56,975,55,920,0,495,2408,2662,0,0,0,0,0,159314,3141,478832,22688
10.706,2.920,86.253,0.122,0,0,0,0,0,0,145,0,1.660,1.220,1.280,5453508608,2626658304,7894659072,10970058752,22759,12066,1,0,0,0,0,108527616,914878464,2592,6114,0,14144,181075,0,0,5,84,12,13,83,0,1206,26,33,0,0,7,26,0,8,1,25,14,56,975,55,920,0,48,520,555,0,0,0,0,0,159314,3141,478632,22688
11.221,3.453,85.203,0.123,0,0,622592,0,0,0,134,0,1.660,1.220,1.280,5442002944,2637111296,7895711744,10967998464,7526,11016,0,0,8,0,40,108527616,914878464,2686,8231,0,14112,181121,0,0,5,84,12,13,83,0,1206,26,33,0,0,7,26,0,9,1,25,14,56,975,55,920,0,4372,5809,7432,0,0,0,0,0,159314,3141,481184,22688
9.012,3.333,87.654,0,0,0,0,0,0,0,137,0,1.660,1.220,1.280,5434241024,2644606976,7895973888,10983395328,36524,10956,1,0,8,0,0,108527616,914878464,2541,7129,0,14112,181120,0,0,5,84,12,13,83,0,1206,26,33,0,0,7,26,0,8,1,25,14,56,975,55,920,0,1402,1958,5003,0,0,0,0,0,159314,3141,483014,22688
12.110,1.873,85.893,0.125,0,0,0,0,0,0,163,0,1.610,1.220,1.270,5434212352,2642411520,7898189824,10982830080,6767,8085,1,0,0,0,0,108527616,914878464,2699,7399,0,14144,181147,0,0,5,84,12,13,83,0,1205,25,33,0,0,7,24,0,8,2,25,14,56,975,55,920,0,805,2009,1244,0,0,0,0,0,159314,3141,482478,22688
