"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/vm_page_aio_unix.csv --vm --page --aio --unix 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"virtual memory",,,,"paging",,"async","unix sockets",,,
0,131,130,394,0,0,0,56,868,54,814
0,1257,1773,1381,0,0,0,56,868,54,814
0,1292,1970,4178,0,0,0,56,868,54,814
0,287,355,119,0,0,0,56,868,54,814
0,339,731,517,0,0,0,56,868,54,814
0,38,116,221,0,0,0,56,868,54,814
0,1414,1662,1395,0,0,0,56,868,54,814
0,1397,1691,1529,0,0,0,56,868,54,814
0,254,286,595,0,0,0,56,868,54,814
0,14,243,117,0,0,0,56,868,54,814
0,369,507,931,0,0,0,56,868,54,814
0,2281,2212,1727,0,0,0,56,868,54,814
0,305,473,723,0,0,0,56,868,54,814
0,1498,2003,1931,0,0,0,56,868,54,814
0,11,376,508,0,0,0,56,868,54,814
0,269,94,113,0,0,0,56,868,54,814
0,1365,1503,1438,0,0,0,56,868,54,814
0,34,162,509,0,0,0,56,868,54,814
0,1301,5936,9686,0,0,0,56,868,54,814
0,51440,72898,23873,0,0,0,56,868,54,814
0,916,1121,358,0,0,0,56,868,54,814
0,1297,1554,1430,0,0,0,56,868,54,814
0,25,475,931,0,0,0,56,868,54,814
0,1565,1651,1516,0,0,0,56,868,54,814
0,5071,6069,1608,0,0,0,56,868,54,814
0,23,129,5166,0,0,0,56,868,54,814
