"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/net_mem_sys_fs_time_vm-adv_socket_aio.csv --net --mem --sys --fs --time --vm-adv --socket --aio 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"net/total",,"memory usage",,,,"system",,"filesystem",,"system","advanced virtual memory",,,,,"sockets",,,,,"async"
7466,8039,5346447360,2669465600,7958687744,11151020032,2771,8447,14048,183126,Mar-23 13:45:11,0,0,0,0,0,1206,27,33,0,0,0
6184,7989,5348388864,2666541056,7959670784,11148120064,2406,5702,14048,183126,Mar-23 13:45:12,0,0,0,0,0,1206,27,33,0,0,0
6740,8490,5341573120,2674151424,7958876160,11155734528,2507,5900,14048,183125,Mar-23 13:45:13,0,0,0,0,0,1206,27,33,0,0,0
6615,9804,5342838784,2675040256,7956721664,11154214912,2705,6204,14048,183098,Mar-23 13:45:14,0,0,0,0,0,1206,27,33,0,0,0
17762,12767,5347524608,2670751744,7956324352,11149987840,2782,7496,14048,183098,Mar-23 13:45:15,0,0,0,0,0,1206,27,33,0,0,0
6997,8902,5348917248,2669359104,7956324352,11148595200,2816,7169,14080,183098,Mar-23 13:45:16,0,0,0,0,0,1206,27,33,0,0,0
9170,10688,5353463808,2662711296,7958425600,11135950848,2737,6573,14080,183155,Mar-23 13:45:17,0,0,0,0,0,1206,27,33,0,0,0
6294,8051,5262761984,2752311296,7959527424,11130888192,2593,7297,14048,183137,Mar-23 13:45:18,0,0,0,0,0,1206,27,33,0,0,0
6224,8602,5263454208,2752143360,7959003136,11130814464,2628,5763,14048,183137,Mar-23 13:45:19,0,0,0,0,0,1206,27,33,0,0,0
23365,12796,5265096704,2750500864,7959003136,11129184256,2767,7940,14048,183136,Mar-23 13:45:20,0,0,0,0,0,1206,27,33,0,0,0
9415,18605,5261697024,2755743744,7957159936,11132055552,2631,7096,14048,183109,Mar-23 13:45:21,0,0,0,0,0,1206,27,33,0,0,0
18274,14334,5262098432,2755923968,7956578304,11132243968,2717,6127,14048,183112,Mar-23 13:45:22,0,0,0,0,0,1207,28,33,0,0,0
9505,12346,5260591104,2757660672,7956348928,11132923904,2635,6009,14048,183108,Mar-23 13:45:23,0,0,0,0,0,1206,27,33,0,0,0
7180,8882,5256187904,2767171584,7951237120,11159228416,2666,6192,14048,181999,Mar-23 13:45:24,0,0,0,0,0,1206,27,33,0,0,0
6258,7646,5252165632,2767912960,7954518016,11162107904,2855,8412,14112,182038,Mar-23 13:45:25,0,0,0,0,0,1206,27,33,0,0,0
6893,8713,5252087808,2768576512,7953932288,11162775552,2744,7071,14112,182035,Mar-23 13:45:26,0,0,0,0,0,1206,27,33,0,0,0
6314,7783,5257719808,2765242368,7951634432,11157000192,3933,11384,14080,182008,Mar-23 13:45:27,0,0,0,0,0,1206,27,33,0,0,0
6184,8264,5257891840,2765066240,7951634432,11156828160,2610,5853,14048,182008,Mar-23 13:45:28,0,0,0,0,0,1206,27,33,0,0,0
6294,7840,5256478720,2766000128,7952113664,11156434944,2607,5920,14048,182021,Mar-23 13:45:29,0,0,0,0,0,1206,27,33,0,0,0
22299,14716,5257695232,2765307904,7951589376,11155701760,2680,8493,14048,182013,Mar-23 13:45:30,0,0,0,0,0,1207,28,33,0,0,0
25073,13760,5257801728,2764144640,7952646144,11154554880,2683,7398,14048,182005,Mar-23 13:45:31,0,0,0,0,0,1203,26,33,0,0,0
6184,7646,5267308544,2753097728,7954186240,11152576512,2991,8606,14048,182042,Mar-23 13:45:32,0,0,0,0,0,1203,26,33,0,0,0
8082,12839,5390614528,2624196608,7959781376,11029184512,3317,34163,14048,183104,Mar-23 13:45:33,0,0,0,0,0,1203,26,33,0,0,0
36336,9846,5390774272,2624540672,7959277568,11029557248,2646,5876,14048,183103,Mar-23 13:45:34,0,0,0,0,0,1203,26,33,0,0,0
6184,7788,5391728640,2625716224,7957147648,11028602880,2602,6859,14080,183074,Mar-23 13:45:35,0,0,0,0,0,1203,26,33,0,0,0
6616,8126,5393854464,2623766528,7956971520,11026382848,2666,7168,14016,183075,Mar-23 13:45:36,0,0,0,0,0,1203,26,33,0,0,0
6294,7840,5395255296,2621841408,7957495808,11024474112,2490,5796,14048,183075,Mar-23 13:45:37,0,0,0,0,0,1203,26,33,0,0,0
7057,8446,5398683648,2618974208,7956934656,11068952576,2597,5885,14048,183074,Mar-23 13:45:38,0,0,0,0,0,1203,26,33,0,0,0
6550,8206,5414895616,2600239104,7959457792,11047985152,2837,7798,14048,183103,Mar-23 13:45:39,0,0,0,0,0,1203,26,33,0,0,0
6437,8076,5374996480,2639958016,7959638016,11060744192,2591,6952,14048,183112,Mar-23 13:45:40,0,0,0,0,0,1203,26,33,0,0,0
7843,11999,5359636480,2654789632,7960166400,11075579904,2659,7863,14016,183113,Mar-23 13:45:41,0,0,0,0,0,1203,26,33,0,0,0
21986,9837,5345644544,2671362048,7957585920,11103342592,2600,6024,14048,183085,Mar-23 13:45:42,0,0,0,0,0,1203,26,33,0,0,0
7240,8821,5344583680,2672652288,7957356544,11105099776,2648,5890,14048,183085,Mar-23 13:45:43,0,0,0,0,0,1203,26,33,0,0,0
6184,7646,5344845824,2672394240,7957352448,11104657408,2571,6028,14048,183088,Mar-23 13:45:44,0,0,0,0,0,1205,26,33,0,0,0
6468,7840,5344247808,2672525312,7957819392,11104800768,2548,6848,14016,183092,Mar-23 13:45:45,0,0,0,0,0,1203,26,33,0,0,0
7511,8455,5303611392,2711154688,7959826432,11153793024,2756,8559,14048,183113,Mar-23 13:45:46,0,0,0,0,0,1203,26,33,0,0,0
6294,7840,5307674624,2706952192,7959961600,11150544896,2496,6079,14080,183113,Mar-23 13:45:47,0,0,0,0,0,1203,26,33,0,0,0
6290,7769,5258375168,2756149248,7960064000,11151499264,2515,5849,14080,183123,Mar-23 13:45:48,0,0,0,0,0,1203,26,33,0,0,0
6632,8004,5259825152,2740088832,7974674432,11133091840,3265,7960,14080,183163,Mar-23 13:45:49,0,0,0,0,0,1207,26,33,0,0,0
6380,8205,5260718080,2738114560,7975755776,11131117568,2641,6075,14080,183161,Mar-23 13:45:50,0,0,0,0,0,1207,26,33,0,0,0
7005,8640,5266280448,2736631808,7971676160,11158753280,2818,8311,14112,183148,Mar-23 13:45:51,0,0,0,0,0,1207,26,33,0,0,0
24347,15378,5268230144,2737573888,7968784384,11159732224,2701,6626,14080,183147,Mar-23 13:45:52,0,0,0,0,0,1207,26,33,0,0,0
7987,9638,5268762624,2734276608,7971549184,11157999616,2662,7532,14112,183174,Mar-23 13:45:53,0,0,0,0,0,1207,26,33,0,0,0
12227,11920,5276102656,2736742400,7961743360,11164991488,2614,6170,14112,183163,Mar-23 13:45:54,0,0,0,0,0,1208,26,33,0,0,0
6294,7977,5277405184,2735333376,7961849856,11163664384,2591,5682,14080,183174,Mar-23 13:45:55,0,0,0,0,0,1208,26,33,0,0,0
13229,14629,5300428800,2705743872,7968366592,11134578688,4135,19845,14080,183326,Mar-23 13:45:56,0,0,0,0,0,1225,26,33,0,0,0
18473,19899,5331542016,2675949568,7967064064,11102437376,7960,11626,14080,183303,Mar-23 13:45:57,0,0,0,0,0,1226,26,33,0,0,0
6813,10531,5333180416,2675306496,7966068736,11101982720,4912,8588,14112,183302,Mar-23 13:45:58,0,0,0,0,0,1226,26,33,0,0,0
8001,14143,5332070400,2676637696,7965847552,11103318016,2543,6155,14112,183305,Mar-23 13:45:59,0,0,0,0,0,1227,26,33,0,0,0
59317,15294,5312425984,2693115904,7969013760,11119026176,5063,11183,14144,183338,Mar-23 13:46:00,0,0,0,0,0,1230,26,36,0,0,0
6184,8570,5320441856,2685239296,7968874496,11111395328,2928,9093,14144,183338,Mar-23 13:46:01,0,0,0,0,0,1230,26,36,0,0,0
6431,9713,5315760128,2695569408,7963226112,11106459648,3191,9011,14176,182232,Mar-23 13:46:02,0,0,0,0,0,1230,26,36,0,0,0
23674,14053,5328076800,2683183104,7963271168,11098714112,3071,10244,14208,182240,Mar-23 13:46:03,0,0,0,0,0,1230,26,36,0,0,0
6314,7906,5314768896,2698342400,7961419776,11111501824,2540,5765,14176,182214,Mar-23 13:46:04,0,0,0,0,0,1230,26,36,0,0,0
6184,8004,5315989504,2697637888,7960903680,11110813696,2529,5724,14144,182212,Mar-23 13:46:05,0,0,0,0,0,1227,26,33,0,0,0
6967,8507,5319438336,2694184960,7960907776,11107373056,2719,8139,14112,182207,Mar-23 13:46:06,0,0,0,0,0,1227,26,33,0,0,0
6762,8464,5309530112,2701627392,7963373568,11122049024,2720,7231,14144,182235,Mar-23 13:46:07,0,0,0,0,0,1227,26,33,0,0,0
6461,8027,5309169664,2700406784,7964954624,11120783360,2579,5845,14176,182237,Mar-23 13:46:08,0,0,0,0,0,1227,26,33,0,0,0
6396,8043,5302427648,2708520960,7963582464,11111886848,2843,6171,14176,182232,Mar-23 13:46:09,0,0,0,0,0,1227,26,33,0,0,0
6973,8568,5423497216,2582876160,7968157696,10977333248,3425,35003,14240,183304,Mar-23 13:46:10,0,0,0,0,0,1227,26,33,0,0,0
8725,10062,5449818112,2558439424,7966273536,10950291456,2860,8597,14176,183280,Mar-23 13:46:11,0,0,0,0,0,1227,26,33,0,0,0
10783,95368,5452304384,2555428864,7966797824,10947305472,2666,6058,14176,183281,Mar-23 13:46:12,0,0,0,0,0,1227,26,33,0,0,0
10131,14657,5439082496,2568765440,7966683136,10960703488,2803,7311,14208,183281,Mar-23 13:46:13,0,0,0,0,0,1227,26,33,0,0,0
22608,9755,5420204032,2585698304,7968624640,10979921920,2803,7565,14176,183308,Mar-23 13:46:14,0,0,0,0,0,1227,26,33,0,0,0
6184,8004,5419950080,2586087424,7968575488,10980261888,2521,5863,14208,183307,Mar-23 13:46:15,0,0,0,0,0,1227,26,33,0,0,0
6726,8438,5376167936,2636128256,7962316800,11030331392,2818,8877,14112,183155,Mar-23 13:46:16,0,0,0,0,0,1211,26,33,0,0,0
6184,7646,5396451328,2618744832,7959416832,11016372224,2711,6807,14080,183120,Mar-23 13:46:17,0,0,0,0,0,1211,26,33,0,0,0
6184,7509,5388742656,2626400256,7959470080,11015491584,2641,5985,14112,183130,Mar-23 13:46:18,0,0,0,0,0,1211,26,33,0,0,0
6294,7840,5380419584,2636967936,7957225472,11025874944,2603,6043,14080,183073,Mar-23 13:46:19,0,0,0,0,0,1207,26,33,0,0,0
7082,8939,5376172032,2640740352,7957700608,11028865024,2680,6060,14048,183076,Mar-23 13:46:20,0,0,0,0,0,1207,26,33,0,0,0
8155,13933,5390458880,2624458752,7959711744,11020316672,2872,8663,14048,183103,Mar-23 13:46:21,0,0,0,0,0,1207,26,33,0,0,0
8979,10524,5389389824,2625658880,7959580672,11021549568,2605,7019,14080,183101,Mar-23 13:46:22,0,0,0,0,0,1207,26,33,0,0,0
7723,11980,5371473920,2643337216,7959818240,11039236096,2558,5979,14112,183100,Mar-23 13:46:23,0,0,0,0,0,1206,26,33,0,0,0
20157,12531,5385723904,2630164480,7958740992,11024699392,2713,6918,14112,183097,Mar-23 13:46:24,0,0,0,0,0,1206,26,33,0,0,0
9628,9030,5381672960,2635522048,7957434368,11143294976,2518,5794,14112,183083,Mar-23 13:46:25,0,0,0,0,0,1205,26,33,0,0,0
6913,8950,5382713344,2634403840,7957512192,11142217728,2667,7338,14080,183082,Mar-23 13:46:26,0,0,0,0,0,1205,26,33,0,0,0
6294,7821,5374676992,2641457152,7958495232,11149271040,2764,7110,14080,183082,Mar-23 13:46:27,0,0,0,0,0,1205,26,33,0,0,0
6184,7783,5351677952,2661490688,7961460736,11166814208,2710,7242,14048,183111,Mar-23 13:46:28,0,0,0,0,0,1205,26,33,0,0,0
6184,7646,5353541632,2661191680,7959908352,11166646272,2546,5910,14016,183105,Mar-23 13:46:29,0,0,0,0,0,1203,26,33,0,0,0
6368,7840,5354655744,2660073472,7959912448,11165532160,2599,5960,14048,183105,Mar-23 13:46:30,0,0,0,0,0,1203,26,33,0,0,0
6710,8710,5351165952,2665914368,7957561344,11170603008,2696,7243,14048,183075,Mar-23 13:46:31,0,0,0,0,0,1203,26,33,0,0,0
6294,7840,5363527680,2652971008,7958142976,11153616896,2722,7398,14112,183077,Mar-23 13:46:32,0,0,0,0,0,1203,26,33,0,0,0
6593,7991,5364879360,2651729920,7958032384,11152789504,2494,5906,14080,183086,Mar-23 13:46:33,0,0,0,0,0,1203,26,33,0,0,0
22489,13360,5368172544,2648535040,7957934080,11149340672,2637,6769,14080,183087,Mar-23 13:46:34,0,0,0,0,0,1203,26,33,0,0,0
25210,12951,5364244480,2650054656,7960342528,11154812928,2685,8134,14080,183115,Mar-23 13:46:35,0,0,0,0,0,1203,26,33,0,0,0
22504,10146,5363757056,2650017792,7960866816,11153760256,2747,7075,14112,183113,Mar-23 13:46:36,0,0,0,0,0,1202,25,33,0,0,0
6696,8355,5363535872,2650501120,7960604672,11154022400,2617,6658,14112,183114,Mar-23 13:46:37,0,0,0,0,0,1203,25,34,0,0,0
7421,8583,5234221056,2787524608,7952896000,11157143552,2726,5880,14112,181974,Mar-23 13:46:38,0,0,0,0,0,1202,25,33,0,0,0
7158,8284,5247279104,2776117248,7951245312,11142004736,2717,6210,14112,181969,Mar-23 13:46:39,0,0,0,0,0,1202,25,33,0,0,0
6294,7703,5251411968,2770284544,7952945152,11140145152,2597,5694,14080,181985,Mar-23 13:46:40,0,0,0,0,0,1202,25,33,0,0,0
6314,7646,5251354624,2769989632,7953297408,11139776512,2606,7007,14048,181985,Mar-23 13:46:41,0,0,0,0,0,1202,25,33,0,0,0
6184,8122,5254352896,2765021184,7955267584,11142766592,2807,8252,14048,182013,Mar-23 13:46:42,0,0,0,0,0,1202,25,33,0,0,0
6573,8459,5255225344,2764189696,7955226624,11141971968,2598,6023,14048,182012,Mar-23 13:46:43,0,0,0,0,0,1202,25,33,0,0,0
6296,7799,5256077312,2762784768,7955779584,11140599808,4139,10932,14080,182013,Mar-23 13:46:44,0,0,0,0,0,1202,25,33,0,0,0
6270,7889,5254787072,2766729216,7953125376,11142414336,2512,5946,14048,181984,Mar-23 13:46:45,0,0,0,0,0,1202,25,33,0,0,0
24244,14447,5255921664,2765000704,7953719296,11140476928,2675,7893,14016,181985,Mar-23 13:46:46,0,0,0,0,0,1202,25,33,0,0,0
6882,8122,5257695232,2762936320,7954010112,11138437120,2741,7463,14048,181985,Mar-23 13:46:47,0,0,0,0,0,1202,25,33,0,0,0
6294,7703,5291208704,2724954112,7958478848,11134361600,4465,35150,14048,183055,Mar-23 13:46:48,0,0,0,0,0,1202,25,33,0,0,0
6184,7788,5290749952,2723221504,7960670208,11139010560,2952,7739,14080,183083,Mar-23 13:46:49,0,0,0,0,0,1202,25,33,0,0,0
6388,7646,5292179456,2721787904,7960674304,11137601536,2581,5827,14080,183083,Mar-23 13:46:50,0,0,0,0,0,1202,25,33,0,0,0
6857,8799,5292392448,2721656832,7960592384,11137470464,2740,7266,14080,183083,Mar-23 13:46:51,0,0,0,0,0,1202,25,33,0,0,0
6184,8004,5287763968,2728300544,7958577152,11130114048,2564,6844,14080,183056,Mar-23 13:46:52,0,0,0,0,0,1202,25,33,0,0,0
6533,8265,5285736448,2730065920,7958839296,11129487360,2546,5894,14080,183053,Mar-23 13:46:53,0,0,0,0,0,1202,25,33,0,0,0
10364,9827,5267701760,2749747200,7957192704,11130990592,2618,6075,14112,183049,Mar-23 13:46:54,0,0,0,0,0,1203,25,33,0,0,0
6184,7783,5276180480,2739986432,7958474752,11120533504,2459,5774,14048,183064,Mar-23 13:46:55,0,0,0,0,0,1203,25,33,0,0,0
7024,9333,5269094400,2744029184,7961518080,11173642240,2964,9389,14112,183094,Mar-23 13:46:56,0,0,0,0,0,1204,26,33,0,0,0
23107,13204,5266792448,2746224640,7961624576,11173232640,2586,7106,14048,183094,Mar-23 13:46:57,0,0,0,0,0,1203,25,33,0,0,0
6481,7788,5267787776,2745769984,7961100288,11172765696,2533,5770,14048,183093,Mar-23 13:46:58,0,0,0,0,0,1203,25,33,0,0,0
23441,14372,5271810048,2744131584,7958716416,11168743424,2741,6862,14016,183065,Mar-23 13:46:59,0,0,0,0,0,1202,24,33,0,0,0
6224,7646,5270306816,2745102336,7959248896,11169722368,2613,5940,14016,183065,Mar-23 13:47:00,0,0,0,0,0,1202,24,33,0,0,0
6184,7646,5270626304,2744844288,7959187456,11169476608,2692,7029,14016,183064,Mar-23 13:47:01,0,0,0,0,0,1202,24,33,0,0,0
6294,7958,5239451648,2776453120,7958753280,11150356480,3066,9770,14080,183066,Mar-23 13:47:02,0,0,0,0,0,1202,24,33,0,0,0
6569,7991,5242454016,2770866176,7961337856,11149086720,2883,7337,14048,183104,Mar-23 13:47:03,0,0,0,0,0,1202,24,33,0,0,0
6742,7840,5243527168,2769211392,7961919488,11155550208,2545,5822,14048,183105,Mar-23 13:47:04,0,0,0,0,0,1202,24,33,0,0,0
6184,7788,5243191296,2770071552,7961395200,11156418560,2485,5708,14080,183104,Mar-23 13:47:05,0,0,0,0,0,1202,24,33,0,0,0
6783,8313,5241335808,2773004288,7960317952,11157225472,2588,6918,14048,183074,Mar-23 13:47:06,0,0,0,0,0,1202,24,33,0,0,0
7913,12448,5234057216,2781605888,7958994944,11171819520,2778,7856,14080,183073,Mar-23 13:47:07,0,0,0,0,0,1202,24,33,0,0,0
31806,14866,5236092928,2778959872,7959605248,11169198080,2611,6222,14048,183077,Mar-23 13:47:08,0,0,0,0,0,1202,24,33,0,0,0
8391,8951,5241483264,2775461888,7957712896,11164377088,2698,6352,14048,183071,Mar-23 13:47:09,0,0,0,0,0,1202,24,33,0,0,0
21932,19324,5240840192,2772140032,7961677824,11154829312,2978,8393,14016,183106,Mar-23 13:47:10,0,0,0,0,0,1203,24,33,0,0,0
9545,10589,5240242176,2772725760,7961690112,11155685376,2951,7341,14048,183113,Mar-23 13:47:11,0,0,0,0,0,1203,24,33,0,0,0
6461,8164,5241368576,2771005440,7962284032,11153977344,2636,6985,14048,183115,Mar-23 13:47:12,0,0,0,0,0,1203,24,33,0,0,0
7389,9025,5239652352,2775859200,7959146496,11157250048,2634,5991,14048,183086,Mar-23 13:47:13,0,0,0,0,0,1203,24,33,0,0,0
11287,95199,5240311808,2774958080,7959388160,11155517440,2697,6028,14048,183086,Mar-23 13:47:14,0,0,0,0,0,1203,24,33,0,0,0
6294,7982,5243248640,2771496960,7959912448,11152105472,2634,6125,14048,183087,Mar-23 13:47:15,0,0,0,0,0,1203,24,33,0,0,0
6616,8126,5244485632,2770259968,7959912448,11150872576,2661,7095,14048,183086,Mar-23 13:47:16,0,0,0,0,0,1203,24,33,0,0,0
6184,7764,5236346880,2781970432,7956377600,11155714048,2699,8778,14016,182004,Mar-23 13:47:17,0,0,0,0,0,1203,24,33,0,0,0
23515,13437,5237485568,2780491776,7956717568,11155693568,2557,6668,14016,182015,Mar-23 13:47:18,0,0,0,0,0,1203,24,33,0,0,0
6184,7772,5239320576,2778587136,7956787200,11153797120,2511,5767,14016,182016,Mar-23 13:47:19,0,0,0,0,0,1203,24,33,0,0,0
6424,7840,5240262656,2779713536,7954825216,11147816960,3384,10294,14016,181989,Mar-23 13:47:20,0,0,0,0,0,1203,24,33,0,0,0
8345,11425,5243494400,2776981504,7954309120,11144994816,2632,7183,14080,181986,Mar-23 13:47:21,0,0,0,0,0,1203,24,33,0,0,0
6351,7975,5244973056,2775547904,7954264064,11149168640,2737,6939,14048,181986,Mar-23 13:47:22,0,0,0,0,0,1203,24,33,0,0,0
10728,13257,5245644800,2775101440,7954038784,11148730368,2663,6478,14048,181985,Mar-23 13:47:23,0,0,0,0,0,1202,24,33,0,0,0
6184,8004,5243301888,2774790144,7956692992,11150897152,2653,7467,14112,182010,Mar-23 13:47:24,0,0,0,0,0,1202,24,33,0,0,0
6294,7977,5262684160,2753802240,7958298624,11131703296,2569,6568,14112,182015,Mar-23 13:47:25,0,0,0,0,0,1202,24,33,0,0,0
6783,8313,5396877312,2615844864,7962062848,11000279040,3583,35884,14112,183089,Mar-23 13:47:26,0,0,0,0,0,1202,24,33,0,0,0
6314,7627,5401276416,2613628928,7959879680,10995957760,2723,7627,14112,183055,Mar-23 13:47:27,0,0,0,0,0,1202,24,33,0,0,0
6650,9135,5401415680,2613211136,7960154112,10995306496,2686,5993,14080,183057,Mar-23 13:47:28,0,0,0,0,0,1203,25,33,0,0,0
23473,12570,5402025984,2613051392,7959703552,10995167232,2616,6570,14080,183057,Mar-23 13:47:29,0,0,0,0,0,1202,24,33,0,0,0
6270,8110,5399822336,2615382016,7959576576,10997506048,2552,5997,14048,183055,Mar-23 13:47:30,0,0,0,0,0,1202,24,33,0,0,0
6690,8286,5384478720,2628186112,7962116096,11016699904,2737,7302,14016,183084,Mar-23 13:47:31,0,0,0,0,0,1202,24,33,0,0,0
6184,7764,5393760256,2618286080,7962734592,11016282112,2724,8592,14048,183083,Mar-23 13:47:32,0,0,0,0,0,1202,24,33,0,0,0
6573,8327,5395910656,2616578048,7962292224,11014934528,2649,6049,14080,183092,Mar-23 13:47:33,0,0,0,0,0,1202,24,33,0,0,0
6388,7646,5386952704,2625458176,7962370048,11014021120,2530,5718,14080,183093,Mar-23 13:47:34,0,0,0,0,0,1202,24,33,0,0,0
37623,14170,5389934592,2624663552,7960182784,11010838528,2748,6864,14048,183065,Mar-23 13:47:35,0,0,0,0,0,1202,24,33,0,0,0
6726,8320,5390368768,2623950848,7960461312,11010277376,2665,5885,14016,183066,Mar-23 13:47:36,0,0,0,0,0,1202,24,33,0,0,0
6184,7764,5391015936,2623557632,7960207360,11009912832,2791,8132,14048,183064,Mar-23 13:47:37,0,0,0,0,0,1202,24,33,0,0,0
6184,7646,5384994816,2627297280,7962488832,11012132864,2912,7433,14048,183093,Mar-23 13:47:38,0,0,0,0,0,1202,24,33,0,0,0
8292,12914,5386383360,2625908736,7962488832,11011493888,2611,6647,14016,183094,Mar-23 13:47:39,0,0,0,0,0,1202,24,33,0,0,0
21916,9709,5393281024,2618408960,7963090944,10996334592,2625,6395,14016,183095,Mar-23 13:47:40,0,0,0,0,0,1202,24,33,0,0,0
6294,7840,5390184448,2621865984,7962730496,11016269824,2553,5856,14048,183104,Mar-23 13:47:41,0,0,0,0,0,1202,24,33,0,0,0
6184,7509,5393494016,2620948480,7960338432,11012960256,2800,8163,14048,183075,Mar-23 13:47:42,0,0,0,0,0,1202,24,33,0,0,0
6505,8246,5392850944,2620018688,7961911296,11011911680,2576,6067,14016,183077,Mar-23 13:47:43,0,0,0,0,0,1202,24,33,0,0,0
6294,8119,5394935808,2619572224,7960272896,11011473408,2586,5795,14016,183074,Mar-23 13:47:44,0,0,0,0,0,1202,24,33,0,0,0
6184,7646,5380988928,2631069696,7962722304,11011674112,2726,7380,14016,183102,Mar-23 13:47:45,0,0,0,0,0,1202,24,33,0,0,0
6895,8819,5382828032,2629181440,7962771456,11009822720,2573,5853,14016,183102,Mar-23 13:47:46,0,0,0,0,0,1202,24,33,0,0,0
6424,7958,5392707584,2618568704,7963504640,11001634816,2911,8509,14016,183104,Mar-23 13:47:47,0,0,0,0,0,1202,24,33,0,0,0
6882,7646,5393711104,2618138624,7962931200,11004563456,2616,5732,13984,183112,Mar-23 13:47:48,0,0,0,0,0,1202,24,33,0,0,0
6294,7703,5393055744,2621091840,7960633344,11005202432,2507,5760,13984,183084,Mar-23 13:47:49,0,0,0,0,0,1202,24,33,0,0,0
23365,13498,5391745024,2622402560,7960633344,11006517248,2739,6810,13952,183085,Mar-23 13:47:50,0,0,0,0,0,1202,24,33,0,0,0
6747,9113,5392596992,2621026304,7961157632,11005140992,2780,6265,13952,183086,Mar-23 13:47:51,0,0,0,0,0,1202,24,33,0,0,0
6294,7840,5389946880,2621935616,7962898432,11013566464,2753,8931,14048,183117,Mar-23 13:47:52,0,0,0,0,0,1201,24,33,0,0,0
6639,8128,5389041664,2622627840,7963111424,11014590464,2555,6529,14048,183109,Mar-23 13:47:53,0,0,0,0,0,1201,24,33,0,0,0
6632,7646,5369880576,2648502272,7956398080,11031801856,2536,5689,14048,181953,Mar-23 13:47:54,0,0,0,0,0,1201,24,33,0,0,0
6380,7946,5385723904,2630656000,7958401024,11015409664,2573,5990,14080,182000,Mar-23 13:47:55,0,0,0,0,0,1201,24,33,0,0,0
6783,8808,5384531968,2631950336,7958298624,11016790016,2610,6122,14048,182010,Mar-23 13:47:56,0,0,0,0,0,1201,24,33,0,0,0
6727,8064,5377536000,2641342464,7955902464,11165552640,2548,6892,14048,181983,Mar-23 13:47:57,0,0,0,0,0,1202,24,33,0,0,0
12766,12055,5375619072,2643529728,7955632128,11167551488,2780,7343,14080,181983,Mar-23 13:47:58,0,0,0,0,0,1202,24,33,0,0,0
6354,7686,5372239872,2644180992,7958360064,11171983360,2678,7338,14080,182011,Mar-23 13:47:59,0,0,0,0,0,1202,24,33,0,0,0
6592,9914,5373153280,2643533824,7958093824,11172163584,2482,6184,14080,182017,Mar-23 13:48:00,0,0,0,0,0,1208,25,36,0,0,0
23274,13467,5376749568,2638815232,7959146496,11167318016,3393,10449,14048,182015,Mar-23 13:48:01,0,0,0,0,0,1205,24,36,0,0,0
6314,8928,5393465344,2621652992,7959592960,11150077952,2854,9635,14080,182018,Mar-23 13:48:02,0,0,0,0,0,1205,24,36,0,0,0
6573,9506,5523619840,2492755968,7958335488,11020173312,3562,36599,15104,183077,Mar-23 13:48:03,0,0,0,0,0,1205,24,36,0,0,0
6184,7509,5533843456,2479951872,7960915968,11010002944,2569,5731,14048,183055,Mar-23 13:48:04,0,0,0,0,0,1205,24,36,0,0,0
6294,7840,5535031296,2478764032,7960915968,11026497536,2506,5632,14048,183052,Mar-23 13:48:05,0,0,0,0,0,1202,24,33,0,0,0
6783,8455,5538873344,2471960576,7963877376,11023335424,2826,7388,14048,183081,Mar-23 13:48:06,0,0,0,0,0,1202,24,33,0,0,0
6351,8191,5540540416,2470711296,7963459584,11022139392,2539,6940,14048,183081,Mar-23 13:48:07,0,0,0,0,0,1202,24,33,0,0,0
6591,8145,5543583744,2467729408,7963398144,11019182080,2710,7059,14016,183080,Mar-23 13:48:08,0,0,0,0,0,1202,24,33,0,0,0
6396,7901,5544259584,2467041280,7963410432,11018498048,2557,5603,14016,183080,Mar-23 13:48:09,0,0,0,0,0,1202,24,33,0,0,0
6351,7975,5559701504,2450923520,7964086272,11000655872,3069,6100,14016,183081,Mar-23 13:48:10,0,0,0,0,0,1202,24,33,0,0,0
8742,12882,5387788288,2625601536,7961321472,11007209472,2848,7194,13984,183064,Mar-23 13:48:11,0,0,0,0,0,1202,24,33,0,0,0
24309,11386,5390340096,2622763008,7961608192,11004055552,2815,7507,14016,183065,Mar-23 13:48:12,0,0,0,0,0,1202,24,33,0,0,0
6703,8601,5390577664,2620342272,7963791360,11051868160,2907,8514,14048,183090,Mar-23 13:48:13,0,0,0,0,0,1202,24,33,0,0,0
6526,7801,5390745600,2619625472,7964340224,11051175936,2525,5786,14016,183091,Mar-23 13:48:14,0,0,0,0,0,1202,24,33,0,0,0
6184,7783,5391958016,2618937344,7963815936,11050471424,2539,5545,14016,183090,Mar-23 13:48:15,0,0,0,0,0,1202,24,33,0,0,0
6979,8613,5393018880,2619203584,7962488832,11049410560,2587,6068,14048,183044,Mar-23 13:48:16,0,0,0,0,0,1202,24,33,0,0,0
10621,94468,5415153664,2595504128,7964053504,11028426752,2756,7663,14080,183092,Mar-23 13:48:17,0,0,0,0,0,1202,24,33,0,0,0
7058,9297,5413888000,2598567936,7962251264,11024240640,2795,7206,14048,183075,Mar-23 13:48:18,0,0,0,0,0,1202,24,33,0,0,0
