"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/cpu_io_load_udp_tcp_disk_mem_int_vm.csv --cpu --io --load --udp --tcp --disk --mem --int --vm 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"total cpu usage",,,,,"io/total",,"load avg",,,"udp",,"tcp sockets",,,,,"dsk/total",,"memory usage",,,,"interrupts",,,"virtual memory",,,
3.270,0.881,95.723,0.126,0,0,0,0.370,1.910,3.440,17,6,7,11,0,7,1,0,0,3461341184,1876520960,10548604928,12802502656,0,23,0,0,488,529,1059
2.757,1.378,95.739,0.125,0,0,0,0.370,1.910,3.440,17,6,7,11,0,8,1,0,0,3461804032,1874984960,10549678080,12800978944,0,36,0,0,1347,1850,1463
2.519,1.008,95.970,0.504,0,0,44,0.370,1.910,3.440,17,6,7,11,0,8,1,0,1499136,3461156864,1875361792,10549948416,12801355776,0,16,0,0,276,545,540
3.015,1.131,95.854,0,0,0,0,0.370,1.910,3.440,17,6,7,11,0,8,1,0,0,3461685248,1875091456,10549690368,12801114112,0,46,0,0,30,117,256
2.764,2.764,94.347,0.126,0,0,0,0.340,1.880,3.420,17,6,7,11,0,8,1,0,0,3276288000,2060128256,10550050816,12798013440,0,15,0,0,1430,1754,65315
3.287,1.264,95.449,0,0,0,0,0.340,1.880,3.420,17,6,7,13,0,8,1,0,0,3276521472,2060685312,10549260288,12798578688,0,34,0,0,535,309,569
2.778,1.136,95.960,0.126,0,0,0,0.340,1.880,3.420,17,6,7,13,0,5,1,0,0,3277250560,2059411456,10549805056,12797358080,0,30,0,0,1594,1657,1506
2.128,1.001,96.621,0.250,0,0,0,0.340,1.880,3.420,17,6,7,13,0,5,1,0,0,3277168640,2059177984,10550120448,12796751872,0,18,0,0,119,606,454
1.759,0.754,97.111,0.377,0,0,12,0.340,1.880,3.420,17,6,7,13,0,5,1,0,196608,3277668352,2058674176,10550124544,12796301312,0,16,0,0,146,257,144
2.753,1.126,96.120,0,0,0,0,0.310,1.850,3.400,17,6,7,13,0,5,1,0,0,3276464128,2059620352,10550382592,12797255680,0,44,0,0,1491,1780,1843
1.757,0.878,97.240,0.125,0,0,0,0.310,1.850,3.400,17,6,7,13,0,5,1,0,0,3277045760,2059849728,10549571584,12797198336,0,18,0,0,485,301,390
2.764,1.633,95.603,0,0,0,0,0.310,1.850,3.400,17,6,7,13,0,5,1,0,0,3278188544,2058190848,10550087680,12795539456,0,20,0,0,1397,1904,1874
2.743,0.998,95.885,0.374,0,0,0,0.310,1.850,3.400,17,6,7,13,0,5,1,0,0,3278610432,2057916416,10549940224,12796030976,0,14,0,0,67,157,113
2.128,1.126,96.496,0.250,0,0,0,0.310,1.850,3.400,17,6,7,13,0,6,1,0,0,3278340096,2058452992,10549673984,12796567552,0,29,0,0,72,153,416
2.642,1.258,95.849,0.252,0,0,36,0.290,1.810,3.380,17,6,7,13,0,6,1,0,311296,3278135296,2059411456,10548920320,12797599744,0,34,0,0,1738,1741,1707
2.868,1.372,95.636,0.125,0,0,0,0.290,1.810,3.380,17,6,7,13,0,6,1,0,0,3277918208,2058883072,10549665792,12797181952,0,44,0,0,32,386,225
3.258,1.629,94.987,0.125,0,0,0,0.290,1.810,3.380,17,6,7,13,0,6,1,0,0,3170992128,2172620800,10542854144,12799582208,0,15,0,0,1285,1711,29346
1.882,0.878,97.240,0,0,0,0,0.290,1.810,3.380,17,6,7,13,0,6,1,0,0,3171467264,2171621376,10543378432,12798595072,0,14,0,0,389,409,265
2.402,0.379,96.713,0.506,0,0,450,0.290,1.810,3.380,17,6,7,13,0,5,1,0,3227648,3172106240,2171183104,10543177728,12798156800,0,17,0,0,306,501,596
2.882,1.378,95.614,0.125,0,0,18,0.270,1.780,3.370,17,6,7,13,0,5,1,0,1490944,3171622912,2172620800,10542223360,12799479808,0,17,0,0,1423,1723,1861
2.635,0.627,96.738,0,0,0,0,0.270,1.780,3.370,17,6,7,13,0,5,1,0,0,3170021376,2172891136,10543554560,12799803392,0,19,0,0,46,545,381
3.526,1.763,94.584,0.126,0,0,0,0.270,1.780,3.370,17,6,7,13,0,5,1,0,0,3171647488,2171932672,10542882816,12797509632,0,35,0,0,4644,4720,4227
2.764,0.754,96.482,0,0,0,0,0.270,1.780,3.370,17,6,7,13,0,5,1,0,0,3172610048,2171211776,10542641152,12796788736,0,14,0,0,276,90,85
1.763,0.504,97.607,0.126,0,0,0,0.270,1.780,3.370,17,6,7,13,0,5,1,0,0,3172311040,2170966016,10543185920,12796542976,0,16,0,0,7,230,90
3.764,1.506,94.228,0.502,0,0,16,0.240,1.750,3.350,17,6,7,13,0,6,1,0,483328,3173822464,2170781696,10541858816,12796403712,0,34,0,0,1330,1476,1884
2.136,0.754,97.111,0,0,0,0,0.240,1.750,3.350,17,6,7,13,0,6,1,0,0,3173507072,2170281984,10542673920,12795904000,0,22,0,0,72,372,110
3,1.625,95.250,0.125,0,0,0,0.240,1.750,3.350,17,6,7,13,0,6,1,0,0,3174957056,2168254464,10543251456,12793909248,0,16,0,0,1554,1776,1675
2.258,1.255,96.487,0,0,0,0,0.240,1.750,3.350,17,6,7,13,0,6,1,0,0,3175596032,2168049664,10542817280,12792729600,0,38,0,0,510,649,602
3.258,0.877,95.614,0.251,0,0,326,0.240,1.750,3.350,17,6,7,13,0,6,1,0,3293184,3176304640,2167300096,10542858240,12791640064,0,16,0,0,216,705,807
4.511,1.378,94.110,0,0,0,0,0.220,1.720,3.330,17,6,7,13,0,5,1,0,0,3177779200,2166091776,10542592000,12790468608,0,19,0,0,1822,2517,2649
4.660,1.134,94.081,0.126,0,0,22,0.220,1.720,3.330,17,6,7,13,0,6,1,0,434176,3177693184,2165620736,10543149056,12789989376,0,26,0,0,318,634,679
3.015,1.508,95.352,0.126,0,0,0,0.220,1.720,3.330,17,6,7,13,0,6,1,0,0,3178680320,2164641792,10543140864,12789022720,0,29,0,0,1285,1640,1644
3.238,0.996,95.766,0,0,0,0,0.220,1.720,3.330,17,6,7,13,0,6,1,0,0,3178639360,2164408320,10543415296,12788789248,0,22,0,0,19,224,118
1.887,0.755,97.107,0.252,0,0,24,0.220,1.720,3.330,17,6,7,13,0,6,1,0,196608,3178627072,2164678656,10543157248,12789067776,0,44,0,0,111,153,244
5.190,2.025,92.785,0,0,0,0,0.290,1.710,3.320,17,6,7,13,0,6,1,0,0,3380969472,1956446208,10549039104,12588236800,0,22,0,0,53396,74750,21704
4.020,1.382,94.472,0.126,0,0,0,0.290,1.710,3.320,17,6,7,13,0,7,1,0,0,3381923840,1954922496,10549608448,12596432896,0,32,0,0,221,802,510
3.262,1.129,95.609,0,0,0,0,0.290,1.710,3.320,17,6,7,13,0,7,1,0,0,3378266112,1958862848,10549325824,12608274432,0,22,0,0,1296,1671,4364
2.516,0.881,96.226,0.377,0,0,0,0.290,1.710,3.320,17,6,7,13,0,7,1,0,0,3378724864,1958633472,10549096448,12608045056,0,20,0,0,73,100,96
2.130,0.877,96.491,0.501,0,0,32,0.290,1.710,3.320,17,6,7,13,0,7,1,0,2162688,3378950144,1957888000,10549616640,12607299584,0,15,0,0,281,514,373
3.034,2.276,94.690,0,0,2,2424,0.340,1.700,3.300,17,6,7,13,0,7,1,8192,15998976,3382972416,1955184640,10548297728,12604633088,0,61,0,0,1324,3426,3776
2.372,1.124,96.380,0.125,0,0,0,0.340,1.700,3.300,17,6,7,11,0,8,1,0,0,3382407168,1954938880,10549108736,12604391424,0,25,0,0,21,355,114
4.020,1.633,94.221,0.126,0,0,0,0.340,1.700,3.300,17,6,7,11,0,8,1,0,0,3386322944,1949835264,10550296576,12788625408,0,15,0,0,5926,6991,4998
3.258,0.877,95.865,0,0,0,0,0.340,1.700,3.300,17,6,7,11,0,8,1,0,0,3382161408,1954062336,10550231040,12789055488,0,16,0,0,956,503,1703
2.390,0.629,96.855,0.126,0,0,0,0.340,1.700,3.300,17,6,7,11,0,8,1,0,0,3382407168,1953808384,10550239232,12788838400,0,14,0,0,6,219,101
2.144,1.135,96.469,0.252,0,0,16,0.320,1.670,3.290,17,6,7,11,0,8,1,0,1540096,3383123968,1952563200,10550767616,12797849600,0,16,0,0,1313,1842,1950
2.378,1.126,96.370,0.125,0,0,0,0.320,1.670,3.290,17,6,7,11,0,8,1,0,0,3383431168,1953038336,10549985280,12798058496,0,37,0,0,95,118,289
2.273,1.010,96.717,0,0,0,0,0.320,1.670,3.290,17,6,7,11,0,8,1,0,0,3385720832,1950494720,10550239232,12795506688,0,15,0,0,1544,1774,1638
2.384,1.004,96.487,0.125,0,0,0,0.320,1.670,3.290,17,6,7,11,0,9,1,0,0,3385622528,1950601216,10550231040,12795613184,0,23,0,0,5,135,135
2.387,1.382,95.980,0.251,0,0,0,0.320,1.670,3.290,17,6,7,11,0,9,1,0,0,3200434176,2136006656,10550013952,12798521344,0,30,0,0,19,255,45236
3.885,2.005,93.860,0.251,0,0,18,0.290,1.640,3.270,17,6,7,11,0,9,1,0,319488,3198820352,2138546176,10549088256,12799815680,0,17,0,0,1685,1916,2275
3.125,1.125,95.625,0.125,0,0,0,0.290,1.640,3.270,17,6,7,11,0,9,1,0,0,3197947904,2138025984,10550480896,12799176704,0,16,0,0,290,422,239
2.013,1.132,96.855,0,0,0,0,0.290,1.640,3.270,17,6,7,11,0,8,1,0,0,3198947328,2137309184,10550198272,12798459904,0,49,0,0,1300,1665,1767
2.628,0.751,96.496,0.125,0,0,0,0.290,1.640,3.270,17,6,7,11,0,8,1,0,0,3199389696,2136829952,10550235136,12797980672,0,16,0,0,20,228,122
3.011,0.753,96.236,0,0,0,0,0.290,1.640,3.270,17,6,7,11,0,8,1,0,0,3199336448,2136625152,10550493184,12797775872,0,15,0,0,71,105,99
1.889,1.763,95.592,0.756,0,0,24,0.270,1.620,3.250,17,6,7,11,0,8,1,0,188416,3197915136,2138329088,10550210560,12799483904,0,20,0,0,1890,1827,1928
3.141,1.382,95.352,0.126,0,0,416,0.270,1.620,3.250,17,6,7,11,0,8,1,0,4587520,3200081920,2135879680,10550493184,12797034496,0,16,0,0,9,820,674
2.897,1.259,95.844,0,0,0,0,0.270,1.620,3.250,17,6,7,11,0,8,1,0,0,3199750144,2136236032,10550468608,12797054976,0,16,0,0,2461,2734,2238
2.760,0.753,96.361,0.125,0,0,0,0.270,1.620,3.250,17,6,7,11,0,8,1,0,0,3199090688,2137853952,10549510144,12798750720,0,37,0,0,230,270,366
2.506,0.752,96.742,0,0,0,0,0.270,1.620,3.250,17,6,7,11,0,9,1,0,0,3198271488,2137346048,10550837248,12798242816,0,22,0,0,316,549,162
2.889,0.754,95.729,0.628,0,0,12,0.250,1.590,3.230,17,6,7,11,0,9,1,0,589824,3199516672,2137423872,10549514240,12798345216,0,32,0,0,1298,1449,1822
2.525,0.505,96.970,0,0,0,0,0.250,1.590,3.230,17,6,7,11,0,9,1,0,0,3199242240,2136887296,10550325248,12797808640,0,14,0,0,24,374,129
3.004,1.752,95.119,0.125,0,0,0,0.250,1.590,3.230,17,6,7,11,0,8,1,0,0,3198951424,2136641536,10550861824,12797562880,0,20,0,0,1461,1622,1375
2.506,1.003,96.491,0,0,0,0,0.250,1.590,3.230,17,6,7,11,0,8,1,0,0,3199156224,2137501696,10549796864,12798439424,0,16,0,0,712,674,915
2.875,1,96,0.125,0,0,0,0.250,1.590,3.230,17,6,7,11,0,8,1,0,0,3165609984,2176499712,10544345088,12809220096,0,32,0,0,579,1072,10693
3.015,0.879,95.854,0.251,0,0,0,0.230,1.560,3.210,17,6,7,11,0,8,1,0,0,3167981568,2175324160,10543149056,12808151040,0,16,0,0,1558,1626,1977
2.519,0.504,96.725,0.252,0,0,0,0.230,1.560,3.210,17,6,7,11,0,8,1,0,0,3167092736,2175102976,10544259072,12807385088,0,18,0,0,76,508,507
3.880,2.128,93.492,0.501,0,0,42,0.230,1.560,3.210,17,6,7,11,0,9,1,0,1343488,3166732288,2176552960,10543169536,12808855552,0,43,0,0,1755,1754,2130
3.125,1,95.750,0.125,0,0,0,0.230,1.560,3.210,17,6,7,11,0,9,1,0,0,3166961664,2175516672,10543976448,12807831552,0,16,0,0,278,346,85
2.010,0.628,97.362,0,0,0,0,0.230,1.560,3.210,17,6,7,11,0,9,1,0,0,3167059968,2174779392,10544615424,12807155712,0,17,0,0,20,263,126
3.011,1.004,95.859,0.125,0,0,0,0.210,1.540,3.200,17,6,7,11,0,10,1,0,0,3165675520,2177482752,10543296512,12809867264,0,58,0,0,1388,1466,1830
3.509,1.378,94.737,0.376,0,0,410,0.210,1.540,3.200,17,6,7,11,0,10,1,0,3751936,3164426240,2177884160,10544144384,12810903552,0,24,0,0,157,989,879
2.256,1.504,96.115,0.125,0,0,16,0.210,1.540,3.200,17,6,7,11,0,10,1,0,483328,3163770880,2178015232,10544668672,12811034624,0,20,0,0,1555,1846,1708
3.875,0.875,95.125,0.125,0,0,0,0.210,1.540,3.200,17,6,7,11,0,10,1,0,0,3164356608,2177867776,10544230400,12810969088,0,18,0,0,299,400,443
2.387,0.628,96.985,0,0,0,0,0.210,1.540,3.200,17,6,7,11,0,10,1,0,0,3164368896,2177626112,10544459776,12810727424,0,13,0,0,74,221,83
2.871,1.498,95.506,0.125,0,0,0,0.190,1.510,3.180,17,6,7,11,0,9,1,0,0,3163537408,2178998272,10543919104,12812107776,0,21,0,0,1293,1386,1624
1.513,0.631,97.856,0,0,0,0,0.190,1.510,3.180,17,6,7,11,0,9,1,0,0,3164536832,2177716224,10544201728,12810833920,0,36,0,0,304,379,222
7.673,3.270,88.805,0.252,0,0,54,0.190,1.510,3.180,17,8,7,11,0,9,1,0,540672,3185553408,2146496512,10554404864,12779704320,0,68,0,0,17341,22347,11223
2.516,0.881,96.478,0.126,0,0,0,0.190,1.510,3.180,17,8,7,11,0,9,1,0,0,3184988160,2145972224,10555494400,12777537536,0,16,0,0,557,2839,2905
2.270,0.757,96.847,0.126,0,0,62,0.190,1.510,3.180,17,8,7,11,0,9,1,0,499712,3186352128,2144874496,10555228160,12776476672,0,18,0,0,498,338,493
5.646,2.760,91.468,0.125,0,0,0,0.170,1.490,3.160,17,8,7,11,0,9,1,0,0,3370184704,1961668608,10554601472,12593328128,0,24,0,0,48907,71070,24433
2.519,1.008,96.474,0,0,0,0,0.170,1.490,3.160,17,8,7,11,0,9,1,0,0,3371999232,1952747520,10561708032,12589346816,0,16,0,0,3645,5526,2490
3.266,1.759,94.849,0.126,0,0,0,0.170,1.490,3.160,17,8,7,10,1,9,2,0,0,3373809664,1951744000,10560901120,12588048384,0,43,0,0,2933,3009,3152
3.004,0.751,95.995,0.250,0,0,0,0.170,1.490,3.160,17,8,7,11,0,10,1,0,0,3373772800,1951240192,10561441792,12587552768,0,34,0,0,5,231,118
1.761,0.755,97.107,0.377,0,0,0,0.170,1.490,3.160,17,8,7,11,0,10,1,0,0,3374514176,1950752768,10561187840,12587167744,0,15,0,0,201,411,380
2.267,0.504,96.851,0.378,0,0,46,0.160,1.460,3.140,17,8,7,11,0,10,1,0,2359296,3376353280,1950236672,10559864832,12586651648,0,16,0,0,1285,1222,1508
2.757,0.877,96.241,0.125,0,0,0,0.160,1.460,3.140,17,8,7,11,0,10,1,0,0,3376328704,1948692480,10561433600,12585181184,0,15,0,0,295,854,590
3.262,1.129,95.358,0.251,0,0,42,0.160,1.460,3.140,17,8,7,11,0,9,1,0,1384448,3377311744,1947930624,10561212416,12585082880,0,20,0,0,1144,1532,1354
2.886,1.255,95.859,0,0,0,0,0.160,1.460,3.140,17,8,7,11,0,9,1,0,0,3298795520,2027393024,10560266240,12662235136,0,30,0,0,1279,1230,21408
2.256,0.877,96.742,0.125,0,0,0,0.160,1.460,3.140,17,8,7,11,0,9,1,0,0,3298467840,2026397696,10561589248,12660502528,0,15,0,0,18,492,429
2.013,0.755,97.233,0,0,0,0,0.230,1.450,3.130,17,8,7,11,0,9,1,0,0,3300237312,2025160704,10561056768,12659273728,0,17,0,0,73,367,491
3.133,1.003,95.739,0.125,0,0,0,0.230,1.450,3.130,17,8,7,11,0,8,1,0,0,3300433920,2024955904,10561064960,12659073024,0,14,0,0,1349,1405,1595
8.323,4.035,87.011,0.631,0,0,2790,0.230,1.450,3.130,17,9,7,11,0,8,1,0,19931136,3328548864,1996509184,10561396736,12630913024,0,44,0,0,25676,26149,16262
11.713,3.149,84.887,0.252,0,0,102,0.230,1.450,3.130,17,11,7,11,0,9,1,0,3538944,3353714688,1973923840,10558816256,12608446464,0,73,0,0,31762,35327,30846
5.151,1.256,93.342,0.251,0,0,164,0.230,1.450,3.130,17,11,7,11,0,9,1,0,3309568,3362435072,1965690880,10558328832,12600360960,0,66,0,0,7895,9879,7986
3.023,0.756,96.222,0,0,0,0,0.210,1.430,3.120,17,11,7,11,0,9,1,0,0,3354198016,1972994048,10559262720,12715520000,0,29,0,0,118,663,3246
9.434,1.761,88.428,0.377,0,0,146,0.210,1.430,3.120,20,11,7,11,0,9,1,0,3612672,3349798912,1977778176,10558877696,12720504832,0,62,0,0,17317,19063,22736
2.879,1.001,95.995,0.125,0,0,2,0.210,1.430,3.120,20,11,7,11,0,8,1,0,253952,3350532096,1977303040,10558619648,12720054272,0,19,0,0,96,247,242
2.500,1.375,96.125,0,0,0,0,0.210,1.430,3.120,20,11,7,11,0,8,1,0,0,3352907776,1975267328,10558279680,12718018560,0,17,0,0,1348,1514,1611
2.013,0.881,96.981,0.126,0,0,0,0.210,1.430,3.120,20,11,7,11,0,8,1,0,0,3353612288,1974018048,10558824448,12716769280,0,15,0,0,5,365,217
3.388,0.878,95.734,0,0,0,0,0.190,1.400,3.100,20,14,7,11,0,8,1,0,0,3351658496,1975672832,10559123456,12718477312,0,33,0,0,109,547,679
1.641,1.010,97.222,0.126,0,0,32,0.190,1.400,3.100,17,11,7,11,0,6,1,0,237568,3352174592,1975148544,10559131648,12717940736,0,24,0,0,1308,1392,1403
2.253,1.001,96.621,0.125,0,0,0,0.190,1.400,3.100,17,11,7,11,0,6,1,0,0,3351904256,1975685120,10558865408,12718477312,0,24,0,0,90,628,746
3.133,1.504,95.363,0,0,0,0,0.190,1.400,3.100,17,11,7,11,0,6,1,0,0,3239231488,2089046016,10558177280,12717973504,0,15,0,0,2252,2640,29699
3.141,1.131,95.603,0.126,0,0,0,0.190,1.400,3.100,17,11,7,11,0,7,1,0,0,3238686720,2088546304,10559221760,12717502464,0,26,0,0,688,558,332
2.996,1.373,95.630,0,0,0,0,0.180,1.380,3.080,17,11,7,11,0,7,1,0,0,3237855232,2089902080,10558697472,12718866432,0,26,0,0,16,358,511
2.381,1.378,95.614,0.627,0,0,36,0.180,1.380,3.080,17,11,7,11,0,7,1,0,294912,3237793792,2089631744,10559029248,12718395392,0,39,0,0,1495,1704,1578
5.549,1.513,92.686,0.252,0,0,60,0.180,1.380,3.080,17,11,7,11,0,7,1,0,417792,3208171520,2119122944,10559160320,12747935744,0,17,0,0,455,814,10604
4.899,1.005,94.095,0,0,0,0,0.180,1.380,3.080,17,11,7,11,0,7,1,0,0,3203424256,2125467648,10557562880,12754280448,0,14,0,0,2075,2042,3512
3.011,1.631,94.605,0.753,0,0,0,0.180,1.380,3.080,17,10,7,11,0,7,1,0,0,3200536576,2133377024,10552541184,12757233664,0,17,0,0,20,498,2015
2.767,0.755,96.226,0.252,0,0,82,0.240,1.370,3.070,17,10,7,11,0,6,1,0,1359872,3199500288,2134052864,10552901632,12758110208,0,17,0,0,409,911,553
3.750,1.500,94.750,0,0,0,0,0.240,1.370,3.070,17,10,7,11,0,6,1,0,0,3186196480,2150354944,10549903360,12774453248,0,20,0,0,1436,1453,4595
4.020,1.884,93.970,0.126,0,0,754,0.240,1.370,3.070,17,10,7,11,0,6,1,0,6307840,3160006656,2181947392,10544500736,12805947392,0,48,0,0,295,1118,6692
3.137,1.129,95.609,0.125,0,0,0,0.240,1.370,3.070,17,10,7,11,0,6,1,0,0,3162259456,2181001216,10543194112,12805025792,0,14,0,0,1459,1549,1786
1.889,0.756,97.355,0,0,0,0,0.240,1.370,3.070,17,10,7,11,0,6,1,0,0,3160313856,2182086656,10544054272,12805746688,0,15,0,0,73,393,958
2.008,1.129,96.738,0.125,0,0,0,0.220,1.350,3.050,17,10,7,11,0,7,1,0,0,3158659072,2183204864,10544590848,12806864896,0,41,0,0,81,591,420
2.638,1.508,95.729,0.126,0,0,26,0.220,1.350,3.050,17,10,7,11,0,7,1,0,737280,3160178688,2181951488,10544324608,12805636096,0,21,0,0,2029,1710,1838
2.642,0.755,96.478,0.126,0,0,0,0.220,1.350,3.050,17,10,7,11,0,7,1,0,0,3159388160,2182553600,10544545792,12805894144,0,15,0,0,230,721,566
3.639,1.506,94.856,0,0,0,0,0.220,1.350,3.050,17,10,7,12,0,7,1,0,0,3159138304,2183172096,10544177152,12807225344,0,43,0,0,1947,2018,2115
2.384,0.878,96.612,0.125,0,0,0,0.220,1.350,3.050,17,10,7,11,1,7,1,0,0,3159633920,2182410240,10544443392,12806463488,0,21,0,0,42,264,96
2.264,0.881,96.604,0.252,0,0,0,0.210,1.330,3.040,17,10,7,11,1,6,1,0,0,3160641536,2182721536,10543124480,12806492160,0,16,0,0,345,305,891
2.519,1.008,96.222,0.252,0,0,28,0.210,1.330,3.040,17,9,7,11,1,6,1,0,417792,3160428544,2182070272,10543988736,12805660672,0,15,0,0,1317,1688,1439
2.253,0.626,96.996,0.125,0,0,24,0.210,1.330,3.040,17,8,7,11,1,6,1,0,1138688,3159224320,2182750208,10544513024,12806369280,0,18,0,0,479,1165,774
2.390,1.258,96.352,0,0,0,0,0.210,1.330,3.040,17,8,7,11,0,6,1,0,0,3160182784,2182045696,10544259072,12805689344,0,17,0,0,1283,1385,2045
2.264,0.881,96.730,0.126,0,0,0,0.210,1.330,3.040,17,8,7,11,0,6,1,0,0,3160903680,2181582848,10544001024,12805226496,0,34,0,0,207,112,150
2.130,0.627,97.243,0,0,0,0,0.190,1.310,3.020,17,7,7,11,0,6,1,0,0,3160899584,2181861376,10543726592,12805505024,0,14,0,0,17,219,628
5.051,2.652,91.919,0.379,0,0,18,0.190,1.310,3.020,17,7,7,11,0,7,1,0,2007040,3356229632,1979850752,10550407168,12609871872,0,34,0,0,52844,75067,22596
3.643,1.508,94.724,0.126,0,0,0,0.190,1.310,3.020,17,7,7,10,1,7,2,0,0,3357216768,1978843136,10550427648,12658278400,0,25,0,0,761,1289,864
2.757,1.880,95.363,0,0,0,0,0.190,1.310,3.020,17,7,7,11,0,7,1,0,0,3357454336,1978109952,10550923264,12657848320,0,36,0,0,1858,1849,1592
2.767,0.629,96.478,0.126,0,0,0,0.190,1.310,3.020,17,7,7,11,0,7,1,0,0,3357966336,1977864192,10550657024,12657602560,0,14,0,0,17,82,229
2.781,1.011,96.207,0,0,0,0,0.170,1.290,3,17,7,7,11,0,7,1,0,0,3359256576,1977618432,10549612544,12657356800,0,36,0,0,94,136,360
3.375,1.750,94.500,0.375,0,0,0,0.170,1.290,3,17,6,7,11,0,7,1,0,0,3358179328,1977372672,10550935552,12657123328,0,17,0,0,1304,1780,1394
2.889,0.754,96.231,0.126,0,0,20,0.170,1.290,3,17,6,7,11,0,6,1,0,212992,3373101056,1962319872,10551066624,12644024320,0,19,0,0,4795,5903,2177
3.137,1.129,95.609,0.125,0,0,0,0.170,1.290,3,17,6,7,11,0,6,1,0,0,3371147264,1963909120,10551431168,12647251968,0,16,0,0,1605,1844,2074
2.136,0.628,97.111,0.126,0,0,0,0.170,1.290,3,17,6,7,11,0,6,1,0,0,3371053056,1963687936,10551746560,12647718912,0,14,0,0,171,190,84
2.247,1.373,96.380,0,0,0,0,0.160,1.260,2.990,17,6,7,11,0,6,1,0,0,3327381504,2008690688,10550415360,12802134016,0,20,0,0,2,114,12375
3.764,1.380,94.730,0.125,0,0,0,0.160,1.260,2.990,17,6,7,11,0,6,1,0,0,3320143872,2015121408,10551222272,12800212992,0,27,0,0,1503,1669,3652
2.393,1.008,96.348,0.252,0,0,20,0.160,1.260,2.990,17,6,7,11,0,7,1,0,368640,3320418304,2015121408,10550947840,12800212992,0,43,0,0,33,340,488
3.145,1.384,95.346,0.126,0,0,0,0.160,1.260,2.990,17,6,7,11,0,7,1,0,0,3322400768,2012594176,10551492608,12797706240,0,16,0,0,1347,1636,1510
2.642,0.629,96.730,0,0,0,0,0.160,1.260,2.990,17,6,7,11,0,7,1,0,0,3323146240,2011832320,10551508992,12797210624,0,15,0,0,28,270,475
3.137,1.255,95.483,0.125,0,0,0,0.150,1.240,2.970,17,6,7,11,0,7,1,0,0,3322519552,2012962816,10551005184,12798136320,0,16,0,0,265,97,351
2.273,0.884,96.717,0.126,0,0,32,0.150,1.240,2.970,17,6,7,11,0,7,1,0,245760,3322458112,2012426240,10551603200,12797669376,0,15,0,0,2010,2264,1770
3.137,2.008,94.730,0.125,0,0,0,0.150,1.240,2.970,17,6,7,11,0,7,1,0,0,3168923648,2165628928,10551934976,12801110016,0,33,0,0,1644,1955,39158
2.897,1.637,95.340,0.126,0,0,1646,0.150,1.240,2.970,17,6,7,11,0,7,1,0,19873792,3172093952,2162442240,10551926784,12797968384,0,15,0,0,1275,3912,3886
2.513,0.754,96.734,0,0,0,0,0.150,1.240,2.970,17,6,7,11,0,6,1,0,0,3173179392,2161623040,10551660544,12797149184,0,15,0,0,258,100,241
2.384,0.753,96.738,0.125,0,0,66,0.130,1.220,2.960,17,6,7,11,0,6,1,0,1687552,3174715392,2160603136,10551144448,12796141568,0,16,0,0,23,435,577
2.513,1.131,96.231,0.126,0,0,0,0.130,1.220,2.960,17,6,7,11,0,6,1,0,0,3174092800,2160627712,10551742464,12796186624,0,14,0,0,1362,1646,1496
2.008,0.878,97.114,0,0,0,0,0.130,1.220,2.960,17,6,7,11,0,6,1,0,0,3172519936,2162454528,10551488512,12796174336,0,17,0,0,9,385,918
2.764,1.382,95.729,0.126,0,0,0,0.130,1.220,2.960,17,6,7,11,0,7,1,0,0,3170299904,2164060160,10552102912,12797255680,0,63,0,0,2974,3080,2101
1.880,0.627,97.368,0.125,0,0,0,0.130,1.220,2.960,17,6,7,11,0,7,1,0,0,3170488320,2164084736,10551889920,12797296640,0,15,0,0,19,84,241
2.256,0.752,96.491,0.501,0,0,28,0.120,1.200,2.940,17,6,7,11,0,7,1,0,172032,3171516416,2164113408,10550833152,12797325312,0,17,0,0,72,123,375
2.516,1.006,96.478,0,0,0,0,0.120,1.200,2.940,17,6,7,11,0,7,1,0,0,3170705408,2163601408,10552156160,12796882944,0,15,0,0,1340,1789,1385
1.887,0.881,97.107,0.126,0,0,0,0.120,1.200,2.940,17,6,7,11,0,7,1,0,0,3171168256,2163408896,10551885824,12796690432,0,18,0,0,263,360,481
1.884,1.256,96.859,0,0,0,0,0.120,1.200,2.940,17,6,7,11,0,7,1,0,0,3171966976,2163167232,10551328768,12796145664,0,15,0,0,1746,1519,1609
3.755,0.751,95.369,0.125,0,0,0,0.120,1.200,2.940,17,6,7,11,0,7,1,0,0,3171917824,2162692096,10551853056,12795670528,0,38,0,0,374,532,248
2.889,0.377,96.482,0.251,0,0,0,0.110,1.180,2.920,17,6,7,11,0,6,1,0,0,3169202176,2173607936,10543714304,12801101824,0,21,0,0,41,199,3478
3.995,1.498,94.257,0.250,0,0,0,0.110,1.180,2.920,17,6,7,11,0,6,1,0,0,3169034240,2172624896,10544865280,12800368640,0,19,0,0,1736,1816,1407
2.253,1.252,96.245,0.250,0,0,28,0.110,1.180,2.920,17,6,7,11,0,6,1,0,1540096,3167383552,2174550016,10544590848,12802293760,0,16,0,0,103,490,564
