"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/cpu_fs_io_vm.csv --cpu --fs --io --vm 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"total cpu usage",,,,,"filesystem",,"io/total",,"virtual memory",,,
13.358,2.996,83.521,0.125,0,14048,183082,0,192,0,2414,4646,1978
9.542,4.337,86.121,0,0,14048,183081,0,0,0,1591,2140,2162
10.212,3.487,86.052,0.249,0,14016,183080,0,70,0,1699,2729,2522
11.207,3.818,84.975,0,0,14016,183081,0,0,0,5715,7478,3487
9.483,3.325,87.069,0.123,0,14016,183053,0,0,0,364,707,1857
10.688,4.791,84.398,0.123,0,13984,183064,2,146,1,657,2356,44584
10.784,4.412,84.436,0.368,0,14016,183063,0,140,0,1576,2708,2747
13.033,2.381,84.586,0,0,14048,183091,0,0,0,3462,5043,3276
9.642,3.585,86.650,0.124,0,14016,183091,0,0,0,223,736,736
10.442,3.317,86.241,0,0,14016,183090,0,0,0,369,657,844
10.037,3.965,85.750,0.248,0,14048,183044,0,42,0,1044,2155,2386
11.383,4.162,84.333,0.122,0,14080,183065,0,12,0,8291,10689,4600
11.029,4.167,84.681,0.123,0,14048,183075,0,0,0,2969,3645,4068
11.179,3.194,85.504,0.123,0,14048,183075,0,64,0,873,1546,1585
14.125,2.375,83.500,0,0,14016,183104,0,0,0,1804,3708,2805
10.037,4.213,85.626,0.124,0,14016,183106,0,40,0,364,1921,2870
12.132,4.044,83.701,0.123,0,14080,183105,0,64,0,1735,2544,2330
10.565,3.931,85.381,0.123,0,14080,183076,0,0,0,1935,2186,3131
11.369,4.645,83.985,0,0,14080,183075,0,0,0,7452,9582,3708
9.877,2.346,87.654,0.123,0,14080,183078,0,0,0,218,902,744
10.311,3.851,85.714,0.124,0,14144,183088,0,66,0,640,2132,1845
13.483,2.871,83.521,0.125,0,14080,183117,0,52,0,3308,4737,15834
10.604,3.329,85.943,0.123,0,14080,183116,0,0,0,1478,2074,2105
10.234,3.699,86.067,0,0,14080,183117,0,0,0,251,907,773
10.345,3.202,86.330,0.123,0,14048,183116,0,0,0,263,760,1245
12.530,3.893,83.212,0.365,0,14016,183116,0,290,0,548,1646,1521
10.370,5.062,84.568,0,0,14048,181978,0,26,0,6798,8884,31334
10.234,3.822,85.820,0.123,0,14048,181989,0,12,0,1594,2454,2868
14.250,2.850,82.776,0.124,0,14080,182018,0,0,0,1398,3990,5260
11.534,3.313,85.153,0,0,14048,182018,8,0,1,892,950,955
11.084,3.941,84.852,0.123,0,14048,182020,0,2372,0,746,4585,9417
10.513,4.279,85.086,0.122,0,14048,181990,0,0,0,1527,2111,2930
12.979,5.068,81.953,0,0,14080,182078,0,20,0,11937,14621,8920
15.215,4.049,80.736,0,0,14112,181917,0,0,0,20581,23060,25441
11.837,3.453,84.587,0.123,0,14080,181926,0,0,0,11295,13593,9454
15.960,3.865,80.050,0.125,0,14048,183021,0,56,0,40536,63531,32538
9.383,4.198,86.296,0.123,0,14048,183020,0,52,0,1585,3116,3425
10.332,3.813,85.855,0,0,14048,183021,0,0,0,1680,2134,3552
11.852,4.074,83.951,0.123,0,14048,183017,0,30,0,3161,5315,6630
11.758,2.909,85.333,0,0,14016,182989,0,0,0,272,1794,2351
11.111,3.541,85.226,0.122,0,14048,182988,0,0,0,847,1345,1034
11.463,4.756,83.659,0.122,0,14016,182986,0,124,0,6946,9244,7555
14.586,2.472,82.818,0.124,0,14048,183025,0,0,0,4070,5492,6670
11.002,3.667,85.330,0,0,14080,183024,0,0,0,264,757,837
10.370,4.074,85.309,0.247,0,14080,183025,0,70,0,431,1189,1406
10.247,2.963,86.667,0.123,0,14112,183025,0,38,0,999,1340,1212
10.323,4.104,85.448,0.124,0,14080,182998,0,170,0,1584,3432,4333
9.852,3.695,86.330,0.123,0,14080,182997,0,0,0,1527,2100,2189
10.732,4.512,84.756,0,0,14080,182998,0,0,0,8260,10153,3960
12.531,1.861,85.484,0.124,0,14048,183027,0,0,0,1736,3026,3676
9.618,3.453,86.930,0,0,14048,183038,0,0,0,726,1482,984
10.197,4.300,85.135,0.369,0,14048,183036,0,42,0,1843,2926,4697
11.139,3.342,85.396,0.124,0,14080,183034,0,20,0,2775,3942,4128
11.179,3.686,85.135,0,0,14080,183008,0,0,0,1479,1966,2155
10.591,3.325,85.961,0.123,0,14048,183008,0,0,0,573,956,2841
11.765,3.309,84.804,0.123,0,14080,183007,0,30,0,1459,2773,2099
14.410,2.236,83.230,0.124,0,14112,183035,0,160,0,9066,12766,10494
10.989,4.029,84.982,0,0,14048,183033,0,0,0,1969,2532,2128
9.181,3.102,87.593,0.124,0,14048,183044,0,56,0,352,962,1517
11.247,3.790,84.841,0.122,0,14048,183036,0,0,0,252,804,888
10.558,4.854,84.587,0,0,14048,183008,0,0,0,704,1164,1573
10.867,5.983,83.028,0.122,0,14048,183008,0,442,0,1664,3203,3063
9.305,4.218,86.352,0.124,0,14048,181897,0,218,0,1565,2833,46685
14.901,2.463,82.512,0.123,0,14080,181926,0,0,0,8306,11204,6126
10.298,3.102,86.476,0.124,0,14080,181925,0,56,0,2600,3302,1086
11.397,3.676,84.804,0.123,0,14048,181936,0,0,0,450,947,2864
11.808,6.150,81.919,0.123,0,14048,181941,2,2170,1,1481,4593,4734
9.337,3.808,86.855,0,0,14080,181935,0,0,0,2224,3007,3292
9.913,3.594,86.369,0.124,0,14080,181907,0,0,0,216,734,3929
10.934,3.563,85.381,0.123,0,14112,181910,0,22,0,677,1649,1132
14.512,3.780,81.707,0,0,14112,181939,0,0,0,2410,3826,6645
10.894,4.529,84.455,0.122,0,14112,181937,0,46,0,5867,7968,2641
10.552,4.417,84.908,0.123,0,14112,181936,0,0,0,3378,4017,4450
9.542,4.337,86.121,0,0,14048,183006,0,0,0,36327,57736,21558
10.851,3.822,85.203,0.123,0,14080,182979,0,50,0,1811,3298,3428
10.370,2.716,86.790,0.123,0,14080,182978,0,0,0,411,1426,3456
9.864,3.453,86.683,0,0,14080,182978,0,0,0,199,712,701
19.178,2.740,77.958,0.125,0,14080,183002,0,40,0,5190,7292,7322
10.758,3.545,85.697,0,0,14080,183002,0,0,0,2040,3743,4480
10.391,3.056,86.308,0.244,0,14048,183006,0,18,0,218,1183,1464
10.961,3.941,85.099,0,0,14048,183016,0,0,0,244,831,10819
11.707,3.171,85.122,0,0,14048,182989,0,0,0,950,1423,1815
10.513,4.645,84.597,0.244,0,14112,182988,0,254,0,2798,4633,4668
10.086,4.059,85.855,0,0,14080,182987,0,0,0,215,732,997
13.325,1.868,84.682,0.125,0,14048,183010,0,32,0,2241,3556,1873
10.745,3.297,85.836,0.122,0,14080,183017,0,0,0,536,1106,2002
9.864,4.439,85.697,0,0,14112,183063,0,0,0,4935,6547,4391
10.976,4.268,84.634,0.122,0,14112,183014,0,64,0,2757,4411,5284
9.951,3.686,86.241,0.123,0,14112,182998,0,0,0,233,1114,7243
10.907,3.431,85.662,0,0,14112,182997,0,18,0,567,1129,2327
11.548,3.440,84.889,0.123,0,14112,182998,0,0,0,806,1267,1117
13.557,2.363,84.080,0,0,14080,183021,0,0,0,1329,2572,18930
10.234,4.932,84.710,0.123,0,14048,182988,0,42,0,3481,4368,4015
10.513,4.034,85.452,0,0,14112,183019,0,0,0,3044,4089,3307
10.294,3.309,86.275,0.123,0,14080,183023,0,18,0,3357,4499,1549
10.798,3.558,85.644,0,0,14080,183005,0,0,0,1070,1649,11445
10.623,3.175,86.081,0.122,0,14080,183006,0,32,0,326,1015,760
9.963,5.043,84.871,0.123,0,14112,183006,0,458,0,1673,3371,3452
13.806,2.239,83.831,0.124,0,14080,183028,0,48,0,3066,4281,2841
10.475,3.654,85.749,0.122,0,14048,183033,0,0,0,205,1027,1051
10.824,3.813,85.363,0,0,14080,183033,0,0,0,1155,1779,1220
10.468,4.187,85.222,0.123,0,14112,183034,0,0,0,5774,7248,2187
10.974,4.932,83.970,0.123,0,14080,181923,0,488,0,1546,3614,7028
9.271,4.450,86.279,0,0,14048,181904,0,24,0,2217,2755,3404
8.354,3.491,88.030,0.125,0,14048,181905,0,0,0,252,898,735
14.110,2.822,82.945,0.123,0,14112,181929,0,46,0,3680,4612,5596
9.360,4.064,86.453,0.123,0,14080,181934,0,28,0,1818,3189,2222
9.565,3.975,86.335,0.124,0,14080,181934,0,1676,0,1516,3400,3482
10.282,4.529,85.190,0,0,14080,181927,0,0,0,3140,4396,3791
9.765,3.337,86.774,0.124,0,14080,181930,0,0,0,4395,5360,2461
10.572,3.856,85.572,0,0,15136,182966,0,0,0,35019,55226,22000
9.012,3.333,87.407,0.247,0,14080,182972,0,42,0,1694,3719,1004
13.597,3.090,83.189,0.124,0,14112,182996,0,60,0,1677,4210,7160
10.934,3.686,85.258,0.123,0,14080,182999,0,0,0,1768,2331,4354
11.449,4.263,84.287,0,0,14080,183002,0,0,0,6264,6778,1318
10.617,3.333,85.926,0.123,0,14048,182958,0,0,0,783,1289,1573
10.880,3.790,85.208,0.122,0,14112,182982,0,16,0,7097,8661,4417
10.894,4.651,84.333,0.122,0,14080,182978,0,102,0,1706,3148,7347
10.918,3.350,85.732,0,0,14080,182988,0,0,0,3029,3658,2522
13.636,2.580,83.661,0.123,0,14144,183009,0,0,0,3421,4590,6148
11.057,3.159,85.784,0,0,14112,183014,0,0,0,932,1780,1171
12.347,3.056,84.474,0.122,0,14112,183013,0,26,0,733,1226,3887
10.798,4.294,84.785,0.123,0,14112,183013,0,0,0,2196,2777,5382
11.765,4.412,83.701,0.123,0,14112,182969,0,154,0,3007,5331,9911
10.462,4.015,85.523,0,0,14080,182990,0,0,0,5622,6965,4864
11.070,2.952,85.855,0.123,0,14080,183002,0,0,0,812,2034,1671
12.824,3.206,83.847,0.123,0,14080,183024,0,24,0,2545,4540,3106
10.539,4.289,85.049,0.123,0,14112,183042,0,36,0,2921,8104,4011
11.355,3.907,84.737,0,0,14112,183039,0,76,0,1501,3547,4211
10.758,3.301,85.819,0.122,0,14112,183031,0,0,0,389,1585,2165
10.947,3.075,85.978,0,0,14112,183003,0,0,0,733,2045,2406
10.358,3.822,85.697,0.123,0,14112,183051,0,0,0,5558,8252,6351
11.179,3.317,84.889,0.614,0,14080,183000,0,42,0,1540,3082,5474
13.507,3.346,83.024,0.124,0,14080,183033,0,400,0,3587,6782,8923
10,2.840,87.037,0.123,0,14016,183039,0,0,0,347,2050,1683
10.824,3.936,85.240,0,0,14016,183038,0,0,0,837,2832,9493
12.440,3.623,83.816,0.121,0,13984,183042,0,0,0,598,2514,2288
9.658,5.134,84.719,0.489,0,13984,181926,0,16,0,1701,3170,11926
10.231,5.603,84.044,0.122,0,14016,181852,0,542,0,1535,4286,5287
9.864,3.576,86.436,0.123,0,14016,181899,0,0,0,5563,8769,8350
13.507,2.478,84.015,0,0,14080,181931,0,0,0,3211,4900,27250
10.172,3.186,86.520,0.123,0,14112,181936,0,0,0,411,1967,1728
10.662,4.044,85.294,0,0,14080,181938,0,0,0,1977,3903,4172
12.714,4.279,82.396,0.611,0,14080,181924,0,142,0,1478,6492,7633
11.341,3.659,85,0,0,14048,181925,0,0,0,179,1834,1793
11.369,3.912,84.474,0.244,0,14048,181920,0,42,0,417,862,1231
11.628,3.182,85.190,0,0,14080,181966,0,0,0,6104,7712,1473
12.219,2.993,84.663,0.125,0,14080,181942,0,0,0,2300,3510,3316
10.781,4.585,84.634,0,0,14112,183017,0,40,0,37575,60043,53116
10.636,3.667,85.575,0.122,0,14112,183017,0,0,0,380,725,1198
10.539,4.289,85.049,0.123,0,14080,182989,0,42,0,694,1484,1592
10.907,3.554,85.539,0,0,14048,182990,0,0,0,222,903,772
10.636,4.645,84.597,0.122,0,14016,182989,0,0,0,2020,2465,2563
11.567,3.980,84.328,0.124,0,14048,182943,0,134,0,1859,3469,4969
13.497,3.067,83.436,0,0,14080,183012,0,0,0,8095,10262,9489
10.501,3.419,85.958,0.122,0,14048,183018,0,0,0,1005,1929,1284
12.195,3.659,84.146,0,0,14080,183028,0,0,0,821,1387,717
10.269,4.645,84.963,0.122,0,14080,183027,0,0,0,1606,2051,2161
10.294,4.534,84.559,0.613,0,14080,182999,0,174,0,1495,3210,3858
10.404,3.917,85.557,0.122,0,14080,183001,0,0,0,168,837,1044
11.411,3.558,84.908,0.123,0,14048,183000,0,0,0,933,1381,1289
12.855,3.090,84.054,0,0,14112,183022,0,0,0,2148,4181,6007
10.159,3.305,86.414,0.122,0,14144,183027,0,0,0,520,1483,803
12.054,5.289,82.534,0.123,0,14112,183123,2,28,1,11679,16179,7519
10.552,3.681,85.644,0.123,0,14144,183119,14,154,3,457,2014,3160
11.543,3.281,84.933,0.243,0,14144,183077,0,102,0,559,1027,2622
11.206,3.289,85.384,0.122,0,14144,183077,0,0,0,243,901,1688
10.662,4.289,85.049,0,0,14112,183076,0,0,0,172,666,1677
11.946,4.064,83.867,0.123,0,14112,183042,0,0,0,3742,5103,22072
11.534,2.699,85.644,0.123,0,14080,183091,0,452,0,6601,9355,3709
13.827,4.568,81.481,0.123,0,14144,183243,0,92,0,21037,21666,10238
13.284,3.567,82.903,0.246,0,14176,183251,0,54,0,11439,14460,15568
10.675,3.926,85.399,0,0,14176,183222,0,0,0,516,3003,3840
11.152,4.779,83.946,0.123,0,14176,183226,0,0,0,2923,3584,4549
9.471,4.797,85.732,0,0,14176,183225,0,292,0,269,1707,1812
20.245,2.577,77.055,0.123,0,14144,183262,0,0,0,4153,8414,3303
11.193,4.059,84.502,0.246,0,14176,182159,0,42,0,7545,9106,5396
11.951,3.902,84.146,0,0,14144,182156,4,0,1,753,1206,1328
12.637,4.010,83.232,0.122,0,14144,182159,0,0,0,6470,7973,6950
10.134,5.739,84.005,0.122,0,14176,182131,0,1526,0,844,3631,3992
11.220,3.902,84.756,0.122,0,14176,182126,0,60,0,1364,2442,4653
10.811,3.686,85.381,0.123,0,14144,182127,0,0,0,770,1946,2069
12.485,2.472,85.043,0,0,14144,182148,0,0,0,1055,2189,2238
10.272,3.342,86.262,0.124,0,14176,182106,0,0,0,2787,3807,4142
10.061,4.663,85.276,0,0,14144,182151,0,38,0,5493,7579,5116
9.348,3.690,86.839,0.123,0,14144,182152,0,20,0,372,870,771
11.207,4.926,83.744,0.123,0,14176,183126,0,0,0,36982,58622,33226
11.743,3.511,84.746,0,0,14176,183126,0,0,0,881,1387,2521
10.934,5.897,82.924,0.246,0,14144,183127,0,110,0,2790,3923,4003
12.469,3.210,84.321,0,0,14144,183148,0,88,0,1598,2990,2120
11.534,2.822,85.521,0.123,0,14144,183153,0,0,0,235,1171,1096
10.922,4.854,84.223,0,0,14112,183153,0,0,0,5959,7589,1886
10.745,3.419,85.714,0.122,0,14112,183153,0,8,0,573,1352,1190
10.701,4.182,84.994,0.123,0,14080,183104,0,36,0,1763,2363,6214
10.894,4.529,84.578,0,0,14080,183079,0,224,0,1405,3312,4538
9.729,3.941,86.207,0.123,0,14080,183078,0,0,0,832,1776,1567
11.152,3.470,85.378,0,0,14048,183101,0,0,0,2828,3900,6925
11.070,2.952,85.855,0.123,0,14080,183105,0,0,0,586,1274,1333
11.685,4.305,83.887,0.123,0,14080,183107,0,24,0,2357,3711,2921
11.084,5.049,83.867,0,0,14112,183106,0,62,0,6564,9617,8040
12.069,3.448,84.236,0.246,0,14080,183080,0,102,0,457,1636,2848
11.449,4.629,83.800,0.122,0,14080,183005,0,0,0,988,1296,8964
10.867,3.663,85.348,0.122,0,14112,183005,0,0,0,243,735,740
11.619,3.585,84.796,0,0,14112,183028,0,0,0,1666,2777,8291
9.653,3.713,86.634,0,0,14080,183033,0,0,0,1503,2785,2060
10.184,4.417,85.031,0.368,0,14048,183033,0,530,0,770,1590,1900
11.070,4.305,84.502,0.123,0,14016,183032,0,0,0,4853,6459,2201
11.645,4.322,84.034,0,0,14048,183004,0,0,0,195,693,1400
11.642,3.922,84.191,0.245,0,14048,183014,0,64,0,2015,2708,2183
11.070,4.059,84.871,0,0,14048,183014,0,0,0,1665,2247,2130
12.546,3.567,83.764,0.123,0,14080,183038,0,452,0,914,3008,31965
10.920,3.190,85.767,0.123,0,14112,183045,0,0,0,516,1600,822
11.931,3.813,84.256,0,0,14080,183047,0,0,0,297,940,1067
10.149,4.208,85.520,0.124,0,14048,183088,6,14,1,3057,3120,2954
9.202,4.663,86.012,0.123,0,14080,183104,0,0,0,7124,8859,3971
9.902,4.768,85.208,0.122,0,14080,183057,0,78,0,323,1825,2388
10.231,4.141,85.627,0,0,14080,181958,0,0,0,519,1643,8962
11.425,3.440,85.012,0.123,0,14080,181983,0,0,0,2389,3151,7625
10.727,3.699,85.573,0,0,14048,181988,0,28,0,2303,4508,3513
10.539,5.147,84.314,0,0,14048,181987,0,0,0,2012,2611,2288
11.515,5.455,82.909,0.121,0,14048,181987,0,1722,0,400,2856,3266
10.667,4.485,84.727,0.121,0,14048,181961,0,0,0,5738,7369,2964
10.649,3.794,85.557,0,0,14016,181961,0,0,0,231,704,3205
10.891,4.084,84.901,0.124,0,15584,183023,0,32,0,18471,37233,22857
10.319,4.545,85.012,0.123,0,14112,183052,0,0,0,23056,26998,5028
11.852,2.716,85.309,0.123,0,14080,183057,0,134,0,1389,2911,1798
10.294,4.044,85.662,0,0,14080,183061,0,0,0,246,1232,1162
12.379,3.398,84.102,0.121,0,14048,183072,0,0,0,219,1491,1988
11.138,4.651,84.088,0.122,0,14080,182992,0,42,0,1514,2503,5116
10.907,4.412,84.681,0,0,14112,183035,0,0,0,7347,9048,3782
11.487,4.716,83.555,0.242,0,14112,183034,0,176,0,790,2446,2863
12.255,4.167,83.456,0.123,0,14112,183066,0,28,0,1557,2451,13913
11.685,2.952,85.363,0,0,14080,183071,0,0,0,361,1471,678
11.722,4.274,83.883,0.122,0,14048,183072,0,0,0,4429,5097,4898
11.193,4.059,84.748,0,0,14048,183046,0,0,0,1868,2503,3375
10.623,4.396,84.737,0.244,0,14048,183045,0,448,0,663,2320,2378
10.701,4.797,84.379,0.123,0,14048,183050,0,302,0,8137,10329,11157
9.035,3.342,87.500,0.124,0,14048,183052,0,0,0,370,1087,838
12.222,3.210,84.568,0,0,14048,183083,0,14,0,3678,4265,4186
12.195,3.293,84.390,0.122,0,14048,183071,0,0,0,1698,3047,28267
11.247,3.667,84.963,0.122,0,14048,183070,0,54,0,628,1550,2231
11.600,4.640,83.761,0,0,13984,182897,0,0,0,377,905,8375
