"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/sys_ipc_disk_udp_socket.csv --sys --ipc --disk --udp --socket 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"system",,"sysv ipc",,,"dsk/total",,"udp",,"sockets",,,,
2592,5878,0,0,5,0,0,25,14,1204,27,33,0,0
4265,12418,0,0,5,73728,23764992,25,14,1204,27,33,0,0
2755,7661,0,0,5,0,0,25,14,1204,27,33,0,0
2591,5818,0,0,5,0,0,25,14,1204,27,33,0,0
2586,5690,0,0,5,0,1662976,25,14,1204,27,33,0,0
2917,8513,0,0,5,0,0,25,14,1204,27,33,0,0
2659,7088,0,0,5,0,3260416,25,14,1204,27,33,0,0
2854,8016,0,0,5,0,0,25,14,1204,27,33,0,0
3369,35291,0,0,5,0,0,25,14,1204,27,33,0,0
2862,6232,0,0,5,0,3137536,25,14,1204,27,33,0,0
2533,5840,0,0,5,0,0,25,14,1204,27,33,0,0
2519,5680,0,0,5,0,1548288,25,14,1204,27,33,0,0
3317,9693,0,0,5,0,3620864,25,14,1204,27,33,0,0
2632,6473,0,0,5,0,0,25,14,1204,27,33,0,0
2528,5722,0,0,5,0,737280,25,14,1204,27,33,0,0
2694,6639,0,0,5,0,0,25,14,1205,28,33,0,0
2548,5753,0,0,5,0,0,25,14,1203,26,33,0,0
2948,8422,0,0,5,0,9609216,25,14,1203,26,33,0,0
2565,5807,0,0,5,0,0,25,14,1203,26,33,0,0
2664,7212,0,0,5,0,368640,25,14,1203,26,33,0,0
2560,5919,0,0,5,0,0,25,14,1203,26,33,0,0
2735,6245,0,0,5,0,0,25,14,1203,26,33,0,0
2783,8478,0,0,5,0,8175616,25,14,1203,26,33,0,0
2507,5684,0,0,5,0,0,25,14,1203,26,33,0,0
2582,5724,0,0,5,0,802816,25,14,1203,26,33,0,0
2816,7050,0,0,5,0,0,25,14,1204,27,33,0,0
2878,8267,0,0,5,0,0,25,14,1204,27,33,0,0
2872,8182,0,0,5,0,417792,25,14,1204,27,33,0,0
2661,6341,0,0,5,0,0,25,13,1203,27,33,0,0
2566,5823,0,0,5,0,679936,25,13,1203,27,33,0,0
2633,5784,0,0,5,0,0,25,13,1203,27,33,0,0
2626,5914,0,0,5,0,360448,25,13,1203,27,33,0,0
2943,7714,0,0,5,0,10067968,25,13,1203,27,33,0,0
2880,8471,0,0,5,0,868352,25,13,1203,27,33,0,0
2573,5671,0,0,5,0,0,25,13,1203,27,33,0,0
2561,5826,0,0,5,0,0,25,13,1203,27,33,0,0
2475,6057,0,0,5,0,0,25,13,1203,27,33,0,0
2973,8757,0,0,5,0,11657216,25,13,1203,27,33,0,0
2605,6963,0,0,5,0,1769472,25,13,1203,27,33,0,0
2564,5723,0,0,5,0,0,25,13,1203,27,33,0,0
2748,7323,0,0,5,0,311296,25,13,1203,27,33,0,0
2546,5909,0,0,5,0,1122304,25,13,1203,27,33,0,0
4001,11937,0,0,5,0,10444800,25,13,1203,27,33,0,0
2709,7389,0,0,5,0,0,25,13,1203,27,33,0,0
2530,5795,0,0,5,0,0,25,13,1202,26,33,0,0
3486,36454,0,0,5,0,0,25,13,1202,26,33,0,0
2527,5831,0,0,5,0,2482176,25,13,1202,26,33,0,0
2913,9510,0,0,5,0,8093696,25,13,1203,26,33,0,0
2643,7165,0,0,5,0,0,25,13,1202,26,33,0,0
2639,5963,0,0,5,0,0,28,13,1205,26,36,0,0
2570,5893,0,0,5,0,0,28,13,1205,26,36,0,0
2744,8628,0,0,5,0,745472,28,13,1205,26,36,0,0
2680,7073,0,0,5,0,8126464,28,13,1205,26,36,0,0
2690,7013,0,0,5,0,0,28,13,1205,26,36,0,0
2739,6991,0,0,5,0,0,25,13,1202,26,33,0,0
2541,5864,0,0,5,0,0,25,13,1202,26,33,0,0
2629,5948,0,0,5,0,778240,25,13,1202,26,33,0,0
2711,7221,0,0,5,0,0,25,13,1202,26,33,0,0
2944,8641,0,0,5,0,5840896,25,13,1202,26,33,0,0
2585,5936,0,0,5,0,0,25,14,1203,26,34,0,0
3263,7023,0,0,5,0,0,25,13,1205,27,33,0,0
3680,8822,0,0,5,0,843776,25,13,1205,27,33,0,0
3739,9375,0,0,5,0,376832,25,13,1205,27,33,0,0
3695,9217,0,0,5,0,3661824,25,13,1205,27,33,0,0
3431,7476,0,0,5,0,0,25,13,1205,27,33,0,0
3427,7419,0,0,5,0,0,25,13,1205,27,33,0,0
3512,7915,0,0,5,0,0,25,13,1205,27,33,0,0
3641,8812,0,0,5,0,761856,25,13,1205,27,33,0,0
3862,10168,0,0,5,0,10412032,25,13,1205,27,33,0,0
3496,8473,0,0,5,0,0,25,13,1205,27,33,0,0
3536,7813,0,0,5,0,0,25,13,1205,27,33,0,0
3517,7935,0,0,5,0,0,25,13,1208,28,33,0,0
3665,8837,0,0,5,0,778240,25,13,1205,27,33,0,0
3713,9465,0,0,5,0,10469376,25,13,1204,26,33,0,0
3464,7928,0,0,5,0,0,25,13,1204,26,33,0,0
3731,8920,0,0,5,0,0,25,13,1204,26,33,0,0
3483,7752,0,0,5,0,0,25,13,1204,26,33,0,0
3622,8874,0,0,5,0,0,25,13,1204,26,33,0,0
4038,12701,0,0,5,0,20004864,25,13,1205,27,33,0,0
3478,7566,0,0,5,0,0,25,13,1205,27,33,0,0
2654,6630,0,0,5,0,434176,25,13,1202,26,33,0,0
2559,6270,0,0,5,0,0,25,13,1202,26,33,0,0
2817,8252,0,0,5,0,0,25,13,1202,26,33,0,0
3550,41004,0,0,5,0,3350528,25,13,1202,26,33,0,0
2615,5704,0,0,5,0,0,25,13,1202,26,33,0,0
2555,5878,0,0,5,0,2686976,25,13,1202,26,33,0,0
2714,6711,0,0,5,0,0,25,13,1202,26,33,0,0
2813,7125,0,0,5,0,0,25,13,1202,26,33,0,0
3134,7403,0,0,5,0,5668864,25,14,1203,26,33,0,0
2859,7369,0,0,5,0,0,25,14,1203,26,33,0,0
2476,5979,0,0,5,0,0,25,14,1203,26,33,0,0
2674,6692,0,0,5,0,0,25,14,1203,26,33,0,0
2773,6987,0,0,5,0,0,25,14,1203,26,33,0,0
2826,7506,0,0,5,0,9232384,25,14,1203,26,33,0,0
2543,5664,0,0,5,0,0,25,14,1203,26,33,0,0
2605,5785,0,0,5,0,0,25,14,1203,26,33,0,0
3151,7341,0,0,5,0,0,25,14,1203,26,33,0,0
2586,6503,0,0,5,0,0,25,14,1203,26,33,0,0
3199,9817,0,0,5,16384,1228800,25,14,1207,26,33,0,0
2670,6141,0,0,5,196608,9101312,25,14,1207,26,33,0,0
2711,6141,0,0,5,0,1253376,25,14,1207,26,33,0,0
2638,6417,0,0,5,0,0,25,14,1207,26,33,0,0
2637,5842,0,0,5,0,0,25,14,1207,26,33,0,0
2901,9280,0,0,5,0,0,25,15,1208,26,33,0,0
2920,7520,0,0,5,0,7323648,25,15,1208,26,33,0,0
3642,12155,0,0,5,0,966656,25,17,1224,26,33,0,0
3502,14178,0,0,5,0,622592,25,17,1224,26,33,0,0
2612,6320,0,0,5,0,0,25,17,1224,26,33,0,0
2746,8477,0,0,5,0,0,25,17,1224,26,33,0,0
2672,6030,0,0,5,0,6438912,25,17,1224,26,33,0,0
3010,7235,0,0,5,0,0,25,17,1224,26,33,0,0
2850,9077,0,0,5,0,581632,25,17,1224,26,33,0,0
2750,6736,0,0,5,16384,0,25,17,1224,26,33,0,0
2981,9025,0,0,5,0,0,25,17,1224,26,33,0,0
3781,9898,0,0,5,0,18374656,25,17,1224,26,33,0,0
2745,5927,0,0,5,0,3252224,25,17,1224,26,33,0,0
2550,6002,0,0,5,0,0,25,17,1224,26,33,0,0
2755,6871,0,0,5,0,0,25,16,1223,26,33,0,0
2611,8501,0,0,5,0,0,25,16,1223,26,33,0,0
2656,6323,0,0,5,0,3227648,25,16,1223,26,33,0,0
2564,5774,0,0,5,0,917504,25,16,1223,26,33,0,0
3371,36361,0,0,5,0,0,25,16,1217,26,33,0,0
2678,5958,0,0,5,0,0,25,16,1217,26,33,0,0
3010,9457,0,0,5,0,2637824,25,16,1219,26,33,0,0
2660,6897,0,0,5,0,5414912,25,16,1217,26,33,0,0
2573,6228,0,0,5,0,0,25,16,1217,26,33,0,0
2594,6176,0,0,5,0,0,25,16,1217,26,33,0,0
2610,5750,0,0,5,0,1138688,25,16,1217,26,33,0,0
2776,7749,0,0,5,0,1089536,25,16,1213,26,33,0,0
2736,6794,0,0,5,0,9699328,25,16,1213,26,33,0,0
2511,5808,0,0,5,0,0,25,16,1213,26,33,0,0
2881,6879,0,0,5,0,0,25,16,1213,26,33,0,0
2592,6200,0,0,5,0,0,25,15,1212,26,33,0,0
2768,8024,0,0,5,0,720896,25,15,1213,27,33,0,0
2938,7332,0,0,5,0,8314880,25,14,1211,26,33,0,0
2978,6754,0,0,5,0,1245184,25,13,1210,26,33,0,0
2819,6186,0,0,5,0,0,25,13,1202,26,33,0,0
2564,5894,0,0,5,0,0,25,13,1202,26,33,0,0
2678,7991,0,0,5,0,0,25,13,1202,26,33,0,0
2708,7700,0,0,5,0,0,25,13,1202,26,33,0,0
2638,5812,0,0,5,0,5201920,25,13,1202,26,33,0,0
2683,6234,0,0,5,0,0,25,13,1202,26,33,0,0
2441,5667,0,0,5,0,0,25,13,1202,26,33,0,0
2731,7185,0,0,5,0,761856,25,13,1202,26,33,0,0
2755,7829,0,0,5,0,0,25,13,1201,25,33,0,0
2886,7030,0,0,5,0,10010624,25,13,1201,25,33,0,0
2489,6324,0,0,5,0,0,25,13,1204,25,33,0,0
2759,6852,0,0,5,0,0,25,13,1204,25,33,0,0
2656,7075,0,0,5,139264,991232,25,13,1201,25,33,0,0
2642,7349,0,0,5,0,0,25,13,1201,25,33,0,0
2600,5860,0,0,5,0,8273920,25,13,1201,25,33,0,0
2635,6102,0,0,5,0,0,25,14,1202,25,33,0,0
2715,6904,0,0,5,0,0,25,15,1203,25,33,0,0
2686,7808,0,0,5,0,2039808,25,15,1203,25,33,0,0
2766,7062,0,0,5,0,0,25,15,1203,25,33,0,0
3936,11612,0,0,5,0,15548416,25,15,1203,25,33,0,0
2842,6266,0,0,5,0,0,25,15,1203,25,33,0,0
2586,5745,0,0,5,0,0,25,15,1203,25,33,0,0
3503,18706,0,0,5,0,1982464,25,15,1203,25,33,0,0
2932,26125,0,0,5,0,0,25,15,1203,25,33,0,0
2672,6685,0,0,5,0,7135232,25,15,1203,25,33,0,0
2531,5763,0,0,5,0,0,25,15,1203,25,33,0,0
2658,5840,0,0,5,0,0,25,15,1203,25,33,0,0
2751,8026,0,0,5,0,2678784,25,16,1205,26,33,0,0
2645,7430,0,0,5,0,0,25,16,1205,26,33,0,0
2786,7116,0,0,5,0,9052160,25,16,1206,27,33,0,0
2932,7205,0,0,5,0,458752,25,16,1205,26,33,0,0
2620,6703,0,0,5,0,0,25,16,1205,26,33,0,0
2795,6973,0,0,5,0,0,25,16,1205,26,33,0,0
2839,7284,0,0,5,0,0,28,16,1208,26,36,0,0
2590,5980,0,0,5,0,9101312,28,16,1208,26,36,0,0
3054,9349,0,0,5,0,1900544,28,16,1208,26,36,0,0
2575,5790,0,0,5,0,0,28,16,1208,26,36,0,0
2787,7767,0,0,5,0,393216,28,16,1208,26,36,0,0
2664,7592,0,0,5,0,0,25,16,1205,26,33,0,0
2491,5925,0,0,5,0,3448832,25,16,1205,26,33,0,0
2727,6606,0,0,5,0,0,25,16,1205,26,33,0,0
