"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/io_zones_net_ipc.csv --io --zones --net --ipc 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"io/total",,"zones memory",,,,"net/total",,"sysv ipc",,
0,0,316156,3141,176786,22176,94,413,0,0,6
6,56,316156,3141,180690,22176,94,657,0,0,6
0,0,316156,3141,180463,22176,2105,4889,0,0,6
0,0,316156,3141,180857,22176,15688,1516,0,0,6
0,0,316156,3141,184835,22176,0,0,0,0,6
0,30,316156,3141,184488,22176,0,0,0,0,6
0,0,316156,3141,184500,22176,7111,5193,0,0,6
4,70,316156,3141,184293,22176,24736,1737,0,0,6
0,0,316156,3141,183104,22176,0,0,0,0,6
0,0,316156,3141,182865,22176,167,187,0,0,6
0,22,316156,3141,182802,22176,0,0,0,0,6
0,26,316156,3141,182763,22176,424,358,0,0,6
8,110,316156,3141,182952,22176,0,0,0,0,6
0,0,316156,3141,182597,22176,15817,5016,0,0,6
0,0,316156,3141,182601,22176,1404,844,0,0,6
0,0,316156,3141,183029,22176,0,0,0,0,6
0,0,316156,3141,182697,22176,523,0,0,0,6
2,364,316156,3141,181833,22176,175,358,0,0,6
0,0,316156,3141,181602,22176,0,0,0,0,6
0,0,316156,3141,181681,22176,0,0,0,0,6
0,0,316156,3141,181437,22176,0,0,0,0,6
0,0,316156,3141,181320,22176,240,0,0,0,6
0,158,316156,3141,181539,22176,167,545,0,0,6
0,0,316156,3141,181444,22176,42,62,0,0,6
0,0,316156,3141,181769,22176,12623,4742,0,0,6
0,0,316156,3141,181457,22176,70,0,0,0,6
0,0,316156,3141,181301,22176,7198,1472,0,0,6
0,518,316156,3141,181544,22176,860,1047,0,0,6
0,0,316156,3141,186406,22176,0,0,0,0,6
0,0,316156,3141,186416,22176,86,106,0,0,6
0,0,316156,3141,182099,22176,0,0,0,0,6
0,0,316156,3141,181986,22176,0,0,0,0,6
0,170,316156,3141,181549,22176,0,358,0,0,6
0,0,316156,3141,181549,22176,0,0,0,0,6
0,0,316156,3141,181493,22176,0,0,0,0,6
0,0,316156,3141,182011,22176,0,0,0,0,6
0,0,316156,3141,181356,22176,2125,4592,0,0,6
0,34,316156,3141,182202,22176,15602,1410,0,0,6
0,0,316156,3141,182725,22176,0,0,0,0,6
0,0,316156,3141,182617,22176,0,0,0,0,6
0,0,316156,3141,182621,22176,326,252,0,0,6
0,0,316156,3141,183098,22176,0,0,0,0,6
0,136,316156,3141,187202,22176,167,187,0,0,6
0,0,316156,3141,186841,22176,8151,10759,0,0,6
0,0,316156,3141,186781,22176,0,0,0,0,6
0,0,316156,3141,181615,22176,0,0,0,0,6
0,0,316156,3141,181429,22176,56,74,0,0,6
0,0,316156,3141,181686,22176,2015,4936,0,0,6
0,146,316156,3141,181692,22176,15602,1450,0,0,6
0,0,316156,3141,181769,22176,0,0,0,0,6
0,0,316156,3141,183580,22176,0,0,0,0,6
0,38,316156,3141,183401,22176,1513,4358,0,0,6
0,0,316156,3141,183471,22176,15568,3542,0,0,6
0,260,316156,3141,178809,22176,0,0,0,0,6
0,0,316156,3141,178874,22176,0,0,0,0,6
0,0,316156,3141,178649,22176,0,0,0,0,6
0,18,316156,3141,178996,22176,756,550,0,0,6
0,0,316156,3141,177983,22176,82,206,0,0,6
0,70,316156,3141,178100,22176,1659,4490,0,0,6
0,0,316156,3141,178057,22176,15602,2014,0,0,6
0,0,316156,3141,175996,22176,0,0,0,0,6
0,34,316156,3141,175949,22176,650,484,0,0,6
0,0,316156,3141,179317,22176,167,187,0,0,6
0,338,316156,3141,182066,22176,0,206,0,0,6
0,0,316156,3141,181762,22176,0,358,0,0,6
0,0,316156,3141,181456,22176,0,0,0,0,6
0,40,316156,3141,181344,22176,0,0,0,0,6
0,0,316156,3141,181414,22176,2055,4936,0,0,6
0,80,316156,3141,179288,22176,31559,6418,0,0,6
0,0,316156,3141,179121,22176,31305,7555,0,0,6
0,0,316156,3141,179180,22176,1404,989,0,0,6
0,0,316156,3141,178806,22176,407,393,0,0,6
0,26,316156,3141,178630,22176,167,187,0,0,6
0,28,316156,3141,179153,22176,0,0,0,0,6
0,0,316156,3141,179097,22176,86,106,0,0,6
0,0,316156,3141,177595,22176,0,358,0,0,6
0,0,316156,3141,177602,22176,42,0,0,0,6
0,18,316156,3141,177246,22176,394,0,0,0,6
0,48,316156,3141,184640,22176,350,0,0,0,6
0,0,316156,3141,184517,22176,124,106,0,0,6
0,0,316156,3141,185237,22176,16351,6092,0,0,6
0,44,316156,3141,185363,22176,916,126,0,0,6
0,0,316156,3141,185106,22176,1277,2829,0,0,6
0,48,316156,3141,180534,22176,22256,18554,0,0,6
0,0,316156,3141,180827,22176,977,1726,0,0,6
0,0,316156,3141,182881,22176,70,358,0,0,6
0,40,316156,3141,182708,22176,424,358,0,0,6
0,0,316156,3141,182487,22176,871,759,0,0,6
0,0,316156,3141,140586,22176,0,0,0,0,6
