"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/proc_int_net_udp_aio_lock_io.csv --proc --int --net --udp --aio --lock --io 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"procs",,,"interrupts",,,"net/total",,"udp",,"async","file locks",,,,"io/total",
0,0,8,0,15,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,21,0,1249,3192,17,7,0,56,12,10,58,0,0
0,0,8,0,57,0,45249,9147,17,7,0,56,12,10,58,0,0
0,0,0,0,16,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,14,0,3649,120,17,7,0,56,12,10,58,0,152
1,0,8,0,32,0,0,358,17,7,0,56,12,10,58,0,0
1,0,0,0,24,0,984,930,17,7,0,56,12,10,58,0,0
0,0,8,0,19,0,229,187,17,7,0,56,12,10,58,0,0
0,0,1,0,15,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,21,0,814,2749,17,7,0,56,12,10,58,0,362
0,0,8,0,24,0,8004,3464,17,7,0,56,12,10,58,0,0
2,0,0,0,48,0,0,0,17,7,0,56,12,10,58,0,0
0,0,8,0,37,0,22980,6951,17,7,0,56,12,10,58,0,0
0,0,0,0,24,0,1697,1217,17,7,0,56,12,10,58,0,0
1,0,0,0,19,0,601,106,17,7,0,56,12,10,58,2,96
0,0,8,0,16,0,175,358,17,7,0,56,12,10,58,0,0
0,0,0,0,15,0,0,0,17,7,0,56,12,10,58,0,0
1,0,8,0,29,0,0,0,17,7,0,56,12,10,58,0,0
1,0,8,0,15,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,17,0,78,106,17,7,0,56,12,10,58,6,134
1,0,9,0,15,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,16,0,0,358,17,7,0,56,12,10,58,0,0
0,0,8,0,17,0,167,187,17,7,0,56,12,10,58,0,0
1,0,0,0,70,0,15817,5309,17,7,0,56,12,10,58,0,0
0,0,0,0,21,0,1404,631,17,7,0,56,12,10,58,2,82
0,0,8,0,18,0,70,0,17,7,0,56,12,10,58,0,0
0,0,0,0,17,0,167,617,17,7,0,56,12,10,58,0,0
0,0,8,0,19,0,478,374,17,7,0,56,12,10,58,0,44
0,0,0,0,13,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,53,0,385,1955,17,7,0,56,12,10,58,0,294
1,0,8,0,36,0,16783,4851,17,7,0,56,12,10,58,0,0
1,0,0,0,18,0,424,358,17,7,0,56,12,10,58,0,0
0,0,9,0,17,0,226,126,17,7,0,56,12,10,58,0,32
2,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,36,0,16345,5648,17,7,0,56,12,10,58,0,48
0,0,8,0,40,0,876,252,17,7,0,56,12,10,58,0,0
1,0,0,0,15,0,0,0,17,7,0,56,12,10,58,0,0
1,0,8,0,12,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,18
1,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,0
0,0,8,0,13,0,0,0,17,7,0,56,12,10,58,0,80
0,0,0,0,39,0,240,0,17,7,0,56,12,10,58,0,0
1,0,8,0,16,0,167,187,17,7,0,56,12,10,58,0,0
0,0,0,0,16,0,56,74,17,7,0,56,12,10,58,0,22
0,0,1,0,14,0,0,0,17,7,0,56,12,10,58,0,0
1,0,4,0,29,0,12943,4742,17,7,0,56,12,10,58,0,252
0,0,4,0,18,0,3041,573,17,7,0,56,12,10,58,0,0
0,0,8,0,47,0,1633,1071,17,7,0,56,12,10,58,0,0
0,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,40
0,0,0,0,15,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,13,0,0,0,17,7,0,56,12,10,58,0,152
0,0,8,0,11,0,0,0,17,7,0,56,12,10,58,0,0
0,0,8,0,15,0,0,358,17,7,0,56,12,10,58,0,0
1,0,0,0,48,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,15,0,0,0,17,7,0,56,12,10,58,0,18
1,0,0,0,15,0,0,0,17,7,0,56,12,10,58,4,68
0,0,8,0,22,0,868,246,17,7,0,56,12,10,58,0,0
0,0,9,0,34,0,15981,5309,17,7,0,56,12,10,58,0,0
0,0,0,0,23,0,1364,1136,17,7,0,56,12,10,58,0,0
1,0,0,0,52,0,253,106,17,7,0,56,12,10,58,0,32
0,0,0,0,14,0,0,0,17,7,0,56,12,10,58,2,26
1,0,8,0,13,0,0,0,17,7,0,56,12,10,58,0,0
1,0,8,0,17,0,167,187,17,7,0,56,12,10,58,0,0
1,0,0,0,14,0,0,358,17,7,0,56,12,10,58,0,0
0,0,0,0,37,0,15935,5405,17,7,0,56,12,10,58,0,38
0,0,0,0,62,0,13699,1079,17,7,0,56,12,10,58,6,300
1,0,8,0,17,0,3502,379,17,7,0,56,12,10,58,0,0
1,0,8,0,17,0,229,187,17,7,0,56,12,10,58,0,0
1,0,0,0,34,0,16433,6107,17,7,0,56,12,10,58,0,0
0,1,1,0,17,0,995,292,17,7,0,56,12,10,58,0,40
0,0,0,0,15,0,0,0,17,7,0,56,12,10,58,2,126
1,0,36,0,54,0,4382,3450,17,8,0,57,12,10,59,0,24
1,0,8,0,25,0,1551,689,17,8,0,57,12,10,59,0,0
0,0,0,0,15,0,0,0,17,8,0,57,12,10,59,0,0
1,0,0,0,15,0,0,358,17,8,0,57,12,10,59,0,0
0,0,0,0,19,0,523,0,17,8,0,57,12,10,59,0,50
0,0,8,0,17,0,175,0,17,8,0,57,12,10,59,0,18
0,0,16,0,35,0,46,0,17,8,0,57,12,10,59,0,0
0,0,0,0,13,0,0,0,17,8,0,57,12,10,59,0,0
0,0,0,0,41,0,17309,6536,17,8,0,57,12,10,59,0,0
0,0,0,0,17,0,0,0,17,8,0,57,12,10,59,0,256
1,0,9,0,22,0,650,484,17,8,0,57,12,10,59,0,126
0,0,8,0,16,0,167,187,17,8,0,57,12,10,59,0,0
1,0,0,0,33,0,0,0,17,8,0,57,12,10,59,0,0
0,0,0,0,17,0,0,358,17,8,0,57,12,10,59,0,0
0,0,0,0,16,0,70,0,17,8,0,57,12,10,59,0,0
1,0,8,0,13,0,0,259,17,8,0,57,12,10,59,0,82
2,0,8,0,18,0,478,187,17,8,0,57,12,10,59,0,0
0,0,0,0,16,0,167,187,17,8,0,57,12,10,59,0,0
0,0,0,0,44,0,298,1707,17,8,0,57,12,10,59,0,0
1,0,0,0,34,0,16923,4511,17,8,0,57,12,10,59,0,0
3,0,8,0,14,0,240,0,17,8,0,57,12,10,59,0,150
0,0,8,0,14,0,0,0,17,8,0,57,12,10,59,0,42
0,0,1,0,15,0,0,0,17,8,0,57,12,10,59,0,0
0,0,0,0,22,0,1249,3192,17,8,0,57,12,10,59,0,10
2,0,0,0,55,0,15898,4704,20,8,0,57,12,10,59,0,0
1,0,8,0,16,0,0,920,20,8,0,57,12,10,59,0,26
0,0,8,0,27,0,2108,4100,20,8,0,57,12,10,59,0,24
1,0,0,0,16,0,0,920,20,8,0,57,12,10,59,0,0
0,0,0,0,14,0,0,0,20,8,0,57,12,10,59,0,0
0,0,0,0,24,0,1249,3550,17,8,0,57,12,10,59,0,0
0,0,8,0,52,0,15972,2748,17,7,0,57,12,10,59,0,396
0,0,8,0,17,0,167,187,17,7,0,57,12,10,59,0,28
0,0,0,0,15,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,17,0,253,293,17,7,0,56,12,10,58,0,0
1,0,0,0,20,0,56,432,17,7,0,56,12,10,58,0,0
0,0,9,0,22,0,424,259,17,7,0,56,12,10,58,0,156
1,0,4,0,37,0,396,187,17,7,0,56,12,10,58,0,20
0,0,4,0,15,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,19,0,272,106,17,7,0,56,12,10,58,0,0
1,0,0,0,13,0,0,358,17,7,0,56,12,10,58,0,0
1,0,8,0,22,0,1249,3192,17,7,0,56,12,10,58,0,274
0,0,0,0,27,0,16099,2668,17,7,0,56,12,10,58,0,20
0,0,8,0,40,0,522,320,17,7,0,56,12,10,58,0,0
0,0,0,0,17,0,0,114,17,7,0,56,12,10,58,0,40
0,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,0
1,0,8,0,17,0,0,472,17,7,0,56,12,10,58,0,42
1,0,0,0,16,0,82,0,17,7,0,56,12,10,58,0,0
1,0,9,0,13,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,34,0,0,0,17,7,0,56,12,10,58,0,26
0,0,0,0,18,0,94,413,17,7,0,56,12,10,58,0,0
2,0,8,0,18,0,94,657,17,7,0,56,12,10,58,6,56
1,0,0,0,33,0,2105,4889,17,7,0,56,12,10,58,0,0
0,0,8,0,27,0,15688,1516,17,7,0,56,12,10,58,0,0
0,0,0,0,15,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,32,0,0,0,17,7,0,56,12,10,58,0,30
6,0,8,0,32,0,12583,5319,17,7,0,56,12,10,58,0,0
0,0,0,0,28,0,19264,1611,17,7,0,56,12,10,58,4,70
1,0,8,0,13,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,17,0,167,187,17,7,0,56,12,10,58,0,0
0,0,1,0,13,0,0,0,17,7,0,56,12,10,58,0,22
3,0,8,0,45,0,424,358,17,7,0,56,12,10,58,0,26
0,0,0,0,14,0,0,0,17,7,0,56,12,10,58,8,110
1,0,8,0,35,0,15817,5016,17,7,0,56,12,10,58,0,0
0,0,0,0,22,0,1404,844,17,7,0,56,12,10,58,0,0
1,0,0,0,15,0,0,0,17,7,0,56,12,10,58,0,0
0,0,8,0,18,0,523,0,17,7,0,56,12,10,58,0,0
0,0,8,0,42,0,175,358,17,7,0,56,12,10,58,2,364
0,0,8,0,14,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,15,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,12,0,0,0,17,7,0,56,12,10,58,0,0
0,0,8,0,14,0,240,0,17,7,0,56,12,10,58,0,0
0,0,1,0,16,0,167,545,17,7,0,56,12,10,58,0,158
2,0,8,0,26,0,42,62,17,7,0,56,12,10,58,0,0
0,0,0,0,31,0,12623,4742,17,7,0,56,12,10,58,0,0
1,0,0,0,15,0,70,0,17,7,0,56,12,10,58,0,0
0,0,8,0,20,0,7198,1472,17,7,0,56,12,10,58,0,0
0,0,0,0,23,0,860,1047,17,7,0,56,12,10,58,0,518
1,0,8,0,15,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,35,0,86,106,17,7,0,56,12,10,58,0,0
2,0,0,0,12,0,0,0,17,7,0,56,12,10,58,0,0
1,0,7,0,14,0,0,0,17,7,0,56,12,10,58,0,0
0,0,1,0,15,0,0,358,17,7,0,56,12,10,58,0,170
1,0,8,0,15,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,12,0,0,0,17,7,0,56,12,10,58,0,0
1,0,1,0,31,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,35,0,2125,4592,17,7,0,56,12,10,58,0,0
0,0,8,0,25,0,15602,1410,17,7,0,56,12,10,58,0,34
0,0,8,0,13,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,12,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,18,0,326,252,17,7,0,56,12,10,58,0,0
1,0,0,0,33,0,0,0,17,7,0,56,12,10,58,0,0
0,0,8,0,17,0,167,187,17,7,0,56,12,10,58,0,136
0,0,9,0,39,0,8151,10759,17,7,0,56,12,10,58,0,0
1,0,0,0,15,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,17,0,56,74,17,7,0,56,12,10,58,0,0
0,0,9,0,61,0,2015,4936,17,7,0,56,12,10,58,0,24
0,0,8,0,26,0,15602,1450,17,7,0,56,12,10,58,0,122
0,0,0,0,13,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,15,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,29,0,1513,4358,17,7,0,56,12,10,58,0,38
0,0,8,0,25,0,15568,3542,17,7,0,56,12,10,58,0,0
0,0,8,0,39,0,0,0,17,7,0,56,12,10,58,0,260
1,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,15,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,16,0,756,550,17,7,0,56,12,10,58,0,18
1,0,8,0,17,0,82,206,17,7,0,56,12,10,58,0,0
0,0,8,0,27,0,1659,4490,17,7,0,56,12,10,58,0,70
1,0,1,0,60,0,15602,2014,17,7,0,56,12,10,58,0,0
0,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,21,0,650,484,17,7,0,56,12,10,58,0,34
1,0,8,0,16,0,167,187,17,7,0,56,12,10,58,0,0
2,0,8,0,13,0,0,206,17,7,0,56,12,10,58,0,338
0,0,0,0,15,0,0,358,17,7,0,56,12,10,58,0,0
0,0,0,0,34,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,12,0,0,0,17,7,0,56,12,10,58,0,40
1,0,8,0,33,0,2055,4936,17,7,0,56,12,10,58,0,0
1,0,8,0,39,0,31559,6418,17,7,0,56,12,10,58,0,80
1,0,0,0,37,0,31305,7555,17,7,0,56,12,10,58,0,0
0,0,0,0,22,0,1404,989,17,7,0,56,12,10,58,0,0
0,0,1,0,58,0,407,393,17,7,0,56,12,10,58,0,0
0,0,8,0,18,0,167,187,17,7,0,56,12,10,58,0,26
0,0,8,0,15,0,0,0,17,7,0,56,12,10,58,0,28
0,0,0,0,17,0,86,106,17,7,0,56,12,10,58,0,0
1,0,0,0,16,0,0,358,17,7,0,56,12,10,58,0,0
1,0,0,0,16,0,42,0,17,7,0,56,12,10,58,0,0
0,0,16,0,53,0,394,0,17,7,0,56,12,10,58,0,18
0,0,8,0,17,0,350,0,17,7,0,56,12,10,58,0,48
1,0,0,0,18,0,124,106,17,7,0,56,12,10,58,0,0
2,0,0,0,40,0,16351,6092,17,7,0,56,12,10,58,0,0
0,0,0,0,17,0,916,126,17,7,0,56,12,10,58,0,44
0,0,8,0,22,0,1277,2991,17,8,0,56,12,10,58,0,0
0,0,8,0,101,0,22256,18392,17,9,0,56,12,10,58,0,48
1,0,1,0,28,0,977,1726,17,9,0,56,12,10,58,0,0
0,0,0,0,17,0,70,358,17,9,0,56,12,10,58,0,0
0,0,0,0,19,0,424,358,17,9,0,56,12,10,58,0,40
1,0,8,0,23,0,871,759,17,9,0,56,12,10,58,0,0
2,0,8,0,16,0,0,0,17,9,0,56,12,10,58,0,0
