"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --time --cpu --disk --page --int --load --mem --net --proc --io --swap --sys --aio --fs --ipc --lock --raw --socket --tcp --udp --unix --vm --vm-adv --zones --output dstat/data/csv/dstat/all.csv 1 600",,,,"Date:","22 Mar 2023 22:03:09 -03"
"system","total cpu usage",,,,,"dsk/total",,"paging",,"interrupts",,,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"io/total",,"swap",,"system",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"raw","sockets",,,,,"tcp sockets",,,,,"udp",,"unix sockets",,,,"virtual memory",,,,"advanced virtual memory",,,,,"zones memory",,,
"time","usr","sys","idl","wai","stl","read","writ","in","out","138","139","140","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","int","csw","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","raw","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","steal","scanK","scanD","pgoru","astll","d32F","d32H","normF","normH"
22-03 22:04:15,4.391,1.506,94.103,0,0,0,0,0,0,0,15,0,20.910,11.410,5.040,3430207488,1912795136,193114112,10585141248,0,0,1,0,4,0,0,1835008,1021571072,1220,2560,0,13120,349972,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,1731,1849,1874,0,0,0,0,0,283783,3141,179817,22176,
22-03 22:04:16,3.764,1.380,94.730,0.125,0,0,0,0,0,0,16,0,19.240,11.220,5.010,3430465536,1912537088,193114112,10585141248,42,0,1,0,4,0,0,1835008,1021571072,1277,2507,0,13120,349967,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,102,127,103,0,0,0,0,0,283783,3141,179880,22176,
22-03 22:04:17,3.676,1.267,95.057,0,0,0,0,0,0,0,14,0,19.240,11.220,5.010,3431190528,1911795712,193114112,10585681920,0,0,0,0,8,0,0,1835008,1021571072,1326,3088,0,13120,349968,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,1545,1566,1402,0,0,0,0,0,283783,3141,179636,22176,
22-03 22:04:18,3.279,0.883,95.586,0.252,0,0,0,0,0,0,17,0,19.240,11.220,5.010,3431165952,1911816192,193114112,10586218496,46,0,0,0,0,0,0,1835008,1021571072,1037,1798,0,13120,349968,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,4,369,246,0,0,0,0,0,283783,3141,179641,22176,
22-03 22:04:19,4.408,1.511,93.703,0.378,0,0,1679360,0,0,0,72,0,19.240,11.220,5.010,3432677376,1910304768,193122304,10586726400,16312,6006,0,0,0,0,240,1835008,1021571072,1506,3080,0,13120,349970,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,28,552,446,0,0,0,0,0,283783,3141,179209,22176,
22-03 22:04:20,4.151,1.384,94.465,0,0,0,0,0,0,0,18,0,19.240,11.220,5.010,3431120896,1911853056,193122304,10585161728,995,292,0,0,0,0,0,1835008,1021571072,1250,2229,0,13120,349968,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,96,147,510,0,0,0,0,0,283783,3141,179650,22176,
22-03 22:04:21,4.298,2.276,93.426,0,0,188416,0,0,0,0,14,0,17.700,11.030,4.990,3430842368,1919664128,193122304,10578153472,0,0,0,0,9,2,0,1835008,1021571072,1373,3278,0,13120,348772,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,2065,1811,4038,0,0,0,0,0,285367,3141,179973,22176,
22-03 22:04:22,3.401,1.385,95.088,0.126,0,0,0,0,0,0,15,0,17.700,11.030,4.990,3430068224,1920438272,193122304,10577629184,0,0,1,0,8,0,0,1835008,1021571072,1286,3118,0,13120,348781,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1466,1606,1545,0,0,0,0,0,285367,3141,180225,22176,
22-03 22:04:23,3.639,1.129,95.107,0.125,0,0,0,0,0,0,17,0,17.700,11.030,4.990,3430731776,1919680512,193122304,10578247680,0,0,0,0,0,0,0,1835008,1021571072,1045,1857,0,13120,348782,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,51,277,144,0,0,0,0,0,285367,3141,180043,22176,
22-03 22:04:24,2.897,2.645,94.458,0,0,0,14360576,0,0,0,19,0,17.700,11.030,4.990,3424804864,1925599232,193134592,10577977344,119,358,1,0,0,0,1862,1835008,1021571072,2517,6763,0,13120,348781,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,70,1858,28326,0,0,0,0,0,285367,3141,181264,22176,
22-03 22:04:25,4.528,1.509,93.836,0.126,0,0,0,0,0,0,66,0,17.700,11.030,4.990,3426869248,1923518464,193134592,10579308544,1619,4490,0,0,0,0,0,1835008,1021571072,1323,2884,0,13120,348784,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,270,616,418,0,0,0,0,0,285367,3141,180914,22176,
22-03 22:04:26,3.418,1.392,95.190,0,0,0,0,0,0,0,33,0,16.280,10.850,4.960,3426865152,1923522560,193134592,10577735680,30509,1617,1,0,8,0,0,1835008,1021571072,1331,3107,0,13120,348781,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,1299,1416,1814,0,0,0,0,0,285367,3141,180915,22176,
22-03 22:04:27,3.657,1.892,94.325,0.126,0,0,0,0,0,0,15,0,16.280,10.850,4.960,3427340288,1923043328,193134592,10578006016,0,0,0,0,8,0,0,1835008,1021571072,1296,3035,0,13120,348782,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,1294,1530,1426,0,0,0,0,0,285367,3141,180735,22176,
22-03 22:04:28,3.657,1.009,95.334,0,0,0,0,0,0,0,16,0,16.280,10.850,4.960,3426504704,1923837952,193134592,10578038784,0,0,0,0,0,0,0,1835008,1021571072,1142,1869,0,13120,348791,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,74,135,393,0,0,0,0,0,285367,3141,180990,22176,
22-03 22:04:29,3.540,1.011,94.564,0.885,0,0,1638400,0,0,0,18,0,16.280,10.850,4.960,3426467840,1923866624,193142784,10578046976,167,545,0,0,0,0,116,1835008,1021571072,1218,1973,0,13120,348792,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,284,476,327,0,0,0,0,0,285367,3141,180939,22176,
22-03 22:04:30,5.038,1.763,93.199,0,0,0,0,0,0,0,40,0,16.280,10.850,4.960,3426615296,1923620864,193142784,10578403328,17388,6199,0,0,0,0,0,1835008,1021571072,1515,3080,0,13120,348803,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,123,353,213,0,0,0,0,0,285367,3141,180815,22176,
22-03 22:04:31,4.056,1.267,94.550,0.127,0,0,0,0,0,0,43,0,14.980,10.670,4.930,3427782656,1922338816,193142784,10579050496,229,187,0,0,8,0,0,1835008,1021571072,1409,3195,0,13120,348802,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1324,1668,1544,0,0,0,0,0,285367,3141,180689,22176,
22-03 22:04:32,3.783,1.765,94.451,0,0,0,0,0,0,0,15,0,14.980,10.670,4.930,3428040704,1922080768,193142784,10578767872,0,0,1,0,7,0,0,1835008,1021571072,1264,2886,0,13120,348809,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1275,1499,1601,0,0,0,0,0,285367,3141,180501,22176,
22-03 22:04:33,3.540,1.011,95.322,0.126,0,0,0,0,0,0,16,0,14.980,10.670,4.930,3428290560,1921826816,193142784,10577997824,0,0,0,0,2,0,0,1835008,1021571072,1173,2047,0,13120,348801,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,640,318,434,0,0,0,0,0,285367,3141,180501,22176,
22-03 22:04:34,3.157,0.758,95.833,0.253,0,0,507904,0,0,0,14,0,14.980,10.670,4.930,3428769792,1921335296,193150976,10578526208,0,0,0,0,0,0,38,1835008,1021571072,1075,1836,0,13120,348802,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,4,304,180,0,0,0,0,0,285367,3141,180381,22176,
22-03 22:04:35,4.167,1.010,94.571,0.253,0,0,344064,0,0,0,18,0,14.980,10.670,4.930,3427987456,1922109440,193167360,10577993728,180,358,0,0,0,0,30,1835008,1021571072,1259,2239,0,13120,348811,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,57,220,322,0,0,0,0,0,285367,3141,180507,22176,
22-03 22:04:36,3.662,1.641,94.697,0,0,0,0,0,0,0,16,0,13.860,10.510,4.910,3428941824,1921097728,193167360,10578317312,0,0,0,0,8,0,0,1835008,1021571072,1332,3117,0,13120,348812,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,1374,1520,1390,0,0,0,0,0,285367,3141,180323,22176,
22-03 22:04:37,4.906,2.390,92.579,0.126,0,0,0,0,0,0,59,0,13.860,10.510,4.910,3476942848,1873096704,193167360,10578309120,0,0,4,0,0,0,0,1835008,1021571072,2307,31677,0,14688,349876,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,19538,39047,24398,0,0,0,0,0,285367,3141,168493,22176,
22-03 22:04:38,5.144,1.631,93.225,0,0,0,0,0,0,0,14,0,13.860,10.510,4.910,3376218112,1967558656,193167360,10585870336,0,0,0,0,8,0,0,1835008,1021571072,1280,6120,0,13152,349883,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,34819,37576,61607,0,0,0,0,0,285367,3141,191666,22176,
22-03 22:04:39,4.005,1.377,94.493,0.125,0,0,450560,0,0,0,17,0,13.860,10.510,4.910,3375665152,1968111616,193167360,10584539136,0,0,0,0,0,0,40,1835008,1021571072,1056,1839,0,13152,349881,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,23,166,571,0,0,0,0,0,285367,3141,191801,22176,
22-03 22:04:40,3.783,1.135,94.956,0.126,0,0,0,0,0,0,19,0,13.860,10.510,4.910,3377414144,1966915584,193167360,10584010752,298,1508,0,0,0,0,0,1835008,1021571072,1137,2114,0,13152,349823,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,7,1,6,3,17,7,56,874,54,820,0,108,300,303,0,0,0,0,0,285367,3141,191509,22176,
22-03 22:04:41,4.534,1.763,93.577,0.126,0,0,2285568,0,0,0,37,0,12.750,10.330,4.880,3378593792,1965715456,193183744,10584272896,17005,4664,1,0,8,0,32,1835008,1021571072,1485,3845,0,13152,349822,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1544,1707,1705,0,0,0,0,0,285367,3141,191216,22176,
22-03 22:04:42,3.648,0.881,95.472,0,0,0,0,0,0,0,16,0,12.750,10.330,4.880,3378548736,1965715456,193183744,10583793664,0,86,0,0,0,0,0,1835008,1021571072,1014,1778,0,13152,349831,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,756,717,481,0,0,0,0,0,285367,3141,191156,22176,
22-03 22:04:43,3.526,1.511,94.836,0.126,0,0,0,0,0,0,57,0,12.750,10.330,4.880,3380314112,1963950080,193183744,10584317952,565,62,0,0,8,0,0,1835008,1021571072,1370,3064,0,13152,349832,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,791,1186,1182,0,0,0,0,0,285367,3141,190792,22176,
22-03 22:04:44,3.797,1.266,94.937,0,0,0,0,0,0,0,17,0,12.750,10.330,4.880,3390636032,1952641024,193183744,10584780800,294,0,0,0,0,0,0,1835008,1021571072,1357,2565,0,13184,349877,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,4584,8167,5059,0,0,0,0,0,285367,3141,187199,22176,
22-03 22:04:45,3.919,2.276,93.679,0.126,0,0,20258816,0,0,0,17,0,12.750,10.330,4.880,3394699264,1948479488,193183744,10586447872,0,358,0,0,0,0,2342,1835008,1021571072,2755,7931,0,13184,349889,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1145,1406,157,0,0,0,0,0,285367,3141,187008,22176,
22-03 22:04:46,4.419,1.641,93.813,0.126,0,0,0,0,0,0,18,0,11.730,10.160,4.860,3394957312,1948221440,193183744,10584875008,167,187,0,0,9,0,0,1835008,1021571072,1440,3272,0,13152,349887,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1755,1551,1934,0,0,0,0,0,285367,3141,186945,22176,
22-03 22:04:47,3.783,1.135,94.956,0.126,0,0,1720320,0,0,0,17,0,11.730,10.160,4.860,3395432448,1947746304,193191936,10585391104,194,0,0,0,0,0,28,1835008,1021571072,1089,1811,0,13152,349888,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,26,478,622,0,0,0,0,0,285367,3141,186890,22176,
22-03 22:04:48,4.015,2.008,93.977,0,0,0,0,0,0,0,14,0,11.730,10.160,4.860,3396177920,1946992640,193191936,10585133056,0,0,0,0,8,0,0,1835008,1021571072,1327,3149,0,13152,349887,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,1368,1415,1500,0,0,0,0,0,285367,3141,186708,22176,
22-03 22:04:49,5.183,1.138,93.552,0.126,0,0,0,0,0,0,42,0,11.730,10.160,4.860,3400724480,1941962752,193191936,10585882624,0,0,0,0,0,0,0,1835008,1021571072,1352,2523,0,13152,349916,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,1005,1598,384,0,0,0,0,0,285367,3141,185417,22176,
22-03 22:04:50,3.662,1.389,94.949,0,0,0,0,0,0,0,31,0,11.730,10.160,4.860,3400953856,1941733376,193191936,10585358336,2828,5011,0,0,0,0,0,1835008,1021571072,1241,2415,0,13120,349920,0,0,6,56,12,10,58,0,1077,18,20,0,0,7,10,0,6,2,17,7,56,876,54,822,0,251,132,260,0,0,0,0,0,285367,3141,185361,22176,
22-03 22:04:51,4.506,2.128,93.242,0.125,0,0,0,0,0,0,26,0,10.790,9.990,4.830,3402502144,1940185088,193191936,10586689536,10299,2405,2,0,8,0,0,1835008,1021571072,1473,3839,0,13152,349922,0,0,6,56,12,10,58,0,1078,19,20,0,0,7,9,1,6,3,17,7,56,876,54,822,0,1317,1850,1524,0,0,0,0,0,285367,3141,184983,22176,
22-03 22:04:52,4.408,1.259,94.081,0.252,0,0,0,0,0,0,40,0,10.790,9.990,4.830,3401814016,1940729856,193191936,10586025984,18264,6233,0,0,0,0,0,1835008,1021571072,1328,2492,0,13152,349937,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1075,1163,410,0,0,0,0,0,285367,3141,185116,22176,
22-03 22:04:53,4.277,1.635,93.836,0.252,0,0,0,0,0,0,19,0,10.790,9.990,4.830,3401510912,1941032960,193191936,10585501696,86,106,0,0,8,0,0,1835008,1021571072,1338,2955,0,13152,349935,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1272,1414,1533,0,0,0,0,0,285367,3141,185190,22176,
22-03 22:04:54,3.909,1.135,94.704,0.252,0,0,319488,0,0,0,15,0,10.790,9.990,4.830,3402792960,1939742720,193200128,10586025984,0,0,0,0,0,0,22,1835008,1021571072,1001,1755,0,13152,349936,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,276,309,151,0,0,0,0,0,285367,3141,184875,22176,
22-03 22:04:55,3.894,1.382,94.598,0.126,0,0,0,0,0,0,32,0,10.790,9.990,4.830,3402260480,1940275200,193200128,10585759744,0,0,0,0,0,0,0,1835008,1021571072,1207,2081,0,13152,349935,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,23,123,259,0,0,0,0,0,285367,3141,185005,22176,
22-03 22:04:56,4.309,2.028,93.663,0,0,0,0,0,0,0,16,0,9.920,9.820,4.800,3403784192,1938743296,193200128,10586034176,0,358,0,0,8,0,0,1835008,1021571072,1397,3211,0,13152,349946,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1569,1762,1570,0,0,0,0,0,285367,3141,184587,22176,
22-03 22:04:57,3.652,1.889,94.332,0.126,0,0,0,0,0,0,18,0,9.920,9.820,4.800,3398529024,1943953408,193200128,10585554944,167,187,0,0,0,0,0,1835008,1021571072,1193,1911,0,13152,349945,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,27,127,16433,0,0,0,0,0,285367,3141,185903,22176,
22-03 22:04:58,4.172,1.391,94.437,0,0,0,0,0,0,0,19,0,9.920,9.820,4.800,3398926336,1943556096,193200128,10587127808,78,106,0,0,9,0,0,1835008,1021571072,1391,3260,0,13120,349947,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1835,1941,1545,0,0,0,0,0,285367,3141,185806,22176,
22-03 22:04:59,3.904,1.008,94.836,0.252,0,0,0,0,0,0,16,0,9.920,9.820,4.800,3399172096,1943310336,193200128,10585554944,0,0,0,0,0,0,0,1835008,1021571072,1171,1934,0,13120,349945,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,19,134,535,0,0,0,0,0,285367,3141,185765,22176,
22-03 22:05:00,4.167,1.010,94.444,0.379,0,0,155648,0,0,0,14,0,9.920,9.820,4.800,3400417280,1941950464,193208320,10586091520,0,0,0,0,0,0,18,1835008,1021571072,1183,2037,0,13120,349955,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,298,518,180,0,0,0,0,0,285367,3141,185414,22176,
22-03 22:05:01,4.141,1.757,93.977,0.125,0,0,0,0,0,0,59,0,9.130,9.660,4.780,3401314304,1941049344,193208320,10585636864,0,358,1,0,8,0,0,1835008,1021571072,1406,3179,0,13152,349954,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,1390,1463,1566,0,0,0,0,0,285367,3141,185194,22176,
22-03 22:05:02,5.164,2.141,92.695,0,0,0,0,0,0,0,22,0,9.130,9.660,4.780,3402289152,1940074496,193208320,10586161152,1209,3192,0,0,11,0,0,1835008,1021571072,1648,6068,0,13152,349958,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,2269,1955,1811,0,0,0,0,0,285367,3141,184956,22176,
22-03 22:05:03,4.293,1.641,93.939,0.126,0,0,0,0,0,0,29,0,9.130,9.660,4.780,3401347072,1940971520,193208320,10585681920,16012,2708,0,0,8,0,0,1835008,1021571072,1412,3258,0,13152,349964,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1410,1517,1736,0,0,0,0,0,285367,3141,185176,22176,
22-03 22:05:04,3.652,1.385,94.710,0.252,0,0,0,0,0,0,14,0,9.130,9.660,4.780,3402862592,1939456000,193208320,10586996736,0,0,0,0,0,0,0,1835008,1021571072,1148,1901,0,13152,349966,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,74,510,117,0,0,0,0,0,285367,3141,184805,22176,
22-03 22:05:05,3.518,2.387,93.216,0.879,0,0,5455872,0,0,0,17,0,9.130,9.660,4.780,3401883648,1947082752,193216512,10579550208,119,0,0,0,0,0,668,1835008,1021571072,1435,3022,0,13152,348848,0,0,6,56,12,10,58,0,1075,16,20,0,0,7,8,0,7,2,17,7,56,876,54,822,0,3,827,3465,0,0,0,0,0,286951,3141,185083,22176,
22-03 22:05:06,4.523,2.010,93.467,0,0,0,0,0,0,0,18,0,8.400,9.500,4.750,3401879552,1947086848,193216512,10579025920,167,187,0,0,8,0,0,1835008,1021571072,1342,3179,0,13152,348844,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1576,1420,1527,0,0,0,0,0,286951,3141,185084,22176,
22-03 22:05:07,3.652,1.008,95.214,0.126,0,0,0,0,0,0,57,0,8.400,9.500,4.750,3402096640,1946869760,193216512,10579292160,0,358,0,0,0,0,0,1835008,1021571072,1249,1979,0,13152,348855,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,164,428,141,0,0,0,0,0,286951,3141,185031,22176,
22-03 22:05:08,3.793,1.517,94.690,0,0,0,0,0,0,0,14,0,8.400,9.500,4.750,3401764864,1947090944,193216512,10579136512,0,0,0,0,8,0,0,1835008,1021571072,1269,3035,0,13152,348854,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1354,1401,1542,0,0,0,0,0,286951,3141,185085,22176,
22-03 22:05:09,3.769,1.633,94.347,0.251,0,0,1728512,0,0,0,14,0,8.400,9.500,4.750,3402178560,1946636288,193232896,10579685376,0,0,0,0,0,0,54,1835008,1021571072,1174,1938,0,13152,348855,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,30,502,967,0,0,0,0,0,286951,3141,184974,22176,
22-03 22:05:10,5.912,1.509,92.579,0,0,0,0,0,0,0,18,0,8.400,9.500,4.750,3401052160,1947762688,193232896,10579161088,319,259,0,0,1,0,0,1835008,1021571072,1395,2242,0,13152,349011,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,889,1049,1516,0,0,0,0,0,286951,3141,185249,22176,
22-03 22:05:11,5.416,1.889,92.569,0.126,0,0,0,0,0,0,19,0,7.720,9.340,4.730,3401166848,1947607040,193232896,10580774912,229,187,0,0,8,0,0,1835008,1021571072,1427,3095,0,13152,349005,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,1315,2219,1826,0,0,0,0,0,286951,3141,185212,22176,
22-03 22:05:12,3.662,1.010,95.328,0,0,0,0,0,0,0,17,0,7.720,9.340,4.730,3401162752,1947611136,193232896,10579443712,167,545,0,0,0,0,0,1835008,1021571072,1116,1855,0,13152,349003,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,103,129,513,0,0,0,0,0,286951,3141,185162,22176,
22-03 22:05:13,5.157,2.767,91.698,0.377,0,0,0,0,0,0,79,0,7.720,9.340,4.730,3402027008,1946746880,193232896,10579726336,2849,7844,2,0,8,0,0,1835008,1021571072,1739,4970,0,13152,349001,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,1274,1666,1612,0,0,0,0,0,286951,3141,184938,22176,
22-03 22:05:14,4.534,1.259,93.577,0.630,0,0,188416,0,0,0,35,0,7.720,9.340,4.730,3402264576,1947033600,193236992,10578931712,31580,4650,0,0,0,0,20,1835008,1021571072,1156,2000,0,13152,348940,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,265,146,427,0,0,0,0,0,286951,3141,185081,22176,
22-03 22:05:15,4.010,1.253,94.612,0.125,0,0,0,0,0,0,16,0,7.720,9.340,4.730,3403653120,1945579520,193236992,10580070400,0,0,0,0,0,0,0,1835008,1021571072,1199,1962,0,13152,348952,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,213,734,219,0,0,0,0,0,286951,3141,184653,22176,
22-03 22:05:16,3.535,2.020,94.444,0,0,0,0,0,0,0,23,0,7.100,9.190,4.700,3402555392,1946677248,193236992,10579263488,650,484,0,0,8,0,0,1835008,1021571072,1325,3105,0,13152,348950,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,1373,1387,1662,0,0,0,0,0,286951,3141,185004,22176,
22-03 22:05:17,3.778,1.259,94.836,0.126,0,0,0,0,0,0,15,0,7.100,9.190,4.700,3403079680,1946095616,193236992,10579845120,0,358,0,0,0,0,0,1835008,1021571072,1152,1841,0,13152,348960,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,202,591,434,0,0,0,0,0,286951,3141,184842,22176,
22-03 22:05:18,4.523,1.884,93.593,0,0,0,0,0,0,0,16,0,7.100,9.190,4.700,3402813440,1946361856,193236992,10579312640,0,0,2,0,8,0,0,1835008,1021571072,1374,3056,0,13152,348960,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,1551,1572,1668,0,0,0,0,0,286951,3141,184907,22176,
22-03 22:05:19,3.030,1.263,95.328,0.379,0,0,0,0,0,0,40,0,7.100,9.190,4.700,3402018816,1947152384,193236992,10579058688,0,0,0,0,0,0,0,1835008,1021571072,1116,1871,0,13152,348959,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,15,123,243,0,0,0,0,0,286951,3141,185157,22176,
22-03 22:05:20,3.275,1.385,94.962,0.378,0,0,3973120,0,0,0,17,0,7.100,9.190,4.700,3402194944,1946972160,193253376,10579054592,0,920,0,0,0,0,530,1835008,1021571072,1367,2600,0,13152,348963,0,0,6,56,12,10,58,0,1077,17,23,0,0,7,10,0,6,1,20,7,56,874,54,820,0,82,739,624,0,0,0,0,0,286951,3141,184993,22176,
22-03 22:05:21,4.380,1.752,93.867,0,0,0,0,0,0,0,15,0,6.540,9.030,4.680,3402440704,1946714112,193253376,10579058688,0,920,0,0,8,0,0,1835008,1021571072,1349,3334,0,13152,348962,0,0,6,56,12,10,58,0,1077,17,23,0,0,7,10,0,6,1,20,7,56,874,54,820,0,1329,1435,1540,0,0,0,0,0,286951,3141,184938,22176,
22-03 22:05:22,4.035,1.513,94.325,0.126,0,0,0,0,0,0,18,0,6.540,9.030,4.680,3402661888,1946488832,193253376,10579070976,0,1278,1,0,1,0,0,1835008,1021571072,1314,2247,0,13152,348963,0,0,6,56,12,10,58,0,1077,17,23,0,0,7,10,0,6,1,20,7,56,874,54,820,0,734,398,278,0,0,0,0,0,286951,3141,184938,22176,
22-03 22:05:23,6.061,2.652,91.288,0,0,0,0,0,0,0,18,0,6.540,9.030,4.680,3595771904,1747128320,193253376,10585055232,0,920,1,0,8,0,0,1835008,1021571072,2374,37207,0,13152,350032,0,0,6,56,12,10,58,0,1077,17,23,0,0,7,10,0,6,1,20,7,56,874,54,820,0,54704,76512,26863,0,0,0,0,0,286951,3141,136266,22176,
