"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/time_lock_aio_int_vm_vm-adv_mem.csv --time --lock --aio --int --vm --vm-adv --mem 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"system","file locks",,,,"async","interrupts",,,"virtual memory",,,,"advanced virtual memory",,,,,"memory usage",,,
22-03 22:16:39,56,12,10,58,0,0,17,0,0,1267,1365,1353,0,0,0,0,0,3272589312,2064990208,195211264,10598211584
22-03 22:16:40,56,12,10,58,0,0,14,0,0,185,280,328,0,0,0,0,0,3272589312,2064990208,195211264,10598211584
22-03 22:16:41,56,12,10,58,0,0,13,0,0,3,148,142,0,0,0,0,0,3272589312,2064990208,195219456,10598203392
22-03 22:16:42,56,12,10,58,0,0,38,0,0,926,743,409,0,0,0,0,0,3272962048,2064494592,195219456,10598850560
22-03 22:16:43,56,12,10,58,0,0,38,0,0,2540,3600,4272,0,0,0,0,0,3269963776,2066956288,195223552,10599841792
22-03 22:16:44,56,12,10,58,0,0,17,0,0,2328,3446,6752,0,0,0,0,0,3257106432,2078736384,195223552,10600185856
22-03 22:16:45,56,12,10,58,0,0,17,0,0,16,251,248,0,0,0,0,0,3258408960,2077429760,195223552,10599677952
22-03 22:16:46,56,12,10,58,0,0,22,0,0,354,626,195,0,0,0,0,0,3260432384,2075389952,195223552,10601529344
22-03 22:16:47,56,12,10,58,0,0,20,0,0,17,345,456,0,0,0,0,0,3260420096,2075394048,195231744,10601005056
22-03 22:16:48,56,12,10,58,0,0,29,0,0,2174,2331,2770,0,0,0,0,0,3260698624,2075021312,195231744,10600316928
22-03 22:16:49,56,12,10,58,0,0,59,0,0,1318,2335,2039,0,0,0,0,0,3261071360,2074640384,195235840,10601627648
22-03 22:16:50,56,12,10,58,0,0,23,0,0,1246,1263,1099,0,0,0,0,0,3259338752,2076319744,195235840,10600108032
22-03 22:16:51,56,12,10,58,0,0,17,0,0,31,373,272,0,0,0,0,0,3259281408,2075840512,195235840,10600644608
22-03 22:16:52,56,12,10,58,0,0,15,0,0,5262,6828,1189,0,0,0,0,0,3281170432,2052911104,195235840,10603016192
22-03 22:16:53,56,12,10,58,0,0,18,0,0,1309,1570,1584,0,0,0,0,0,3282173952,2051899392,195244032,10603257856
22-03 22:16:54,56,12,10,58,0,0,16,0,0,1589,2358,2355,0,0,0,0,0,3280842752,2053210112,195248128,10603032576
22-03 22:16:55,56,12,10,58,0,0,57,0,0,2033,3647,10004,0,0,0,0,0,3251015680,2083692544,195248128,10602618880
22-03 22:16:56,56,12,10,58,0,0,14,0,0,15,147,525,0,0,0,0,0,3250778112,2083717120,195248128,10601500672
22-03 22:16:57,56,12,10,58,0,0,15,0,0,320,680,480,0,0,0,0,0,3251494912,2082955264,195248128,10601304064
22-03 22:16:58,56,12,10,58,0,0,15,0,0,1728,2256,5680,0,0,0,0,0,3236966400,2096939008,195248128,10603421696
22-03 22:16:59,56,12,10,58,0,0,16,0,0,2389,4119,3191,0,0,0,0,0,3240148992,2092896256,195280896,10602676224
22-03 22:17:00,56,12,10,58,0,0,30,109,0,457,815,467,0,0,0,0,0,3240816640,2092023808,195280896,10603651072
22-03 22:17:01,56,12,10,58,0,0,52,0,0,119,173,165,0,0,0,0,0,3240747008,2092093440,195280896,10603900928
22-03 22:17:02,56,12,10,58,0,0,19,0,0,2298,1850,1968,0,0,0,0,0,3241222144,2091614208,195280896,10603380736
22-03 22:17:03,56,12,10,58,0,0,16,0,0,1455,1569,1566,0,0,0,0,0,3240816640,2091917312,195280896,10602893312
22-03 22:17:04,56,12,10,58,0,0,15,0,0,1299,2108,2797,0,0,0,0,0,3240189952,2092486656,195293184,10602938368
22-03 22:17:05,56,12,10,58,0,0,18,0,0,21,245,126,0,0,0,0,0,3240132608,2092011520,195293184,10603470848
22-03 22:17:06,56,12,10,58,0,0,15,0,0,320,92,84,0,0,0,0,0,3240378368,2091765760,195293184,10603470848
22-03 22:17:07,56,12,10,58,0,0,30,0,0,5292,6428,1503,0,0,0,0,0,3259285504,2071801856,195293184,10604527616
22-03 22:17:08,56,12,10,58,0,0,16,0,0,1307,1822,4474,0,0,0,0,0,3249348608,2084667392,195293184,10603171840
22-03 22:17:09,56,12,10,58,0,0,15,34,0,1295,2047,4377,0,0,0,0,0,3248775168,2089254912,195293184,10597814272
22-03 22:17:10,56,12,10,58,0,0,17,0,0,356,336,320,0,0,0,0,0,3248902144,2089115648,195305472,10597576704
22-03 22:17:11,56,12,10,58,0,0,28,0,0,925,1337,1074,0,0,0,0,0,3250601984,2087309312,195305472,10597748736
22-03 22:17:12,56,12,10,58,0,0,26,0,0,84,321,104,0,0,0,0,0,3251060736,2086277120,195305472,10598387712
22-03 22:17:13,56,12,10,58,0,0,61,0,0,1805,1559,1580,0,0,0,0,0,3251269632,2086068224,195305472,10598256640
22-03 22:17:14,56,12,10,58,0,0,11,0,0,7005,8238,6216,0,0,0,0,0,3260030976,2077413376,195305472,10598150144
22-03 22:17:15,56,12,10,58,0,0,15,0,0,10,248,98,0,0,0,0,0,3261243392,2076200960,195305472,10598739968
22-03 22:17:16,56,12,10,58,0,0,14,0,0,14,470,329,0,0,0,0,0,3261431808,2075987968,195317760,10599276544
22-03 22:17:17,56,12,10,58,0,0,14,0,0,14,84,373,0,0,0,0,0,3260063744,2077356032,195317760,10598211584
22-03 22:17:18,56,12,10,58,0,0,14,0,0,2981,3019,4891,0,0,0,0,0,3248316416,2088972288,195317760,10598359040
22-03 22:17:19,56,12,10,58,0,0,50,0,0,3649,3461,4250,0,0,0,0,0,3245346816,2091405312,195317760,10599157760
22-03 22:17:20,56,12,10,58,0,0,19,0,0,18,1352,731,0,0,0,0,0,3243712512,2090913792,195317760,10601578496
22-03 22:17:21,56,12,10,58,0,0,19,0,0,32,372,330,0,0,0,0,0,3245236224,2089390080,195317760,10602508288
22-03 22:17:22,56,12,10,58,0,0,33,0,0,2227,3128,1329,0,0,0,0,0,3248787456,2084790272,195325952,10603266048
22-03 22:17:23,56,12,10,58,0,0,23,0,0,1297,1506,1661,0,0,0,0,0,3248717824,2084855808,195325952,10602741760
22-03 22:17:24,56,12,10,58,0,0,15,0,0,1285,1780,1763,0,0,0,0,0,3250290688,2083266560,195342336,10602491904
22-03 22:17:25,56,12,10,58,0,0,47,0,0,1326,1702,599,0,0,0,0,0,3252559872,2080985088,195342336,10603286528
22-03 22:17:26,56,12,10,58,0,0,21,0,0,667,590,601,0,0,0,0,0,3251892224,2080985088,195342336,10602631168
22-03 22:17:27,56,12,10,58,0,0,42,0,0,6,234,170,0,0,0,0,0,3251867648,2081009664,195342336,10602897408
22-03 22:17:28,56,12,10,58,0,0,15,0,0,1309,1700,1564,0,0,0,0,0,3252314112,2080550912,195350528,10603892736
22-03 22:17:29,56,12,10,58,0,0,13,0,0,6608,8289,2738,0,0,0,0,0,3273875456,2057936896,195358720,10603880448
22-03 22:17:30,56,12,10,58,0,0,18,0,0,333,322,717,0,0,0,0,0,3275771904,2056708096,195358720,10602962944
22-03 22:17:31,56,12,10,58,0,0,39,0,0,35,531,117,0,0,0,0,0,3276017664,2056462336,195358720,10604285952
22-03 22:17:32,56,12,10,58,0,0,15,0,0,94,389,1544,0,0,0,0,0,3274653696,2057781248,195358720,10604048384
22-03 22:17:33,56,12,10,58,0,0,41,0,0,2526,4430,7991,0,0,0,0,0,3259101184,2072584192,195371008,10604052480
22-03 22:17:34,56,12,10,58,0,0,19,0,0,346,255,101,0,0,0,0,0,3259834368,2071826432,195371008,10604294144
22-03 22:17:35,56,12,10,58,0,0,15,0,0,1329,1943,1919,0,0,0,0,0,3260067840,2071572480,195387392,10605096960
22-03 22:17:36,56,12,10,58,0,0,16,0,0,14,101,226,0,0,0,0,0,3261034496,2070605824,195387392,10604814336
22-03 22:17:37,56,12,10,58,0,0,40,0,0,5731,6785,6514,0,0,0,0,0,3262947328,2067628032,195403776,10605072384
22-03 22:17:38,56,12,10,58,0,0,10,0,0,1612,1505,1385,0,0,0,0,0,3263373312,2067169280,195403776,10605314048
22-03 22:17:39,56,12,10,58,0,0,14,0,0,1119,1723,1147,0,0,0,0,0,3262234624,2068303872,195403776,10606100480
22-03 22:17:40,56,12,10,58,0,0,21,0,0,1448,3063,3007,0,0,0,0,0,3260338176,2069598208,195403776,10605527040
22-03 22:17:41,56,12,10,58,0,0,18,0,0,121,1126,896,0,0,0,0,0,3261513728,2068332544,195403776,10606141440
22-03 22:17:42,56,12,10,58,0,0,18,0,0,319,919,1041,0,0,0,0,0,3261493248,2068348928,195403776,10605613056
22-03 22:17:43,56,12,10,58,0,0,48,0,0,1327,2520,2211,0,0,0,0,0,3262963712,2066870272,195411968,10606669824
22-03 22:17:44,56,12,10,58,0,0,85,0,0,4978,7248,9576,0,0,0,0,0,3253309440,2075680768,195411968,10607239168
22-03 22:17:45,56,12,10,58,0,0,32,0,0,1289,2775,2906,0,0,0,0,0,3254804480,2073980928,195416064,10606989312
22-03 22:17:46,56,12,10,58,0,0,17,0,0,1201,2244,3717,0,0,0,0,0,3248091136,2080673792,195416064,10607550464
22-03 22:17:47,56,12,10,58,0,0,18,0,0,258,1285,907,0,0,0,0,0,3248996352,2079178752,195416064,10608390144
22-03 22:17:48,56,12,10,58,0,0,14,0,0,1469,2472,2493,0,0,0,0,0,3249147904,2078937088,195416064,10608140288
22-03 22:17:49,56,12,10,58,0,0,34,0,0,514,1188,1308,0,0,0,0,0,3250618368,2077454336,195424256,10607628288
22-03 22:17:50,56,12,10,58,0,0,17,0,0,1589,2634,4688,0,0,0,0,0,3246645248,2081398784,195428352,10608443392
22-03 22:17:51,56,12,10,58,0,0,18,0,0,7,1032,1140,0,0,0,0,0,3247611904,2080428032,195428352,10608115712
22-03 22:17:52,56,12,10,58,0,0,16,0,0,5068,6972,2935,0,0,0,0,0,3262234624,2064760832,195428352,10608967680
22-03 22:17:53,56,12,10,58,0,0,14,0,0,2102,3191,4023,0,0,0,0,0,3257806848,2069725184,195428352,10607898624
22-03 22:17:54,56,12,10,58,0,0,16,0,0,776,1883,1662,0,0,0,0,0,3259420672,2067501056,195440640,10609487872
22-03 22:17:55,56,12,10,58,0,0,51,0,0,1305,2657,3448,0,0,0,0,0,3261042688,2065866752,195452928,10609213440
22-03 22:17:56,56,12,10,58,0,0,22,0,0,1252,2140,1128,0,0,0,0,0,3261079552,2065739776,195452928,10609053696
22-03 22:17:57,56,12,10,58,0,0,17,0,0,18,867,1010,0,0,0,0,0,3260416000,2066399232,195452928,10608791552
22-03 22:17:58,56,12,10,58,0,0,15,0,0,1633,2468,2184,0,0,0,0,0,3261607936,2065207296,195452928,10609582080
22-03 22:17:59,56,12,10,58,0,0,15,0,0,3139,5226,2899,0,0,0,0,0,3270643712,2055307264,195461120,10610229248
22-03 22:18:00,56,12,10,58,0,0,16,0,0,2225,3438,10804,0,0,0,0,0,3231961088,2093735936,195469312,10610229248
22-03 22:18:01,56,12,10,58,0,0,32,0,0,340,753,290,0,0,0,0,0,3232641024,2092515328,195469312,10611236864
22-03 22:18:02,56,12,10,58,0,0,15,0,0,2088,1615,1482,0,0,0,0,0,3233886208,2091266048,195469312,10611499008
22-03 22:18:03,56,12,10,58,0,0,16,0,0,1514,1582,1621,0,0,0,0,0,3234816000,2090233856,195469312,10611060736
22-03 22:18:04,56,12,10,58,0,0,17,0,0,14,215,499,0,0,0,0,0,3235958784,2089746432,195481600,10609876992
22-03 22:18:05,56,12,10,58,0,0,39,0,0,1290,2181,1992,0,0,0,0,0,3234574336,2091122688,195481600,10610425856
22-03 22:18:06,56,12,10,58,0,0,39,0,0,318,82,340,0,0,0,0,0,3236089856,2089607168,195481600,10609811456
22-03 22:18:07,56,12,10,58,0,0,38,0,0,6344,7820,6545,0,0,0,0,0,3231711232,2092978176,195481600,10610835456
22-03 22:18:08,56,12,10,58,0,0,16,0,0,1977,2196,2036,0,0,0,0,0,3232841728,2091212800,195481600,10611462144
22-03 22:18:09,56,12,10,58,0,0,17,0,0,25,379,140,0,0,0,0,0,3232796672,2091257856,195481600,10612318208
22-03 22:18:10,56,12,10,58,0,0,23,0,0,1628,2032,2147,0,0,0,0,0,3233443840,2090565632,195506176,10611535872
22-03 22:18:11,56,12,10,58,0,0,21,0,0,2173,3810,3734,0,0,0,0,0,3228246016,2095558656,195506176,10611949568
22-03 22:18:12,56,12,10,58,0,0,16,0,0,10,395,222,0,0,0,0,0,3230265344,2093522944,195506176,10612764672
22-03 22:18:13,56,12,10,58,0,0,39,0,0,1352,1614,1612,0,0,0,0,0,3230752768,2093035520,195506176,10612621312
22-03 22:18:14,56,12,10,58,0,0,21,0,0,6214,7341,3067,0,0,0,0,0,3246415872,2076315648,195506176,10613145600
22-03 22:18:15,56,12,10,58,0,0,14,0,0,1405,1544,1362,0,0,0,0,0,3246649344,2075492352,195506176,10613743616
22-03 22:18:16,56,12,10,58,0,0,21,0,0,31,803,668,0,0,0,0,0,3248156672,2073968640,195518464,10614530048
22-03 22:18:17,56,12,10,58,0,0,28,0,0,23,102,2410,0,0,0,0,0,3240640512,2081476608,195518464,10613231616
22-03 22:18:18,56,12,10,58,0,0,15,0,0,2065,2087,1990,0,0,0,0,0,3241566208,2080448512,195518464,10613600256
22-03 22:18:19,56,12,10,58,0,0,43,0,0,96,397,237,0,0,0,0,0,3243585536,2078425088,195518464,10614579200
22-03 22:18:20,56,12,10,58,0,0,14,0,0,1281,1386,1634,0,0,0,0,0,3243560960,2078437376,195518464,10613284864
22-03 22:18:21,56,12,10,58,0,0,24,0,0,879,1669,5246,0,0,0,0,0,3222310912,2099679232,195526656,10613551104
22-03 22:18:22,56,12,10,58,0,0,17,0,0,1198,2685,996,0,0,0,0,0,3226386432,2094260224,195526656,10615693312
22-03 22:18:23,56,12,10,58,0,0,12,0,0,1606,1386,1600,0,0,0,0,0,3227607040,2092740608,195526656,10616233984
22-03 22:18:24,56,12,10,58,0,0,14,0,0,5,73,345,0,0,0,0,0,3227594752,2092752896,195526656,10614910976
22-03 22:18:25,56,12,10,58,0,0,47,0,0,1320,1537,1402,0,0,0,0,0,3227811840,2092523520,195526656,10615398400
22-03 22:18:26,56,12,10,58,0,0,18,0,0,866,1451,2585,0,0,0,0,0,3228155904,2092077056,195534848,10616274944
22-03 22:18:27,56,12,10,58,0,0,26,0,0,320,183,158,0,0,0,0,0,3228401664,2091831296,195534848,10616016896
22-03 22:18:28,56,12,10,58,0,0,29,0,0,2118,2431,2915,0,0,0,0,0,3228323840,2091909120,195534848,10615349248
22-03 22:18:29,56,12,10,58,0,0,16,0,0,5614,6969,1919,0,0,0,0,0,3246796800,2071777280,195534848,10617278464
22-03 22:18:30,56,12,10,58,0,0,17,0,0,1277,1643,4729,0,0,0,0,0,3238490112,2080083968,195534848,10617794560
22-03 22:18:31,56,12,10,58,0,0,52,0,0,346,609,1199,0,0,0,0,0,3238670336,2080432128,195547136,10616397824
22-03 22:18:32,56,12,10,58,0,0,23,0,0,23,261,326,0,0,0,0,0,3238895616,2080186368,195547136,10616434688
22-03 22:18:33,56,12,10,58,0,0,15,0,0,96,175,1426,0,0,0,0,0,3234091008,2084986880,195547136,10616696832
22-03 22:18:34,56,12,10,58,0,0,14,0,0,1326,1684,1694,0,0,0,0,0,3234156544,2084921344,195547136,10617479168
22-03 22:18:35,56,12,10,58,0,0,18,0,0,2301,2456,1940,0,0,0,0,0,3233746944,2085236736,195547136,10617040896
22-03 22:18:36,56,12,10,58,0,0,13,0,0,488,844,371,0,0,0,0,0,3233636352,2084753408,195555328,10616844288
22-03 22:18:37,56,12,10,58,0,0,34,0,0,5055,6433,5068,0,0,0,0,0,3236847616,2081484800,195555328,10617892864
22-03 22:18:38,56,12,10,58,0,0,21,0,0,334,291,294,0,0,0,0,0,3236003840,2082328576,195555328,10617892864
22-03 22:18:39,56,12,10,58,0,0,28,0,0,1616,1511,1637,0,0,0,0,0,3236941824,2081382400,195555328,10617692160
22-03 22:18:40,56,12,10,58,0,0,16,0,0,1282,1393,1981,0,0,0,0,0,3237126144,2081878016,195555328,10616238080
22-03 22:18:41,56,12,10,58,0,0,14,0,0,768,1888,1747,0,0,0,0,0,3234103296,2084794368,195567616,10617380864
22-03 22:18:42,56,12,10,58,0,0,14,0,0,3,79,69,0,0,0,0,0,3233431552,2085445632,195567616,10617401344
22-03 22:18:43,56,12,10,58,0,0,34,0,0,1061,1391,5432,0,0,0,0,0,3213217792,2105073664,195567616,10617712640
22-03 22:18:44,56,12,10,58,0,0,13,0,0,5987,7062,2438,0,0,0,0,0,3231772672,2085466112,195567616,10618249216
22-03 22:18:45,56,12,10,58,0,0,36,0,0,1293,1706,1718,0,0,0,0,0,3233996800,2084241408,195567616,10618040320
22-03 22:18:46,56,12,10,58,0,0,22,0,0,29,610,599,0,0,0,0,0,3234693120,2083520512,195579904,10618052608
22-03 22:18:47,56,12,10,58,0,0,15,0,0,323,251,356,0,0,0,0,0,3233095680,2085117952,195579904,10617712640
22-03 22:18:48,56,12,10,58,0,0,15,0,0,1073,1930,3006,0,0,0,0,0,3230908416,2087211008,195579904,10617356288
22-03 22:18:49,56,12,10,58,0,0,49,0,0,1833,2977,2204,0,0,0,0,0,3232100352,2085888000,195579904,10618294272
22-03 22:18:50,56,12,10,58,0,0,31,0,0,2615,3200,3330,0,0,0,0,0,3232985088,2084409344,195579904,10618597376
22-03 22:18:51,56,12,10,58,0,0,18,0,0,605,355,589,0,0,0,0,0,3234193408,2084188160,195592192,10617348096
22-03 22:18:52,56,12,10,58,0,0,14,0,0,5012,6434,5938,0,0,0,0,0,3238662144,2078666752,195592192,10619183104
22-03 22:18:53,56,12,10,58,0,0,14,0,0,21,89,108,0,0,0,0,0,3238617088,2078703616,195592192,10618933248
22-03 22:18:54,56,12,10,58,0,0,15,0,0,1300,1492,1635,0,0,0,0,0,3239342080,2077978624,195592192,10618400768
22-03 22:18:55,56,12,10,58,0,0,49,0,0,1619,1407,1366,0,0,0,0,0,3238711296,2078597120,195592192,10618421248
22-03 22:18:56,56,12,10,58,0,0,16,0,0,1038,1522,3068,0,0,0,0,0,3233415168,2083803136,195596288,10619289600
22-03 22:18:57,56,12,10,58,0,0,18,0,0,751,1723,2006,0,0,0,0,0,3234418688,2082197504,195600384,10618830848
22-03 22:18:58,56,12,10,58,0,0,16,0,0,33,249,107,0,0,0,0,0,3234152448,2082463744,195600384,10619105280
22-03 22:18:59,56,12,10,58,0,0,13,0,0,6898,7685,2801,0,0,0,0,0,3247263744,2068279296,195600384,10619846656
22-03 22:19:00,56,12,10,58,0,0,31,0,0,1278,1718,1705,0,0,0,0,0,3248533504,2068021248,195600384,10619625472
22-03 22:19:01,56,12,10,58,0,0,46,0,0,160,178,412,0,0,0,0,0,3248988160,2067562496,195600384,10618580992
22-03 22:19:02,56,12,10,58,0,0,22,0,0,1459,2013,1863,0,0,0,0,0,3248939008,2067587072,195637248,10619092992
22-03 22:19:03,56,12,10,58,0,0,14,0,0,899,644,387,0,0,0,0,0,3249168384,2067329024,195645440,10619637760
22-03 22:19:04,56,12,10,58,0,0,16,0,0,3114,3623,3199,0,0,0,0,0,3246321664,2069520384,195661824,10620276736
22-03 22:19:05,56,12,10,58,0,0,15,0,0,1292,1529,2306,0,0,0,0,0,3246551040,2069237760,195661824,10619797504
22-03 22:19:06,56,12,10,58,0,0,17,0,0,3,83,325,0,0,0,0,0,3247837184,2068992000,195661824,10618798080
22-03 22:19:07,56,12,10,58,0,0,36,0,0,5299,6781,3881,0,0,0,0,0,3260334080,2055655424,195661824,10620162048
22-03 22:19:08,56,12,10,58,0,0,14,0,0,5,96,344,0,0,0,0,0,3260108800,2055655424,195661824,10619588608
22-03 22:19:09,56,12,10,58,0,0,13,0,0,1311,1510,1414,0,0,0,0,0,3260579840,2055184384,195661824,10619854848
22-03 22:19:10,56,12,10,58,0,0,20,0,0,1309,1764,2141,0,0,0,0,0,3260485632,2055811072,195674112,10620166144
22-03 22:19:11,56,12,10,58,0,0,20,0,0,1945,2127,5925,0,0,0,0,0,3241160704,2074447872,195674112,10620596224
22-03 22:19:12,56,12,10,58,0,0,31,0,0,5,250,505,0,0,0,0,0,3239530496,2076078080,195674112,10619797504
22-03 22:19:13,56,12,10,58,0,0,48,0,0,65,246,136,0,0,0,0,0,3240013824,2075574272,195674112,10620092416
22-03 22:19:14,56,12,10,58,0,0,14,0,0,6509,7867,3133,0,0,0,0,0,3259400192,2056867840,195674112,10620162048
22-03 22:19:15,56,12,10,58,0,0,13,0,0,1915,1605,1630,0,0,0,0,0,3259600896,2056650752,195686400,10619908096
22-03 22:19:16,56,12,10,58,0,0,13,0,0,6,239,364,0,0,0,0,0,3259510784,2056736768,195686400,10619379712
22-03 22:19:17,56,12,10,58,0,0,15,0,0,21,709,1102,0,0,0,0,0,3258572800,2057666560,195694592,10619129856
22-03 22:19:18,56,12,10,58,0,0,16,0,0,1149,1836,971,0,0,0,0,0,3256442880,2059190272,195694592,10620776448
22-03 22:19:19,56,12,10,58,0,0,36,0,0,1831,1633,1902,0,0,0,0,0,3255808000,2059735040,195694592,10619809792
22-03 22:19:20,56,12,10,58,0,0,16,0,0,1277,1517,1380,0,0,0,0,0,3256520704,2059014144,195694592,10619899904
22-03 22:19:21,56,12,10,58,0,0,15,0,0,23,415,418,0,0,0,0,0,3256225792,2060341248,195702784,10620198912
22-03 22:19:22,56,12,10,58,0,0,18,0,0,3291,4878,6448,0,0,0,0,0,3251523584,2063978496,195715072,10619654144
22-03 22:19:23,56,12,10,58,0,0,22,0,0,350,134,152,0,0,0,0,0,3251765248,2063724544,195715072,10619625472
22-03 22:19:24,56,12,10,58,0,0,31,0,0,1306,1537,1414,0,0,0,0,0,3252269056,2063220736,195715072,10620149760
22-03 22:19:25,56,12,10,58,0,0,39,0,0,2103,2845,2005,0,0,0,0,0,3252903936,2061971456,195715072,10621546496
22-03 22:19:26,56,12,10,58,0,0,20,0,0,1878,3549,2346,0,0,0,0,0,3257782272,2056855552,195727360,10620780544
22-03 22:19:27,56,12,10,58,0,0,12,0,0,632,564,416,0,0,0,0,0,3257491456,2057146368,195727360,10621120512
22-03 22:19:28,56,12,10,58,0,0,16,0,0,6,87,211,0,0,0,0,0,3257430016,2057199616,195727360,10620604416
22-03 22:19:29,56,12,10,58,0,0,14,0,0,6491,7861,5406,0,0,0,0,0,3261784064,2052829184,195727360,10621419520
22-03 22:19:30,56,12,10,58,0,0,14,0,0,607,720,635,0,0,0,0,0,3262509056,2052067328,195727360,10621108224
22-03 22:19:31,56,12,10,58,0,0,34,0,0,999,871,1072,0,0,0,0,0,3263500288,2051067904,195735552,10621116416
22-03 22:19:32,56,12,10,58,0,0,15,0,0,161,1075,1245,0,0,0,0,0,3262050304,2051911680,195743744,10621448192
22-03 22:19:33,56,12,10,58,0,0,21,0,0,23,369,132,0,0,0,0,0,3263569920,2050375680,195743744,10622255104
22-03 22:19:34,56,12,10,58,0,0,21,0,0,1506,1801,1721,0,0,0,0,0,3263963136,2049888256,195743744,10621816832
22-03 22:19:35,56,12,10,58,0,0,31,0,0,342,124,103,0,0,0,0,0,3263959040,2049888256,195743744,10621829120
22-03 22:19:36,56,12,10,58,0,0,16,0,0,1275,1653,1518,0,0,0,0,0,3264962560,2048884736,195743744,10622611456
22-03 22:19:37,56,12,10,58,0,0,43,0,0,4862,6147,4013,0,0,0,0,0,3275046912,2038751232,195772416,10621308928
22-03 22:19:38,56,12,10,58,0,0,16,0,0,29,687,526,0,0,0,0,0,3274993664,2038763520,195772416,10621890560
22-03 22:19:39,56,12,10,58,0,0,10,0,0,2917,3066,7255,0,0,0,0,0,3257622528,2055540736,195772416,10622218240
22-03 22:19:40,56,12,10,58,0,0,12,0,0,469,514,250,0,0,0,0,0,3258114048,2055041024,195772416,10623016960
22-03 22:19:41,56,12,10,58,0,0,16,0,0,1618,1720,2000,0,0,0,0,0,3258355712,2054799360,195772416,10621952000
22-03 22:19:42,56,12,10,58,0,0,15,0,0,3,221,86,0,0,0,0,0,3258499072,2054553600,195772416,10622529536
22-03 22:19:43,56,12,10,58,0,0,26,0,0,334,596,665,0,0,0,0,0,3259760640,2053287936,195780608,10623057920
22-03 22:19:44,56,12,10,58,0,0,15,0,0,2531,3632,3301,0,0,0,0,0,3261956096,2051067904,195780608,10623107072
22-03 22:19:45,56,12,10,58,0,0,22,0,0,22,291,423,0,0,0,0,0,3261915136,2051108864,195780608,10622840832
22-03 22:19:46,56,12,10,58,0,0,57,0,0,1677,2231,3940,0,0,0,0,0,3252998144,2059419648,195780608,10623254528
22-03 22:19:47,56,12,10,58,0,0,16,0,0,343,365,216,0,0,0,0,0,3252920320,2059460608,195780608,10623557632
22-03 22:19:48,56,12,10,58,0,0,13,0,0,10,641,4160,0,0,0,0,0,3248353280,2070839296,195792896,10617040896
22-03 22:19:49,56,12,10,58,0,0,33,0,0,1831,2096,2160,0,0,0,0,0,3247595520,2071506944,195792896,10616856576
22-03 22:19:50,56,12,10,58,0,0,23,0,0,33,108,250,0,0,0,0,0,3248381952,2071441408,195792896,10615918592
22-03 22:19:51,56,12,10,58,0,0,20,0,0,1588,1633,1506,0,0,0,0,0,3248353280,2071470080,195792896,10616451072
22-03 22:19:52,56,12,10,58,0,0,14,0,0,5537,6466,1911,0,0,0,0,0,3261722624,2058199040,195792896,10615545856
22-03 22:19:53,56,12,10,58,0,0,21,0,0,1640,3143,1963,0,0,0,0,0,3263418368,2055892992,195805184,10616426496
22-03 22:19:54,56,12,10,58,0,0,25,0,0,1299,1641,1381,0,0,0,0,0,3264671744,2054627328,195805184,10617425920
22-03 22:19:55,56,12,10,58,0,0,48,0,0,322,109,231,0,0,0,0,0,3264671744,2054627328,195805184,10617409536
22-03 22:19:56,56,12,10,58,0,0,36,0,0,1646,1828,1707,0,0,0,0,0,3263746048,2055450624,195805184,10616455168
22-03 22:19:57,56,12,10,58,0,0,22,0,0,24,227,115,0,0,0,0,0,3263995904,2055196672,195805184,10616733696
22-03 22:19:58,56,12,10,58,0,0,20,0,0,6,638,504,0,0,0,0,0,3263451136,2055729152,195817472,10617516032
22-03 22:19:59,56,12,10,58,0,0,17,0,0,6955,7748,5866,0,0,0,0,0,3270332416,2047799296,195817472,10617241600
22-03 22:20:00,56,12,10,58,0,0,16,0,0,417,1032,671,0,0,0,0,0,3269713920,2047799296,195817472,10618101760
22-03 22:20:01,56,12,10,58,0,0,28,0,0,1373,1441,1447,0,0,0,0,0,3270213632,2047299584,195817472,10618101760
22-03 22:20:02,56,12,10,58,0,0,16,0,0,1473,1578,2877,0,0,0,0,0,3265249280,2052259840,195817472,10618880000
22-03 22:20:03,56,12,10,58,0,0,17,0,0,319,588,835,0,0,0,0,0,3264176128,2053312512,195837952,10617815040
22-03 22:20:04,56,12,10,58,0,0,15,0,0,2965,4610,5242,0,0,0,0,0,3256283136,2060828672,195837952,10618417152
22-03 22:20:05,56,12,10,58,0,0,15,0,0,22,345,107,0,0,0,0,0,3257032704,2060079104,195837952,10619723776
22-03 22:20:06,56,12,10,58,0,0,18,0,0,1273,1362,1503,0,0,0,0,0,3257802752,2059309056,195837952,10619191296
22-03 22:20:07,56,12,10,58,0,0,70,0,0,5681,6890,6026,0,0,0,0,0,3258421248,2057023488,195837952,10619793408
22-03 22:20:08,56,12,10,58,0,0,21,0,0,32,645,487,0,0,0,0,0,3260702720,2054733824,195850240,10620272640
22-03 22:20:09,56,12,10,58,0,0,17,0,0,1311,1663,1530,0,0,0,0,0,3261722624,2053701632,195850240,10621132800
22-03 22:20:10,56,12,10,58,0,0,16,0,0,17,918,1182,0,0,0,0,0,3261968384,2053455872,195850240,10620076032
