"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/cpu.csv --time --cpu 1 600",,,,"Date:","22 Mar 2023 22:03:09 -03"
"system","total cpu usage",,,,
22-03 22:11:27,4.277,2.013,93.585,0.126,0
22-03 22:11:28,4.774,1.508,93.719,0,0
22-03 22:11:29,4.660,2.141,93.073,0.126,0
22-03 22:11:30,4.768,1.757,93.350,0.125,0
22-03 22:11:31,3.526,1.889,94.458,0.126,0
22-03 22:11:32,4.156,0.756,94.962,0.126,0
22-03 22:11:33,3.409,1.010,95.581,0,0
22-03 22:11:34,3.914,1.641,94.318,0.126,0
22-03 22:11:35,4.030,1.763,94.207,0,0
22-03 22:11:36,4.141,2.008,93.225,0.627,0
22-03 22:11:37,5.190,1.392,93.418,0,0
22-03 22:11:38,4.391,1.506,93.977,0.125,0
22-03 22:11:39,4.025,0.881,95.094,0,0
22-03 22:11:40,4.156,2.015,93.577,0.252,0
22-03 22:11:41,4.025,1.761,94.214,0,0
22-03 22:11:42,3.275,1.385,95.214,0.126,0
22-03 22:11:43,4.020,1.131,94.849,0,0
22-03 22:11:44,4.288,1.892,93.695,0.126,0
22-03 22:11:45,3.778,1.511,94.710,0,0
22-03 22:11:46,3.401,1.008,95.466,0.126,0
22-03 22:11:47,6.305,3.153,89.786,0.757,0
22-03 22:11:48,4.282,1.637,94.081,0,0
22-03 22:11:49,4.774,1.256,93.844,0.126,0
22-03 22:11:50,4.135,2.381,93.484,0,0
22-03 22:11:51,3.262,1.506,95.107,0.125,0
22-03 22:11:52,4.937,1.392,93.165,0.506,0
22-03 22:11:53,4.135,1.629,94.236,0,0
22-03 22:11:54,4.523,1.131,94.221,0.126,0
22-03 22:11:55,3.774,3.774,92.327,0.126,0
22-03 22:11:56,4.430,1.392,94.051,0.127,0
22-03 22:11:57,4.040,1.641,94.318,0,0
22-03 22:11:58,3.657,1.261,94.956,0.126,0
22-03 22:11:59,4.689,1.521,93.790,0,0
22-03 22:12:00,4.540,1.765,93.569,0.126,0
22-03 22:12:01,3.291,1.266,95.063,0.380,0
22-03 22:12:02,4.798,1.894,93.182,0.126,0
22-03 22:12:03,3.783,0.883,95.334,0,0
22-03 22:12:04,4.282,1.385,94.207,0.126,0
22-03 22:12:05,3.141,1.884,94.849,0.126,0
22-03 22:12:06,3.764,1.255,94.730,0.251,0
22-03 22:12:07,5.013,2.256,92.481,0.251,0
22-03 22:12:08,4.288,1.261,94.325,0.126,0
22-03 22:12:09,4.403,1.258,94.340,0,0
22-03 22:12:10,3.764,2.258,93.726,0.251,0
22-03 22:12:11,3.904,1.385,94.710,0,0
22-03 22:12:12,4.035,1.639,94.199,0.126,0
22-03 22:12:13,3.904,1.259,94.836,0,0
22-03 22:12:14,4.151,1.258,94.214,0.377,0
22-03 22:12:15,3.769,2.010,93.593,0.628,0
22-03 22:12:16,4.005,2.003,93.867,0.125,0
22-03 22:12:17,4.051,2.025,93.924,0,0
22-03 22:12:18,3.769,1.256,94.849,0.126,0
22-03 22:12:19,3.924,1.013,95.063,0,0
22-03 22:12:20,4.151,1.384,94.340,0.126,0
22-03 22:12:21,3.914,1.136,94.823,0.126,0
22-03 22:12:22,3.788,1.894,94.318,0,0
22-03 22:12:23,3.890,1.380,94.605,0.125,0
22-03 22:12:24,4.744,0.999,94.132,0.125,0
22-03 22:12:25,4.293,1.263,94.318,0.126,0
22-03 22:12:26,3.509,1.504,94.361,0.627,0
22-03 22:12:27,4.271,2.010,93.719,0,0
22-03 22:12:28,3.890,1.380,94.605,0.125,0
22-03 22:12:29,3.909,1.639,94.451,0,0
22-03 22:12:30,4.523,1.256,94.095,0.126,0
22-03 22:12:31,4.271,1.256,93.719,0.754,0
22-03 22:12:32,4.061,1.777,94.162,0,0
22-03 22:12:33,4.293,1.515,94.066,0.126,0
22-03 22:12:34,3.513,1.255,95.107,0.125,0
22-03 22:12:35,4.156,1.637,94.207,0,0
22-03 22:12:36,5.031,1.384,93.459,0.126,0
22-03 22:12:37,4.798,2.020,93.182,0,0
22-03 22:12:38,5.144,1.129,93.601,0.125,0
22-03 22:12:39,4.030,0.882,95.088,0,0
22-03 22:12:40,4.414,1.387,93.947,0.252,0
22-03 22:12:41,5.689,2.149,92.035,0.126,0
22-03 22:12:42,3.914,2.525,93.561,0,0
22-03 22:12:43,4.666,2.270,92.938,0.126,0
22-03 22:12:44,5.514,2.632,91.855,0,0
22-03 22:12:45,6.423,2.141,90.680,0.756,0
22-03 22:12:46,4.924,2.652,92.424,0,0
22-03 22:12:47,4.786,2.897,92.191,0.126,0
22-03 22:12:48,4.545,1.894,93.434,0.126,0
22-03 22:12:49,4.930,1.643,93.426,0,0
22-03 22:12:50,3.924,1.646,94.304,0.127,0
22-03 22:12:51,4.298,2.149,93.426,0.126,0
22-03 22:12:52,4.304,2.532,93.165,0,0
22-03 22:12:53,3.797,1.772,94.304,0.127,0
22-03 22:12:54,4.666,1.513,93.821,0,0
22-03 22:12:55,4.534,1.889,93.325,0.252,0
22-03 22:12:56,4.684,1.899,92.911,0.506,0
22-03 22:12:57,4.156,2.015,93.829,0,0
22-03 22:12:58,4.051,1.646,94.177,0.127,0
22-03 22:12:59,4.666,1.387,93.821,0.126,0
22-03 22:13:00,4.540,2.018,93.443,0,0
22-03 22:13:01,4.293,2.020,93.434,0.253,0
22-03 22:13:02,4.391,2.509,92.597,0.502,0
22-03 22:13:03,3.401,1.134,95.340,0.126,0
22-03 22:13:04,3.783,1.387,94.704,0.126,0
22-03 22:13:05,4.271,1.256,94.347,0.126,0
22-03 22:13:06,4.534,2.141,93.325,0,0
22-03 22:13:07,3.657,1.892,94.325,0.126,0
22-03 22:13:08,5.057,1.517,93.173,0.253,0
