"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/net_unix_sys_int_vm-adv_io_mem_lock_load_proc_page_aio.csv --net --unix --sys --int --vm-adv --io --mem --lock --load --proc --page --aio 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"net/total",,"unix sockets",,,,"system",,"interrupts",,,"advanced virtual memory",,,,,"io/total",,"memory usage",,,,"file locks",,,,"load avg",,,"procs",,,"paging",,"async"
21454,9162,56,981,55,926,2586,5888,0,130,0,0,0,0,0,0,0,0,4994277376,2718597120,798883840,7885615104,83,12,13,82,0.980,1.060,1.080,3,0,0,0,0,0
5924,7208,56,981,55,926,2443,5520,0,114,0,0,0,0,0,0,0,0,4994715648,2718150656,798883840,7885623296,83,12,13,82,1.060,1.070,1.080,1,0,0,0,0,0
8005,8638,56,981,55,926,2768,7258,0,166,0,0,0,0,0,0,0,106,4995846144,2717007872,798896128,7885955072,83,12,13,82,1.060,1.070,1.080,0,0,8,0,0,0
5750,6850,56,981,55,926,2610,7197,0,114,0,0,0,0,0,0,0,0,4996849664,2715840512,798896128,7886376960,83,12,13,82,1.060,1.070,1.080,1,0,8,0,0,0
7646,11839,56,981,55,926,2571,7113,0,128,0,0,0,0,0,0,0,24,5013663744,2699018240,798904320,7885844480,83,12,13,82,1.060,1.070,1.080,1,0,1,0,0,0
21426,8402,56,981,55,926,2552,5640,0,129,0,0,0,0,0,0,0,0,5014605824,2697838592,798904320,7886024704,83,12,13,82,1.060,1.070,1.080,0,0,0,0,0,0
5880,7208,56,981,55,926,2454,5536,0,115,0,0,0,0,0,0,0,0,5015293952,2697150464,798904320,7886024704,83,12,13,82,0.970,1.060,1.080,0,0,0,0,0,0
6027,7231,56,981,55,926,2681,6763,0,116,0,0,0,0,0,0,0,74,5015920640,2696519680,798904320,7886094336,83,12,13,82,0.970,1.060,1.080,0,0,8,0,0,0
6241,7587,56,981,55,926,2603,6948,0,142,0,0,0,0,0,0,0,0,5017042944,2695393280,798904320,7886364672,83,12,13,82,0.970,1.060,1.080,1,0,8,0,0,0
5880,7186,56,981,55,926,2494,5704,0,115,0,0,0,0,0,0,0,20,5017493504,2694922240,798916608,7886630912,83,12,13,82,0.970,1.060,1.080,1,0,0,0,0,0
6113,7261,56,981,55,926,2476,5602,0,122,0,0,0,0,0,0,0,0,5016231936,2696175616,798916608,7886307328,83,12,13,82,0.970,1.060,1.080,1,0,0,0,0,0
5750,6987,56,983,55,928,2456,5646,0,114,0,0,0,0,0,0,0,0,5016383488,2695979008,798916608,7886094336,83,12,13,82,0.980,1.060,1.080,1,0,0,0,0,0
6256,7848,56,981,55,926,2654,6785,0,125,0,0,0,0,0,0,0,56,5028089856,2683949056,798928896,7886471168,83,12,13,82,0.980,1.060,1.080,2,0,4,0,0,0
5880,6992,56,981,55,926,2528,7383,0,115,0,0,0,0,0,0,0,0,5020880896,2691244032,798928896,7886385152,83,12,13,82,0.980,1.060,1.080,0,0,12,0,0,0
5750,6850,56,981,55,926,2523,5647,0,141,0,0,0,0,0,0,0,0,5021790208,2690334720,798928896,7886843904,83,12,13,82,0.980,1.060,1.080,1,0,0,0,0,0
27776,23940,56,981,55,926,2637,6967,0,163,0,0,0,0,0,0,0,30,5038080000,2674032640,798937088,7886581760,83,12,13,82,0.980,1.060,1.080,1,0,0,0,0,0
5917,7179,56,981,55,926,2395,5562,0,117,0,0,0,0,0,0,0,0,5038014464,2674089984,798937088,7886331904,83,12,13,82,0.900,1.040,1.070,0,0,1,0,0,0
5860,7265,56,981,55,926,4323,12098,0,118,0,0,0,0,0,0,0,2716,5028376576,2683723776,798937088,7886401536,83,12,13,82,0.900,1.040,1.070,1,0,0,0,0,0
6029,7332,56,981,55,926,2678,8089,0,113,0,0,0,0,0,0,0,0,4833034240,2884341760,798937088,7881125888,83,12,13,82,0.900,1.040,1.070,0,0,16,0,0,0
5880,6992,56,981,55,926,2682,6107,0,118,0,0,0,0,0,0,0,0,4836257792,2880974848,798937088,7881465856,83,12,13,82,0.900,1.040,1.070,2,0,0,0,0,0
5860,7044,56,981,55,926,2558,5698,0,148,0,0,0,0,0,0,0,50,4837777408,2879520768,798949376,7881646080,83,12,13,82,0.900,1.040,1.070,0,0,0,0,0,0
5750,6968,56,981,55,926,2413,5585,0,116,0,0,0,0,0,0,0,0,4839739392,2877542400,798949376,7881396224,83,12,13,82,0.990,1.050,1.070,1,0,0,0,0,0
5962,7208,56,981,55,926,2494,5565,0,119,0,0,0,0,0,0,0,4,4830593024,2886684672,798949376,7881207808,83,12,13,82,0.990,1.050,1.070,1,0,0,0,0,0
7252,10235,56,981,55,926,2780,8178,0,126,0,0,0,0,0,0,0,0,4833042432,2884231168,798949376,7881211904,83,12,13,82,0.990,1.050,1.070,0,0,16,0,0,0
5880,7105,56,981,55,926,2535,5702,0,117,0,0,0,0,0,0,0,0,4834193408,2883031040,798949376,7881195520,83,12,13,82,0.990,1.050,1.070,1,0,0,0,0,0
6198,8614,56,981,55,926,2553,6375,0,119,0,0,0,0,0,0,0,22,4835160064,2882056192,798957568,7881728000,83,12,13,82,0.990,1.050,1.070,2,0,0,0,0,0
22803,11043,56,981,55,926,3439,34734,0,173,0,0,0,0,0,0,0,0,4978032640,2734014464,798957568,7886954496,83,12,13,82,1.390,1.140,1.100,2,0,0,0,0,0
5917,7532,56,981,55,926,2488,6099,0,123,0,0,0,0,0,0,0,0,4980797440,2733092864,798957568,7884845056,83,12,13,82,1.390,1.140,1.100,1,0,0,0,0,0
6139,7531,56,981,55,926,2684,8124,0,118,0,0,0,0,0,0,0,40,4983123968,2730827776,798973952,7884509184,83,12,13,82,1.390,1.140,1.100,1,0,16,0,0,0
5864,7027,56,981,55,926,2456,5758,0,117,0,0,0,0,0,0,0,0,4983869440,2730082304,798973952,7884443648,83,12,13,82,1.390,1.140,1.100,1,0,1,0,0,0
5750,7110,56,981,55,926,2471,5597,0,115,0,0,0,0,0,0,0,0,4984778752,2729164800,798973952,7884451840,83,12,13,82,1.390,1.140,1.100,1,0,0,0,0,0
5860,7044,56,981,55,926,2449,5582,0,118,0,0,0,0,0,0,0,0,4986806272,2727129088,798973952,7885856768,83,12,13,82,1.280,1.120,1.100,0,0,0,0,0,0
6276,7159,56,981,55,926,2624,5835,0,156,0,0,0,0,0,0,0,40,4987170816,2726727680,798990336,7886118912,83,12,13,82,1.280,1.120,1.100,1,0,0,0,0,0
6027,7589,56,981,55,926,2700,7950,0,117,0,0,0,0,0,0,0,0,4987551744,2726326272,798990336,7884541952,83,12,13,82,1.280,1.120,1.100,2,0,16,0,0,0
5750,6992,56,981,55,926,2531,5702,0,115,0,0,0,0,0,0,0,0,4984606720,2730766336,798990336,7883005952,83,12,13,82,1.280,1.120,1.100,1,0,0,0,0,0
5917,7037,56,981,55,926,2448,5512,0,118,0,0,0,0,0,0,0,0,4984819712,2730647552,798990336,7882911744,83,12,13,82,1.280,1.120,1.100,1,0,0,0,0,0
7479,11534,56,981,55,926,2589,6521,0,134,0,0,0,0,0,0,0,0,4984958976,2730500096,798990336,7882919936,83,12,13,82,1.420,1.150,1.110,2,0,0,0,0,0
21442,8338,56,981,55,926,2557,5779,0,126,0,0,0,0,0,0,0,18,4985069568,2730381312,799002624,7883505664,83,12,13,82,1.420,1.150,1.110,1,0,0,0,0,0
6241,7945,56,981,55,926,2756,8402,0,166,0,0,0,0,0,0,0,0,4978610176,2736713728,799002624,7883100160,83,12,13,82,1.420,1.150,1.110,0,0,16,0,0,0
5860,7044,56,981,55,926,2460,5614,0,115,0,0,0,0,0,0,0,0,4979179520,2736103424,799002624,7883083776,83,12,13,82,1.420,1.150,1.110,2,0,0,0,0,0
6155,7179,56,981,55,926,2489,5750,0,116,0,0,0,0,0,0,0,0,4980822016,2734460928,799002624,7883083776,83,12,13,82,1.420,1.150,1.110,2,0,0,0,0,0
5860,7181,56,981,55,926,2524,5771,0,115,0,0,0,0,0,0,0,0,4979740672,2735538176,799002624,7883153408,83,12,13,82,1.300,1.130,1.100,1,0,1,0,0,0
5892,7235,56,981,55,926,2411,5667,0,120,0,0,0,0,0,0,0,22,4980998144,2734186496,799006720,7883509760,83,12,13,82,1.300,1.130,1.100,0,0,0,0,0,0
5972,7647,56,981,55,926,4389,12961,0,123,0,0,0,0,0,0,0,2714,4987219968,2729517056,799006720,7882215424,83,12,13,82,1.300,1.130,1.100,2,0,12,0,0,0
6030,7044,56,981,55,926,2627,6412,0,157,0,0,0,0,0,0,0,0,4967550976,2749317120,799006720,7881551872,83,12,13,82,1.300,1.130,1.100,0,0,4,0,0,0
7489,13554,56,981,55,926,2547,5829,0,126,0,0,0,0,0,0,0,0,4988997632,2727866368,799006720,7881498624,83,12,13,82,1.300,1.130,1.100,1,0,0,0,0,0
5820,6968,56,981,55,926,2357,5573,0,116,0,0,0,0,0,0,0,0,4988477440,2728345600,799006720,7881539584,83,12,13,82,1.280,1.130,1.100,2,0,0,0,0,0
23713,13327,56,981,55,926,2580,6452,0,153,0,0,0,0,0,0,0,16,4989362176,2727444480,799019008,7881609216,83,12,13,82,1.280,1.130,1.100,1,0,0,0,0,0
6241,7832,56,981,55,926,2590,6768,0,121,0,0,0,0,0,0,0,0,4966240256,2750554112,799019008,7881887744,83,12,13,82,1.280,1.130,1.100,3,0,8,0,0,0
5934,7162,56,981,55,926,2598,6858,0,121,0,0,0,0,0,0,0,0,4966068224,2750623744,799019008,7882182656,83,12,13,82,1.280,1.130,1.100,2,0,8,0,0,0
42804,100100,56,981,55,926,2795,6793,0,204,0,0,0,0,0,0,0,0,4969529344,2748899328,799019008,7879946240,83,12,13,82,1.280,1.130,1.100,1,0,0,0,0,0
5750,6850,56,981,55,926,2533,5584,0,116,0,0,0,0,0,0,0,0,4970917888,2747502592,799019008,7879995392,83,12,13,82,1.180,1.110,1.090,2,0,0,0,0,0
6256,7490,56,981,55,926,2601,5917,0,122,0,0,0,0,0,0,0,10,4971040768,2747330560,799031296,7880032256,83,12,13,82,1.180,1.110,1.090,1,0,0,0,0,0
5750,6850,56,981,55,926,2536,6823,0,112,0,0,0,0,0,0,2,0,4971122688,2747224064,799031296,7880056832,83,12,13,82,1.180,1.110,1.090,2,0,9,0,0,0
5750,7326,56,981,55,926,2685,6881,0,116,0,0,0,0,0,0,0,0,4970823680,2747514880,799031296,7880265728,83,12,13,82,1.180,1.110,1.090,0,0,9,0,0,0
5946,7150,56,981,55,926,2332,5674,0,117,0,0,0,0,0,0,0,18,4967571456,2756087808,799039488,7875194880,83,12,13,82,1.180,1.110,1.090,1,0,0,0,0,0
5880,6992,56,981,55,926,2681,7661,0,152,0,0,0,0,0,0,0,0,4967149568,2756567040,799039488,7874871296,83,12,13,82,1.080,1.090,1.090,1,0,8,0,0,0
6158,8888,56,981,55,926,2710,6722,0,122,0,0,0,0,0,0,0,0,4966699008,2757017600,799039488,7874678784,83,12,13,82,1.080,1.090,1.090,2,0,0,0,0,0
21468,11594,56,981,55,926,2578,6868,0,133,0,0,0,0,0,0,0,0,4966871040,2758590464,799039488,7872933888,83,12,13,82,1.080,1.090,1.090,1,0,8,0,0,0
7154,9499,56,981,55,926,2533,6908,0,125,0,0,0,0,0,0,0,0,4967329792,2758086656,799039488,7872913408,83,12,13,82,1.080,1.090,1.090,1,0,8,0,0,0
5860,7968,56,981,55,926,2459,5820,0,115,0,0,0,0,0,0,0,24,4966764544,2758627328,799051776,7873449984,83,12,13,82,1.080,1.090,1.090,1,0,0,0,0,0
6262,8017,56,981,55,926,2457,5567,0,118,0,0,0,0,0,0,0,0,4966805504,2758582272,799051776,7873253376,83,12,13,82,1.150,1.100,1.090,0,0,0,0,0,0
5924,6855,56,981,55,926,2574,5730,0,146,0,0,0,0,0,0,0,0,4930101248,2795548672,799051776,7872733184,83,12,13,82,1.150,1.100,1.090,1,0,0,0,0,0
7196,11092,56,981,55,926,2698,7534,0,122,0,0,0,0,0,0,0,704,4929064960,2798288896,799072256,7871229952,83,12,13,82,1.150,1.100,1.090,0,0,9,0,0,0
14854,15052,56,981,55,926,3781,36764,0,144,0,0,0,0,0,0,0,0,5045522432,2676760576,799072256,7876337664,83,12,13,82,1.150,1.100,1.090,1,0,8,0,0,0
6186,7296,56,981,55,926,2516,5596,0,122,0,0,0,0,0,0,0,0,5047975936,2674307072,799072256,7876370432,83,12,13,82,1.150,1.100,1.090,2,0,1,0,0,0
5880,6968,56,981,55,926,2490,5608,0,114,0,0,0,0,0,0,0,0,5048590336,2673659904,799072256,7876677632,83,12,13,82,1.140,1.100,1.090,1,0,0,0,0,0
5917,7179,56,981,55,926,2448,5610,0,118,0,0,0,0,0,0,0,0,5048815616,2673430528,799072256,7876481024,83,12,13,82,1.140,1.100,1.090,0,0,0,0,0,0
6351,7781,56,981,55,926,2595,6795,0,166,0,0,0,0,0,0,0,46,5044215808,2678030336,799084544,7876210688,83,12,13,82,1.140,1.100,1.090,2,0,8,0,0,0
22931,12710,56,981,55,926,2680,7680,0,137,0,0,0,0,0,0,0,0,5045661696,2676568064,799084544,7876161536,83,12,13,82,1.140,1.100,1.090,1,0,8,0,0,0
6815,7972,56,981,55,926,2530,5828,0,127,0,0,0,0,0,0,0,0,5045829632,2676396032,799084544,7876231168,83,12,13,82,1.140,1.100,1.090,0,0,0,0,0,0
8889,9796,56,981,55,926,2514,5851,0,129,0,0,0,0,0,0,0,0,5049233408,2672898048,799084544,7876857856,83,12,13,82,1.050,1.080,1.080,0,0,0,0,0,0
6525,7346,56,981,55,926,2576,5834,0,122,0,0,0,0,0,0,0,0,5049716736,2672410624,799084544,7876853760,83,12,13,82,1.050,1.080,1.080,1,0,0,0,0,0
6202,7044,56,981,55,926,2618,7142,0,119,0,0,0,0,0,0,0,22,5051088896,2672635904,799096832,7874711552,83,12,13,82,1.050,1.080,1.080,2,0,8,0,0,0
5750,6987,56,981,55,926,2668,6847,0,155,0,0,0,0,0,0,0,14,5051006976,2672680960,799105024,7874682880,83,12,13,82,1.050,1.080,1.080,1,0,8,0,0,0
9204,17855,56,981,55,926,2593,5995,0,129,0,0,0,0,0,0,0,48,5074112512,2649571328,799113216,7874646016,83,12,13,82,1.050,1.080,1.080,1,0,0,0,0,0
5860,7304,56,981,55,926,2506,5587,0,116,0,0,0,0,0,0,0,0,5074243584,2649427968,799113216,7874691072,83,12,13,82,0.970,1.070,1.080,2,0,0,0,0,0
14049,17780,56,981,55,926,2679,6596,0,140,0,0,0,0,0,0,0,0,5074919424,2648739840,799113216,7875293184,83,12,13,82,0.970,1.070,1.080,1,0,1,0,0,0
6029,7332,56,981,55,926,2545,6950,0,117,0,0,0,0,0,0,0,0,5058301952,2665218048,799113216,7875166208,83,12,13,82,0.970,1.070,1.080,1,0,9,0,0,0
7109,10378,56,981,55,926,4785,13525,0,126,0,0,0,0,0,0,0,2292,4950913024,2774257664,799113216,7873257472,83,12,13,82,0.970,1.070,1.080,1,0,8,0,0,0
21852,9598,56,981,55,926,2576,5851,0,165,0,0,0,0,0,0,0,18,4950294528,2774773760,799125504,7873347584,83,12,13,82,0.970,1.070,1.080,2,0,0,0,0,0
5860,7044,56,981,55,926,2487,5625,0,120,0,0,0,0,0,0,0,0,4951683072,2773331968,799125504,7873400832,83,12,13,82,0.970,1.060,1.080,0,0,0,0,0,0
5750,6850,56,981,55,926,2430,5581,0,116,0,0,0,0,0,0,0,0,4943826944,2781184000,799125504,7873671168,83,12,13,82,0.970,1.060,1.080,1,0,0,0,0,0
5880,6968,56,981,55,926,2533,6771,0,116,0,0,0,0,0,0,0,0,4945334272,2779672576,799125504,7873933312,83,12,13,82,0.970,1.060,1.080,1,0,8,0,0,0
7231,12730,56,981,55,926,2596,6922,0,126,0,0,0,0,0,0,0,0,4947255296,2777751552,799125504,7873601536,83,12,13,82,0.970,1.060,1.080,2,0,8,0,0,0
5750,6850,56,981,55,926,2511,5598,0,116,0,0,0,0,0,0,0,16,4948303872,2776858624,799129600,7873294336,83,12,13,82,0.970,1.060,1.080,1,0,0,0,0,0
5750,6968,56,981,55,926,2470,5637,0,160,0,0,0,0,0,0,0,0,4948848640,2776170496,799129600,7873437696,83,12,13,82,0.970,1.060,1.080,1,0,0,0,0,0
6199,7231,56,981,55,926,2432,5742,0,122,0,0,0,0,0,0,0,0,4950036480,2776535040,799129600,7871950848,83,12,13,82,0.970,1.060,1.080,1,0,0,0,0,0
6029,7474,56,981,55,926,2542,6804,0,121,0,0,0,0,0,0,0,38,4949733376,2776670208,799137792,7872376832,83,12,13,82,0.970,1.060,1.080,2,0,8,0,0,0
8023,7766,56,981,55,926,2539,6885,0,116,0,0,0,0,0,0,0,0,4949028864,2777620480,799137792,7872323584,83,12,13,82,0.970,1.060,1.080,0,0,8,0,0,0
21573,11972,56,981,55,926,2670,6615,0,140,0,0,0,0,0,0,0,0,4949143552,2777505792,799137792,7872122880,83,12,13,82,0.970,1.060,1.080,1,0,1,0,0,0
7194,7774,56,981,55,926,2444,5598,0,120,0,0,0,0,0,0,0,0,4946419712,2785705984,799137792,7866388480,83,12,13,82,0.970,1.060,1.080,1,0,0,0,0,0
6342,7459,56,981,55,926,2571,5660,0,140,0,0,0,0,0,0,0,0,4947120128,2784997376,799137792,7867195392,83,12,13,82,0.970,1.060,1.080,1,0,0,0,0,0
5954,6850,56,981,55,926,2569,6961,0,117,0,0,0,0,0,0,0,60,4947816448,2784292864,799158272,7867432960,83,12,13,82,0.970,1.060,1.080,0,0,8,0,0,0
11013,12246,56,981,55,926,2795,7262,0,132,0,0,0,0,0,0,0,0,4947836928,2785599488,799158272,7865774080,83,12,13,82,0.970,1.060,1.080,0,0,9,0,0,0
5750,7208,56,981,55,926,2481,5693,0,111,0,0,0,0,0,0,0,0,4948348928,2785361920,799158272,7865241600,83,12,13,82,0.970,1.060,1.080,2,0,0,0,0,0
5917,7179,56,981,55,926,2446,5561,0,115,0,0,0,0,0,0,0,0,4948807680,2784903168,799158272,7865040896,83,12,13,82,1.060,1.080,1.080,2,0,0,0,0,0
6072,7402,56,981,55,926,2541,5643,0,121,0,0,0,0,0,0,0,0,4949450752,2784256000,799158272,7864786944,83,12,13,82,1.060,1.080,1.080,2,0,0,0,0,0
7005,8830,56,981,55,926,2664,6835,0,168,0,0,0,0,0,0,0,24,4948307968,2787782656,799166464,7862394880,83,12,13,82,1.060,1.080,1.080,1,0,8,0,0,0
5876,6819,56,981,55,926,2860,7716,0,118,0,0,0,0,0,0,0,594,4923998208,2812276736,799174656,7862136832,83,12,13,82,1.060,1.080,1.080,2,0,8,0,0,0
5990,7539,56,981,55,926,2421,5634,0,120,0,0,0,0,0,0,0,0,4916854784,2819411968,799174656,7862669312,83,12,13,82,1.060,1.080,1.080,3,0,0,0,0,0
22931,12710,56,981,55,926,3685,15831,0,138,0,0,0,0,0,0,0,74,4945477632,2790649856,799182848,7862607872,83,12,13,82,0.970,1.060,1.080,1,0,0,0,0,0
5860,7049,56,981,55,926,2657,25714,0,114,0,0,0,0,0,0,2,0,4952035328,2780770304,799182848,7865671680,83,12,13,82,0.970,1.060,1.080,1,0,1,0,0,0
6014,7291,56,981,55,926,2486,6478,0,121,0,0,0,0,0,0,0,0,4953374720,2779303936,799182848,7865733120,83,12,13,82,0.970,1.060,1.080,1,0,7,0,0,0
5750,6850,56,981,55,926,2662,7205,0,140,0,0,0,0,0,0,0,150,4954759168,2777915392,799191040,7865729024,83,12,13,82,0.970,1.060,1.080,1,0,9,0,0,0
7591,14098,56,981,55,926,2483,5852,0,128,0,0,0,0,0,0,0,0,4976525312,2756141056,799191040,7866003456,83,12,13,82,0.970,1.060,1.080,1,0,0,0,0,0
5820,6968,56,981,55,926,2344,5664,0,113,0,0,0,0,0,0,0,0,4977680384,2755231744,799191040,7866081280,83,12,13,82,0.890,1.040,1.070,0,0,0,0,0,0
6214,7087,56,981,55,926,2448,5610,0,121,0,0,0,0,0,0,0,0,4977385472,2755522560,799191040,7865552896,83,12,13,82,0.890,1.040,1.070,2,0,0,0,0,0
7099,8485,56,981,55,926,2514,6036,0,129,0,0,0,0,0,0,0,0,4956106752,2776625152,799191040,7865671680,83,12,13,82,0.890,1.040,1.070,1,0,0,0,0,0
6121,7037,56,981,55,926,2733,8217,0,116,0,0,0,0,0,0,0,36,4957769728,2776449024,799203328,7864238080,83,12,13,82,0.890,1.040,1.070,1,0,16,0,0,0
16893,14655,56,981,55,926,2604,6652,0,160,0,0,0,0,0,0,0,0,4961071104,2773262336,799203328,7864123392,83,12,13,82,0.890,1.040,1.070,1,0,0,0,0,0
39438,15875,56,981,55,926,2688,6924,0,158,0,0,0,0,0,0,0,0,4960100352,2774224896,799203328,7864397824,83,12,13,82,0.820,1.020,1.060,1,0,0,0,0,0
25099,12619,56,981,55,926,3125,6022,0,141,0,0,0,0,0,0,0,0,4946878464,2787446784,799203328,7864655872,83,12,13,82,0.820,1.020,1.060,0,0,0,0,0,0
10039,94240,56,981,55,926,2508,5729,0,136,0,0,0,0,0,0,0,0,4948066304,2786254848,799203328,7864393728,83,12,13,82,0.820,1.020,1.060,2,0,0,0,0,0
5880,6850,56,981,55,926,2688,8290,0,114,0,0,0,0,0,0,0,58,4914098176,2820083712,799219712,7864324096,83,12,13,82,0.820,1.020,1.060,0,0,17,0,0,0
5750,7326,56,981,55,926,2570,5671,0,115,0,0,0,0,0,0,0,18,4913762304,2820362240,799227904,7864242176,83,12,13,82,0.820,1.020,1.060,3,0,0,0,0,0
6231,7231,56,981,55,926,2727,7929,0,160,0,0,0,0,0,0,0,0,4912345088,2823376896,799227904,7862710272,83,12,13,82,0.760,1.010,1.060,1,0,8,0,0,0
5750,6987,56,981,55,926,2435,5885,0,116,0,0,0,0,0,0,0,0,4912009216,2823778304,799227904,7862910976,83,12,13,82,0.760,1.010,1.060,1,0,0,0,0,0
6139,7531,56,981,55,926,2578,5567,0,118,0,0,0,0,0,0,0,0,4912656384,2823131136,799227904,7863103488,83,12,13,82,0.760,1.010,1.060,0,0,0,0,0,0
5750,6987,56,981,55,926,2742,8106,0,119,0,0,0,0,0,0,0,0,4914536448,2821271552,799227904,7862882304,83,12,13,82,0.760,1.010,1.060,1,0,16,0,0,0
5880,6968,56,981,55,926,4229,11868,0,119,0,0,0,0,0,0,0,2386,4916326400,2819481600,799240192,7862611968,83,12,13,82,0.760,1.010,1.060,1,0,0,0,0,0
6231,7589,56,981,55,926,2464,5624,0,120,0,0,0,0,0,0,0,0,4915986432,2819805184,799240192,7862628352,83,12,13,82,0.700,0.990,1.050,1,0,0,0,0,0
21779,12301,56,981,55,926,2550,6621,0,181,0,0,0,0,0,0,0,0,4915793920,2819989504,799240192,7862571008,83,12,13,82,0.700,0.990,1.050,2,0,0,0,0,0
7707,7531,56,981,55,926,2562,5765,0,126,0,0,0,0,0,0,0,0,4915118080,2820620288,799240192,7863140352,83,12,13,82,0.700,0.990,1.050,2,0,0,0,0,0
23515,14076,56,981,55,926,2807,9274,0,141,0,0,0,0,0,0,0,36,4915261440,2820485120,799248384,7862599680,83,12,13,82,0.700,0.990,1.050,2,0,16,0,0,0
5750,6968,56,981,55,926,2506,5629,0,114,0,0,0,0,0,0,0,0,4915982336,2821419008,799248384,7860944896,83,12,13,82,0.700,0.990,1.050,0,0,0,0,0,0
6231,7589,56,981,55,926,2332,5668,0,119,0,0,0,0,0,0,0,0,4916367360,2821029888,799248384,7861014528,83,12,13,82,0.720,0.990,1.050,0,0,0,0,0,0
6580,7224,56,981,55,926,2542,5705,0,119,0,0,0,0,0,0,0,0,4915126272,2822266880,799248384,7861018624,83,12,13,82,0.720,0.990,1.050,0,0,1,0,0,0
6816,7519,56,981,55,926,2538,5850,0,151,0,0,0,0,0,0,0,74,4916002816,2821378048,799264768,7861215232,83,12,13,82,0.720,0.990,1.050,1,0,0,0,0,0
6072,7441,56,981,55,926,2668,8068,0,117,0,0,0,0,0,0,0,0,4913688576,2829115392,799264768,7856119808,83,12,13,82,0.720,0.990,1.050,1,0,16,0,0,0
5750,6987,56,981,55,926,2442,5589,0,118,0,0,0,0,0,0,0,0,4912488448,2830311424,799264768,7855591424,83,12,13,82,0.720,0.990,1.050,1,0,0,0,0,0
5750,7071,56,981,55,926,2483,5535,0,117,0,0,0,0,0,0,0,0,4913037312,2829758464,799264768,7855603712,83,12,13,82,0.660,0.970,1.050,0,0,0,0,0,0
6256,7608,56,981,55,926,2581,5860,0,122,0,0,0,0,0,0,0,0,4913287168,2831015936,799264768,7854096384,83,12,13,82,0.660,0.970,1.050,0,0,0,0,0,0
23543,13221,56,981,55,926,2583,6528,0,147,0,0,0,0,0,0,0,22,4913500160,2830962688,799272960,7853862912,83,12,13,82,0.660,0.970,1.050,0,0,0,0,0,0
5860,7186,56,981,55,926,2712,7378,0,158,0,0,0,0,0,0,0,0,4914540544,2829910016,799272960,7854141440,83,12,13,82,0.660,0.970,1.050,1,0,12,0,0,0
9572,17953,56,981,55,926,2541,6546,0,137,0,0,0,0,0,0,0,0,4934451200,2809995264,799272960,7854669824,83,12,13,82,0.660,0.970,1.050,1,0,4,0,0,0
5750,7326,56,981,55,926,2453,5542,0,115,0,0,0,0,0,0,0,0,4935032832,2809393152,799272960,7854223360,83,12,13,82,0.690,0.970,1.050,3,0,0,0,0,0
5946,7292,56,981,55,926,2405,5573,0,120,0,0,0,0,0,0,0,0,4917825536,2826551296,799272960,7854014464,83,12,13,82,0.690,0.970,1.050,2,0,0,0,0,0
6400,7382,56,981,55,926,2498,5647,0,119,0,0,0,0,0,0,0,6,4790910976,2953457664,799281152,7853948928,83,12,13,82,0.690,0.970,1.050,0,0,0,0,0,0
5836,7074,56,981,55,926,3579,37404,0,114,0,0,0,0,0,0,0,0,4957659136,2783399936,799281152,7857258496,83,12,13,82,0.690,0.970,1.050,3,0,9,0,0,0
5860,7186,56,981,55,926,2665,6799,0,152,0,0,0,0,0,0,0,0,4961185792,2778103808,799281152,7859560448,83,12,13,82,0.690,0.970,1.050,1,0,8,0,0,0
5880,7208,56,981,55,926,3958,10142,0,119,0,0,0,0,0,0,0,2334,4956008448,2783277056,799289344,7859613696,83,12,13,82,0.630,0.960,1.040,1,0,0,0,0,0
6342,7601,56,981,55,926,2500,5636,0,120,0,0,0,0,0,0,0,0,4957179904,2782085120,799289344,7859097600,83,12,13,82,0.630,0.960,1.040,1,0,0,0,0,0
7350,10229,56,981,55,926,2730,7051,0,122,0,0,0,0,0,0,0,42,4985917440,2753036288,799305728,7872663552,83,12,13,82,0.630,0.960,1.040,1,0,0,0,0,0
21722,9700,56,981,55,926,2681,7014,0,134,0,0,0,0,0,0,0,0,4988276736,2750799872,799305728,7869542400,83,12,13,82,0.630,0.960,1.040,4,0,8,0,0,0
8073,12230,56,981,55,926,2533,7040,0,126,0,0,0,0,0,0,0,18,4973637632,2765488128,799309824,7869526016,83,12,13,82,0.630,0.960,1.040,4,0,8,0,0,0
6251,7037,56,981,55,926,2390,5727,0,159,0,0,0,0,0,0,0,0,4975071232,2763997184,799309824,7869939712,83,12,13,82,0.580,0.940,1.030,2,0,0,0,0,0
6129,7395,56,981,55,926,2455,6198,0,121,0,0,0,0,0,0,0,0,4975104000,2765422592,799309824,7867949056,83,12,13,82,0.580,0.940,1.030,3,0,0,0,0,0
6722,7831,56,981,55,926,2384,5642,0,125,0,0,0,0,0,0,0,0,4967657472,2772971520,799309824,7859666944,83,12,13,82,0.580,0.940,1.030,1,0,0,0,0,0
5790,7027,56,981,55,926,2530,6883,0,115,0,0,0,0,0,0,0,0,4961759232,2778869760,799309824,7859458048,83,12,13,82,0.580,0.940,1.030,1,0,8,0,0,0
