"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/udp_cpu_int.csv --udp --cpu --int 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"udp",,"total cpu usage",,,,,"interrupts",,
25,14,14.482,3.246,82.147,0.125,0,0,126,0
25,14,8.805,3.019,88.176,0,0,0,123,0
25,14,8.717,3.487,87.049,0.747,0,0,129,0
25,14,9.023,2.757,88.095,0.125,0,0,130,0
25,14,8.354,3.616,87.905,0.125,0,0,135,0
25,14,8.468,3.861,87.671,0,0,0,160,0
25,14,8.197,2.900,88.777,0.126,0,0,120,0
25,14,8.593,2.740,88.418,0.249,0,0,141,0
25,14,8.312,2.897,88.791,0,0,0,121,0
25,14,8.750,2.500,88.625,0.125,0,0,114,0
25,14,9.091,3.487,87.422,0,0,0,139,0
25,14,7.935,3.401,88.539,0.126,0,0,155,0
25,14,8.040,2.010,89.824,0.126,0,0,121,0
25,14,7.080,2.528,90.392,0,0,0,111,0
25,14,7.576,2.525,89.773,0.126,0,0,121,0
25,14,8.897,4.135,86.967,0,0,0,114,0
25,14,7.885,3.379,88.611,0.125,0,0,116,0
25,14,9.387,2.128,88.360,0.125,0,0,157,0
25,14,10.013,2.128,87.735,0.125,0,0,140,0
25,14,7.885,3.254,88.861,0,0,0,124,0
25,14,7.459,2.908,89.507,0.126,0,0,121,0
25,14,7.970,3.985,87.920,0.125,0,0,121,0
25,14,8.679,2.642,88.679,0,0,0,125,0
25,14,8.260,2.879,88.736,0.125,0,0,147,0
25,14,8.385,3.254,88.235,0.125,0,0,136,0
25,14,8.020,2.632,89.223,0.125,0,0,115,0
25,14,8,3.375,88.625,0,0,0,144,0
25,14,7.663,3.015,86.558,2.764,0,0,119,0
25,14,9,2.500,88.500,0,0,0,131,0
25,14,8.564,2.141,89.169,0.126,0,0,160,0
25,14,7.955,3.030,88.636,0.379,0,0,116,0
25,14,7.252,2.926,89.186,0.636,0,0,118,0
25,14,7.449,3.535,88.510,0.505,0,0,114,0
25,14,7.440,3.026,89.407,0.126,0,0,121,0
25,14,8.385,2.879,88.611,0.125,0,0,114,0
25,14,7.654,2.886,89.460,0,0,0,157,0
25,14,7.935,3.023,88.917,0.126,0,0,119,0
25,14,9.204,2.861,87.811,0.124,0,0,129,0
25,14,8.816,2.645,88.539,0,0,0,122,0
25,14,9.714,3.362,86.800,0.125,0,0,140,0
25,14,7.268,3.258,89.348,0.125,0,0,118,0
25,14,8.978,3.741,87.157,0.125,0,0,153,0
25,14,8.521,2.757,88.346,0.376,0,0,119,0
25,14,7.080,3.161,89.760,0,0,0,117,0
25,14,7.885,3.880,88.110,0.125,0,0,120,0
25,14,8.864,2.996,88.140,0,0,0,117,0
25,14,7.683,3.149,89.043,0.126,0,0,114,0
25,14,8.240,3.121,88.265,0.375,0,0,152,0
25,14,7.080,3.161,89.633,0.126,0,0,118,0
25,14,8.105,3.491,88.404,0,0,0,123,0
25,14,9.850,3.367,86.658,0.125,0,0,136,0
25,14,7.769,3.383,88.847,0,0,0,110,0
25,14,9.305,3.722,86.600,0.372,0,0,119,0
25,14,7.925,2.642,89.434,0,0,0,159,0
25,14,8.668,2.513,88.693,0.126,0,0,130,0
25,14,8.209,2.612,89.055,0.124,0,0,118,0
25,14,6.750,4.500,88.750,0,0,0,119,0
25,14,8.426,3.098,88.352,0.124,0,0,132,0
25,14,8.010,2.879,88.861,0.250,0,0,114,0
25,14,7.566,3.153,89.155,0.126,0,0,153,0
25,14,8.679,2.767,88.428,0.126,0,0,123,0
25,14,7.296,3.899,88.805,0,0,0,131,0
25,14,7.644,2.506,89.850,0,0,0,119,0
25,14,8.376,3.046,88.452,0.127,0,0,143,0
25,14,7.557,3.778,87.783,0.882,0,0,116,0
25,14,8.723,2.781,88.496,0,0,0,160,0
25,14,9.080,3.234,87.562,0.124,0,0,118,0
28,14,8.543,2.764,88.568,0.126,0,0,115,0
28,14,8.685,2.854,88.337,0.124,0,0,122,0
28,14,8.186,2.393,89.421,0,0,0,137,0
28,14,7.384,3.129,89.362,0.125,0,0,121,0
28,14,8.853,3.491,87.531,0.125,0,0,181,0
25,14,8.050,3.396,88.176,0.377,0,0,148,0
25,14,8.050,2.767,89.182,0,0,0,114,0
25,14,8.081,2.778,89.015,0.126,0,0,116,0
25,14,8.761,2.503,88.736,0,0,0,115,0
25,14,8.543,3.015,88.191,0.251,0,0,120,0
25,14,8.447,3.354,87.950,0.248,0,0,149,0
25,14,7.557,2.645,89.673,0.126,0,0,119,0
25,14,7.062,3.531,89.407,0,0,0,111,0
25,14,7.481,3.741,88.653,0.125,0,0,69,0
25,14,7.836,3.483,88.557,0.124,0,0,71,0
25,14,8.978,2.743,88.279,0,0,0,98,0
25,14,8.853,2.494,88.529,0.125,0,0,106,0
25,14,8.354,3.367,88.030,0.249,0,0,99,0
25,14,8.199,3.106,88.571,0.124,0,0,76,0
25,14,8.045,3.837,87.995,0.124,0,0,49,0
25,14,8.375,2.625,89,0,0,0,35,0
25,14,6.758,2.503,90.613,0.125,0,0,32,0
25,14,7.026,2.509,90.464,0,0,0,65,0
20,14,11.278,3.509,85.088,0.125,0,0,60,0
25,14,11.772,3.346,84.882,0,0,0,191,0
25,15,14.728,3.713,81.436,0.124,0,0,138,0
25,15,9.768,3.785,86.447,0,0,0,153,0
25,15,9.705,3.440,86.364,0.491,0,0,117,0
25,15,11.314,2.920,85.766,0,0,0,153,0
25,15,10.159,3.917,85.802,0.122,0,0,133,0
25,15,10.827,3.893,85.158,0.122,0,0,142,0
25,15,9.425,3.305,87.271,0,0,0,124,0
25,15,10.366,3.537,85.854,0.244,0,0,126,0
25,15,9.035,3.960,86.881,0.124,0,0,121,0
25,15,10.571,4.617,84.812,0,0,0,176,0
25,15,11.138,3.182,85.557,0.122,0,0,139,0
25,15,10.798,3.436,85.644,0.123,0,0,141,0
