"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/net_fs_socket_proc_udp_io_page_swap_zones_vm.csv --net --fs --socket --proc --udp --io --page --swap --zones --vm 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"net/total",,"filesystem",,"sockets",,,,,"procs",,,"udp",,"io/total",,"paging",,"swap",,"zones memory",,,,"virtual memory",,,
5892,7235,14016,182228,1206,24,34,0,0,7,1,0,25,14,0,0,0,0,108527616,914878464,159767,3141,504621,22688,0,34,551,488
5906,7510,14048,182183,1206,24,34,0,0,2,0,8,25,14,0,2736,0,0,108527616,914878464,159767,3141,503291,22688,0,1348,4566,4874
6096,7181,14016,182183,1206,24,34,0,0,1,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,508055,22688,0,1344,1897,6208
7489,13554,14016,182191,1206,24,34,0,0,3,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,502885,22688,0,6781,7557,1368
5820,6968,14016,182191,1206,24,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,502935,22688,0,241,649,564
22731,13338,14016,182193,1206,24,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,502837,22688,0,47,587,574
7223,7816,13984,182192,1206,24,34,0,0,2,0,8,25,14,0,16,0,0,108527616,914878464,159767,3141,508427,22688,0,1373,2137,7930
5934,7304,13984,182202,1206,24,34,0,0,1,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,508444,22688,0,1695,2233,1910
42804,100100,14016,182157,1206,24,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,507828,22688,0,1039,2043,2010
5750,6850,14016,182157,1206,24,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,507682,22688,0,36,509,610
6256,7490,14016,182167,1206,24,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,507640,22688,0,64,512,2346
5750,6850,14016,182166,1206,24,34,0,0,2,0,9,25,14,2,10,0,0,108527616,914878464,159767,3141,507614,22688,1,1913,2055,2190
5750,7326,14048,182165,1206,24,34,0,0,1,0,9,25,14,0,0,0,0,108527616,914878464,159767,3141,507801,22688,0,1359,1942,2119
5946,7150,14048,181056,1206,24,34,0,0,7,0,0,25,14,0,18,0,0,108527616,914878464,159767,3141,509884,22688,0,202,810,2480
5880,6992,14016,181072,1206,24,34,0,0,2,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,509895,22688,0,2355,2643,2464
5860,6907,14016,181072,1206,24,34,0,0,4,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,510005,22688,0,222,558,840
21766,13575,14080,181026,1209,24,37,0,0,1,0,8,28,14,0,0,0,0,108527616,914878464,159767,3141,510389,22688,0,1348,1942,2353
7154,9362,14048,181035,1209,24,37,0,0,2,0,8,28,14,0,0,0,0,108527616,914878464,159767,3141,510266,22688,0,1320,1871,1870
5860,7968,13984,181036,1209,24,37,0,0,2,0,0,28,14,0,24,0,0,108527616,914878464,159767,3141,510391,22688,0,1412,2188,1563
6132,8017,13984,181037,1209,24,37,0,0,1,0,0,28,14,0,0,0,0,108527616,914878464,159767,3141,510257,22688,0,202,524,522
6054,6850,13984,180976,1209,24,37,0,0,1,0,0,28,14,0,0,0,0,108527616,914878464,159767,3141,519345,22688,0,1023,1598,10568
6384,9922,14016,180938,1215,24,43,0,0,2,1,9,25,23,0,704,0,0,108527616,914878464,159767,3141,519962,22688,0,2050,3382,3475
15666,16364,14048,182009,1207,24,34,0,0,1,0,8,25,15,0,0,0,0,108527616,914878464,159767,3141,490471,22688,0,44215,66435,29430
6186,7296,14048,182008,1206,23,34,0,0,1,0,1,25,15,0,0,0,0,108527616,914878464,159767,3141,490063,22688,0,779,753,1055
5880,6968,14048,182019,1206,23,34,0,0,1,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,489773,22688,0,252,838,514
5917,7179,14048,182020,1206,23,34,0,0,1,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,489598,22688,0,88,560,488
6351,7781,14048,182019,1206,23,34,0,0,3,0,8,25,15,0,0,0,0,108527616,914878464,159767,3141,491156,22688,0,1385,1903,4658
22931,12710,14016,182018,1206,23,34,0,0,3,0,8,25,15,0,46,0,0,108527616,914878464,159767,3141,490364,22688,0,1528,2230,2239
6815,7972,14016,182019,1206,23,34,0,0,1,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,490322,22688,0,1127,1567,1119
8889,9796,13984,182029,1206,23,34,0,0,5,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,489594,22688,0,943,1939,1643
6419,7483,13984,182030,1206,23,34,0,0,1,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,489349,22688,0,68,682,1061
6308,6770,14016,182004,1206,23,34,0,0,3,0,8,25,15,0,0,0,0,108527616,914878464,159767,3141,489404,22688,0,2473,3002,2576
5750,6987,13984,182002,1206,23,34,0,0,1,0,8,25,15,0,36,0,0,108527616,914878464,159767,3141,489350,22688,0,1489,2253,2621
9204,17855,13984,182002,1206,23,34,0,0,3,0,0,25,15,0,48,0,0,108527616,914878464,159767,3141,483770,22688,0,7517,9029,1628
5860,7304,13984,182002,1206,23,34,0,0,1,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,483605,22688,0,62,491,468
14049,17917,13984,182006,1207,24,34,0,0,2,0,1,25,15,0,0,0,0,108527616,914878464,159767,3141,483570,22688,0,202,669,651
6029,7332,14016,182005,1207,24,34,0,0,2,0,9,25,15,0,0,0,0,108527616,914878464,159767,3141,487453,22688,0,1932,2391,8195
7069,10378,14016,181989,1207,24,34,0,0,2,0,8,25,15,0,2292,0,0,108527616,914878464,159767,3141,514142,22688,0,1654,4458,32930
21892,9598,14016,181999,1207,24,34,0,0,3,0,0,25,15,0,18,0,0,108527616,914878464,159767,3141,514340,22688,0,236,977,1291
5860,7044,13984,181999,1207,24,34,0,0,1,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,513988,22688,0,593,876,518
5750,6850,13984,181999,1207,24,34,0,0,3,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,516091,22688,0,30,501,1952
5750,6968,13984,181999,1207,24,34,0,0,3,0,8,25,15,0,0,0,0,108527616,914878464,159767,3141,515536,22688,0,1342,2005,1848
7361,12588,14016,181998,1207,24,34,0,0,3,0,8,25,15,0,0,0,0,108527616,914878464,159767,3141,515067,22688,0,1392,2400,2368
5750,6992,14016,181997,1207,24,34,0,0,1,0,0,25,15,0,16,0,0,108527616,914878464,159767,3141,514849,22688,0,309,618,1072
5750,6968,14016,182007,1207,24,34,0,0,2,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,514681,22688,0,272,768,787
6199,7094,13984,181982,1207,24,34,0,0,7,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,514770,22688,0,246,755,955
6029,7611,14048,181982,1207,24,34,0,0,3,0,8,25,15,0,38,0,0,108527616,914878464,159767,3141,514985,22688,0,1424,2036,2330
8023,7629,14016,181982,1207,24,34,0,0,1,0,8,25,15,0,0,0,0,108527616,914878464,159767,3141,515025,22688,0,1489,2022,2406
21573,11972,14016,181984,1207,24,34,0,0,3,0,1,25,15,0,0,0,0,108527616,914878464,159767,3141,515007,22688,0,648,785,672
7194,7774,14048,180873,1207,24,34,0,0,1,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,517009,22688,0,605,1058,2702
6342,7596,14016,180873,1207,24,34,0,0,1,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,517081,22688,0,343,813,523
5824,6850,13952,180870,1206,24,34,0,0,2,0,8,25,14,0,60,0,0,108527616,914878464,159767,3141,516726,22688,0,1540,2350,2406
11033,12052,13984,180846,1207,24,34,0,0,1,0,9,25,15,0,0,0,0,108527616,914878464,159767,3141,517109,22688,0,2387,3476,3709
5860,7402,14016,180846,1207,24,34,0,0,3,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,516925,22688,0,149,735,979
5917,7179,14016,180847,1207,24,34,0,0,1,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,516813,22688,0,54,521,713
5966,7402,13984,180846,1207,24,34,0,0,2,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,516585,22688,0,206,511,709
7111,8693,13952,180825,1207,24,34,0,0,3,0,7,25,15,0,24,0,0,108527616,914878464,159767,3141,517534,22688,0,1184,1716,2150
5876,6956,13984,180817,1207,24,34,0,0,3,0,9,25,15,0,594,0,0,108527616,914878464,159767,3141,523496,22688,0,1464,2872,9255
5990,7539,13952,180818,1207,24,34,0,0,4,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,525238,22688,0,92,640,2568
22931,12710,14464,181332,1207,24,34,0,0,3,0,0,25,15,0,74,0,0,108527616,914878464,159767,3141,525592,22688,0,1617,10592,9776
5750,6718,13952,181864,1207,24,34,0,0,6,0,1,25,15,2,0,0,0,108527616,914878464,159767,3141,515804,22688,0,38905,51873,38683
6058,7485,13984,181862,1207,24,34,0,0,1,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,515615,22688,0,81,528,844
5816,6850,13984,181861,1207,24,34,0,0,2,0,16,25,15,0,150,0,0,108527616,914878464,159767,3141,515107,22688,0,2785,3855,3726
7591,14098,13984,181801,1207,24,34,0,0,1,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,509791,22688,0,7362,8120,1435
5820,6968,13984,181803,1207,24,34,0,0,2,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,509569,22688,0,204,784,541
6214,7224,13984,181803,1207,24,34,0,0,2,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,509640,22688,0,59,520,511
7099,8485,13952,181821,1207,24,34,0,0,3,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,514964,22688,0,1333,1982,8607
6121,7037,14016,181796,1207,24,34,0,0,2,0,16,25,15,0,36,0,0,108527616,914878464,159767,3141,514749,22688,0,3548,4173,4709
8963,13133,14016,181798,1208,25,34,0,0,4,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,513943,22688,0,610,1576,1065
47443,17397,14016,181797,1207,24,34,0,0,1,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,514206,22688,0,1359,2062,4481
25024,12619,14016,181798,1207,24,34,0,0,2,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,517434,22688,0,1932,3144,3959
10154,94240,14048,181798,1207,24,34,0,0,1,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,517143,22688,0,505,1367,1499
5880,6850,14016,181796,1207,24,34,0,0,3,0,17,25,15,0,58,0,0,108527616,914878464,159767,3141,525524,22688,0,3254,4202,13687
5750,6968,14016,181805,1207,24,34,0,0,2,0,0,25,15,0,18,0,0,108527616,914878464,159767,3141,525470,22688,0,288,780,1027
6231,7589,14048,181809,1207,24,34,0,0,3,0,8,25,15,0,0,0,0,108527616,914878464,159767,3141,525550,22688,0,1698,1956,2307
5635,6713,14016,181773,1207,24,34,0,0,2,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,526532,22688,0,1032,1380,1948
6254,7805,14016,181773,1207,24,34,0,0,2,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,526146,22688,0,314,895,494
5750,6850,14016,181771,1207,24,34,0,0,1,0,16,25,15,0,0,0,0,108527616,914878464,159767,3141,525792,22688,0,2603,3259,3243
5880,6968,14016,181770,1207,24,34,0,0,1,0,0,25,15,0,2386,0,0,108527616,914878464,159767,3141,525438,22688,0,112,2755,3395
6231,7589,14016,181770,1207,24,34,0,0,2,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,525334,22688,0,205,514,784
21633,12008,13984,181781,1207,24,34,0,0,2,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,525495,22688,0,877,1431,926
7738,7961,13984,181780,1206,24,34,0,0,3,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,525533,22688,0,799,1357,1150
22713,13950,14016,181788,1207,25,34,0,0,1,0,16,25,14,0,36,0,0,108527616,914878464,159767,3141,525500,22688,0,2854,3615,3828
6667,7094,14016,181741,1207,25,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,525788,22688,0,301,589,1058
6231,7589,14016,181742,1207,25,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,525633,22688,0,125,598,862
6465,7224,13984,181742,1207,25,34,0,0,4,0,1,25,14,0,0,0,0,108527616,914878464,159767,3141,525676,22688,0,518,657,909
6931,7519,14016,181741,1207,25,34,0,0,1,0,0,25,14,0,74,0,0,108527616,914878464,159767,3141,525963,22688,0,1257,1862,1361
6072,7441,13984,180648,1207,25,34,0,0,5,0,12,25,14,0,0,0,0,108527616,914878464,159767,3141,527607,22688,0,2319,2778,4084
5635,6850,13984,180643,1207,25,34,0,0,1,0,4,25,14,0,0,0,0,108527616,914878464,159767,3141,527959,22688,0,742,1381,2025
5865,7208,13984,180642,1207,25,34,0,0,6,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,527800,22688,0,37,526,663
6256,7471,14016,180606,1207,25,34,0,0,3,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,528071,22688,0,175,636,912
23543,13084,13984,180606,1207,25,34,0,0,4,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,528107,22688,0,751,1264,589
5745,7323,13984,180605,1207,25,34,0,0,3,0,8,25,14,0,22,0,0,108527616,914878464,159767,3141,527927,22688,0,1317,1888,2078
9687,17953,13984,180606,1207,25,34,0,0,2,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,522939,22688,0,8425,10070,3170
5750,7326,13984,180617,1207,25,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,522792,22688,0,297,759,553
5946,7292,14016,180616,1207,25,34,0,0,3,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,526981,22688,0,202,517,6159
6285,7519,14016,180615,1207,25,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,557964,22688,0,60,639,31146
5951,7074,14048,181620,1207,25,34,0,0,5,0,9,25,14,0,6,0,0,108527616,914878464,159767,3141,519092,22688,0,43982,66149,23435
5745,7044,14016,181625,1207,25,34,0,0,3,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,515279,22688,0,4359,5478,2216
5995,7350,14016,181627,1207,25,34,0,0,2,0,0,25,14,0,2334,0,0,108527616,914878464,159767,3141,516539,22688,0,213,2832,4162
6342,7601,14048,181626,1206,24,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,516125,22688,0,51,503,477
6399,8744,14048,181655,1207,25,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,509093,22688,0,7157,11207,1743
22673,11185,14016,181651,1206,24,34,0,0,1,0,8,25,14,0,42,0,0,108527616,914878464,159767,3141,508487,22688,0,1477,2436,3181
8073,12230,13984,181646,1206,24,34,0,0,4,0,8,25,14,0,18,0,0,108527616,914878464,159767,3141,512073,22688,0,1644,2586,7030
6251,7037,14016,181648,1206,24,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,511709,22688,0,44,675,567
6023,7258,13984,181632,1206,24,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,512057,22688,0,669,1277,1998
6828,7831,14016,181627,1206,24,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,513900,22688,0,97,568,2861
5675,7027,13984,181627,1206,24,34,0,0,1,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,515400,22688,0,1499,1872,3414
6105,7186,14016,181635,1206,24,34,0,0,4,0,8,25,14,0,40,0,0,108527616,914878464,159767,3141,515253,22688,0,1600,2237,2229
6915,8244,14016,181636,1206,24,34,0,0,2,0,1,25,14,0,0,0,0,108527616,914878464,159767,3141,514642,22688,0,540,1196,1128
6634,8100,13984,181637,1206,24,34,0,0,3,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,514484,22688,0,330,918,775
5934,7044,13984,181636,1206,24,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,514382,22688,0,722,1003,794
19984,11865,14016,181609,1206,24,34,0,0,2,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,514570,22688,0,1742,2351,2528
5750,6850,14016,181609,1206,24,34,0,0,2,0,8,25,14,0,56,0,0,108527616,914878464,159767,3141,514403,22688,0,1483,2128,2314
10588,8510,14048,181610,1206,24,34,0,0,3,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,514179,22688,0,84,534,484
6411,7037,14048,181620,1206,24,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,514774,22688,0,815,1127,1455
6306,8071,14016,181621,1206,24,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,514629,22688,0,60,702,546
5962,7223,14048,181621,1206,24,34,0,0,2,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,514359,22688,0,1347,1876,1839
5917,7037,14016,181619,1206,24,34,0,0,2,0,8,25,14,0,10,0,0,108527616,914878464,159767,3141,514514,22688,0,1496,2031,2493
23047,15076,14016,181621,1206,24,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,514434,22688,0,214,604,614
5750,6855,14048,181634,1208,24,34,0,0,5,0,0,25,14,0,732,0,0,108527616,914878464,159767,3141,515129,22688,0,783,2069,1656
5948,7668,14048,181584,1206,24,34,0,0,2,0,1,25,14,0,48,0,0,108527616,914878464,159767,3141,515155,22688,0,1161,1436,1326
6056,6907,14016,181594,1206,24,34,0,0,2,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,515012,22688,0,1514,2190,1889
7395,13566,14016,181594,1206,24,34,0,0,4,0,8,25,14,0,86,0,0,108527616,914878464,159767,3141,509136,22688,0,8655,9616,2608
23036,12984,13984,181596,1206,24,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,509157,22688,0,102,650,717
8200,10517,13952,181596,1206,24,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,515217,22688,0,47,528,6713
6029,7690,13952,181595,1206,24,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,515059,22688,0,93,521,505
5860,7044,13984,180449,1206,24,34,0,0,2,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,517823,22688,0,1640,2199,5044
5880,6850,13984,180448,1206,24,34,0,0,3,0,8,25,14,0,22,0,0,108527616,914878464,159767,3141,518222,22688,0,1428,2160,2264
7254,11482,13984,180459,1206,24,34,0,0,1,0,0,25,14,0,4,0,0,108527616,914878464,159767,3141,518058,22688,0,450,1126,2306
36464,9471,14016,180459,1206,24,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,517958,22688,0,106,508,626
10980,94822,14016,180458,1206,24,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,517860,22688,0,1128,1954,1747
5745,7402,13984,180457,1206,24,34,0,0,2,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,517773,22688,0,1334,1904,1905
5865,6987,13952,180398,1206,24,34,0,0,1,0,8,25,14,0,22,0,0,108527616,914878464,159767,3141,517728,22688,0,1458,2236,2227
5885,7847,13984,180401,1206,24,34,0,0,4,0,9,25,14,0,0,0,0,108527616,914878464,159767,3141,517566,22688,0,1858,1955,1968
23076,12207,13984,181435,1206,24,34,0,0,2,0,0,25,14,0,2514,0,0,108527616,914878464,159767,3141,524693,22688,0,39894,63288,67971
6029,8256,14016,181457,1209,24,37,0,0,2,0,0,28,14,0,0,0,0,108527616,914878464,159767,3141,524064,22688,0,634,1281,778
5635,7995,14016,181454,1209,24,37,0,0,3,0,8,28,14,0,0,0,0,108527616,914878464,159767,3141,523703,22688,0,1325,1860,1855
5946,8192,14016,181454,1209,24,37,0,0,2,0,8,28,14,0,46,0,0,108527616,914878464,159767,3141,523424,22688,0,1705,2631,2656
6361,8622,14016,181456,1209,24,37,0,0,2,0,0,28,14,0,0,0,0,108527616,914878464,159767,3141,523179,22688,0,214,660,512
5946,7150,14016,181456,1209,24,37,0,0,1,0,0,28,14,0,0,0,0,108527616,914878464,159767,3141,523011,22688,0,50,509,484
5880,6850,13984,181452,1206,24,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,522773,22688,0,1565,2033,1677
6177,7643,13984,181426,1206,24,34,0,0,2,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,522605,22688,0,1535,2107,2461
7140,7712,13984,181438,1209,25,34,0,0,1,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,522507,22688,0,1599,2060,1926
6889,8036,13952,181439,1209,25,34,0,0,4,0,0,25,14,0,16,0,0,108527616,914878464,159767,3141,521642,22688,0,1231,1740,832
10539,14086,13952,181440,1209,25,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,522512,22688,0,191,1357,1265
23344,9329,13952,181440,1209,25,34,0,0,6,0,1,25,14,0,58,0,0,108527616,914878464,159767,3141,517308,22688,0,5676,5877,724
5962,7105,13920,181437,1209,25,34,0,0,1,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,517273,22688,0,1476,1847,2013
5860,7186,13952,181438,1209,25,34,0,0,5,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,517112,22688,0,1337,1886,2129
5750,6850,13952,181438,1209,25,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,520818,22688,0,27,510,4834
6146,7483,13984,181413,1209,25,34,0,0,4,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,521113,22688,0,556,1176,1427
5990,7044,13984,181412,1209,25,34,0,0,8,1,0,25,14,0,548,0,0,108527616,914878464,159767,3141,520489,22688,0,223,1245,1261
5635,7129,13984,181409,1209,25,34,0,0,2,0,1,25,14,0,30,0,0,108527616,914878464,159767,3141,520447,22688,0,1755,2201,2368
9712,20771,14016,181412,1209,25,34,0,0,3,0,15,25,14,0,36,0,0,108527616,914878464,159767,3141,514801,22688,0,9298,11082,5604
5995,6850,14016,181412,1209,25,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,514569,22688,0,49,494,495
6023,7037,13984,181412,1209,25,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,514221,22688,0,439,794,818
23678,13466,14016,181414,1209,25,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,514112,22688,0,78,708,560
5750,6968,14016,181377,1209,25,34,0,0,3,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,520009,22688,0,486,961,6792
5880,7056,14048,181386,1209,25,34,0,0,1,0,17,25,14,0,12,0,0,108527616,914878464,159767,3141,519468,22688,0,3222,3616,3767
5860,7186,14016,181386,1209,25,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,519431,22688,0,197,499,501
7080,7224,14016,181386,1209,25,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,520477,22688,0,1530,2013,1812
9566,11481,13856,181155,1207,27,34,0,0,3,0,3,25,14,62,440,81920,0,108527616,914878464,168979,3141,525932,22688,22,1550,3031,16009
16127,9527,13856,181156,1207,27,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,169007,3141,525086,22688,0,905,1498,886
8422,11915,13824,180029,1200,24,34,0,0,2,0,16,25,14,0,36,0,0,108527616,914878464,169007,3141,526848,22688,0,2908,3554,5371
23334,13071,13856,180038,1200,24,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,169007,3141,526429,22688,0,256,1220,1145
5917,6900,13856,180002,1200,24,34,0,0,4,0,0,25,14,0,0,0,0,108527616,914878464,169007,3141,526658,22688,0,119,621,1107
6207,8480,13792,180002,1200,24,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,169007,3141,526612,22688,0,87,506,479
25193,12302,13792,180002,1200,24,34,0,0,4,0,0,25,14,0,0,0,0,108527616,914878464,169007,3141,526577,22688,0,194,547,638
5750,6850,13824,180003,1200,24,34,0,0,1,0,16,25,14,0,22,0,0,108527616,914878464,169007,3141,529637,22688,0,2993,3993,7138
6708,8368,13856,179953,1200,24,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,169007,3141,530070,22688,0,88,1047,1070
6433,7414,13856,179951,1200,24,34,0,0,3,0,1,25,14,0,0,0,0,108527616,914878464,169007,3141,530003,22688,0,499,629,1431
5750,6850,13824,179971,1200,24,34,0,0,1,0,0,25,14,0,558,0,0,108527616,914878464,169007,3141,530227,22688,0,1095,1999,1197
5860,7044,13824,179941,1200,24,34,0,0,5,0,0,25,14,0,0,0,0,108527616,914878464,169007,3141,529989,22688,0,581,1127,1010
5824,6992,13824,181018,1200,24,34,0,0,3,0,16,25,14,0,42,0,0,108527616,914878464,169007,3141,532418,22688,0,41238,63723,61544
5880,7326,13824,181018,1200,24,34,0,0,1,0,0,25,14,0,20,0,0,108527616,914878464,169007,3141,532181,22688,0,103,558,890
5860,7044,13856,181016,1200,24,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,169007,3141,532125,22688,0,340,744,919
22588,14209,13824,181017,1200,24,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,169007,3141,531957,22688,0,158,602,584
19864,16017,13824,181017,1200,24,34,0,0,3,0,0,25,14,0,0,0,0,108527616,914878464,169007,3141,525867,22688,0,6419,7405,1868
24321,11086,13888,181033,1200,24,34,0,0,3,0,15,25,14,0,0,0,0,108527616,914878464,169007,3141,524825,22688,0,2985,3985,3842
5750,6987,13856,181027,1200,24,34,0,0,1,0,1,25,14,0,18,0,0,108527616,914878464,169007,3141,524412,22688,0,233,1025,1163
5966,7383,13856,181000,1200,24,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,169007,3141,529161,22688,0,470,825,7309
6396,7173,13856,181081,1204,24,34,0,0,1,0,18,25,14,0,0,0,0,108527616,914878464,169007,3141,524316,22688,0,8037,11854,4222
5816,6713,13824,181080,1204,24,34,0,0,1,0,0,25,14,0,720,0,0,108527616,914878464,169007,3141,524763,22688,0,95,2338,2500
7599,13748,13824,181067,1204,24,34,0,0,1,0,9,25,14,0,68,0,0,108527616,914878464,169007,3141,520001,22688,0,7618,8578,3597
5820,6850,13824,181065,1204,24,34,0,0,2,0,8,25,14,0,12,0,0,108527616,914878464,169007,3141,520564,22688,0,1539,1928,3744
6113,7955,13824,181076,1204,24,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,169007,3141,520359,22688,0,158,760,490
6159,7332,13824,181072,1204,24,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,169007,3141,527826,22688,0,80,570,8676
11712,12686,13824,181026,1205,24,34,0,0,1,0,0,25,15,0,20,0,0,108527616,914878464,169007,3141,527480,22688,0,100,618,1155
28662,18141,13856,181185,1222,24,34,0,0,1,0,45,25,16,0,16,0,0,108527616,914878464,169007,3141,535556,22688,0,16482,16765,19995
6741,6976,13888,181188,1222,24,34,0,0,2,0,8,25,16,0,4,0,0,108527616,914878464,169007,3141,534712,22688,0,1513,2231,2015
22621,13118,13856,181188,1222,24,34,0,0,2,0,0,25,16,0,0,0,0,108527616,914878464,169007,3141,534547,22688,0,65,556,2124
21046,7786,13888,181189,1222,24,34,0,0,1,0,0,25,16,0,0,0,0,108527616,914878464,169007,3141,533966,22688,0,392,2939,3059
10521,94599,13888,181201,1222,24,34,0,0,2,0,0,25,16,0,0,0,0,108527616,914878464,169007,3141,532725,22688,0,1106,2135,1923
