"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/disk_aio_swap_fs_raw_vm.csv --disk --aio --swap --fs --raw --vm 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"dsk/total",,"async","swap",,"filesystem",,"raw","virtual memory",,,
0,0,0,1835008,1021571072,13152,341374,0,0,1647,1973,1727
0,0,0,1835008,1021571072,13152,341374,0,0,23,91,107
8192,2301952,0,1835008,1021571072,13152,341374,0,0,6,626,493
0,0,0,1835008,1021571072,13152,341417,0,0,6955,7761,5879
0,0,0,1835008,1021571072,13152,341447,0,0,417,1025,663
0,0,0,1835008,1021571072,13152,341448,0,0,1374,1705,1454
0,0,0,1835008,1021571072,13152,341449,0,0,1472,1321,2875
24576,4038656,0,1835008,1021571072,13152,341448,0,0,319,578,826
0,0,0,1835008,1021571072,13152,341466,0,0,2965,4605,5239
0,0,0,1835008,1021571072,13152,341467,0,0,22,360,121
0,0,0,1835008,1021571072,13152,341465,0,0,1273,1354,1496
0,0,0,1835008,1021571072,13184,341539,0,0,5681,6886,6020
8192,3268608,0,1835008,1021571072,13184,341540,0,0,32,660,500
0,0,0,1835008,1021571072,13184,341540,0,0,1311,1657,1528
0,0,0,1835008,1021571072,13184,341557,0,0,17,1045,1308
0,401408,0,1835008,1021571072,13184,341560,0,0,1890,1995,3345
0,0,0,1835008,1021571072,13184,341560,0,0,8,358,221
0,2547712,0,1835008,1021571072,13184,341562,0,0,39,500,497
0,0,0,1835008,1021571072,13216,341629,0,0,7157,8807,9871
0,0,0,1835008,1021571072,13216,341630,0,0,323,355,93
0,557056,0,1835008,1021571072,13216,341629,0,0,1732,1582,1737
0,0,0,1835008,1021571072,13216,341628,0,0,25,90,390
0,3366912,0,1835008,1021571072,13216,341631,0,0,20,716,572
0,0,0,1835008,1021571072,13216,341643,0,0,1857,1951,1568
0,0,0,1835008,1021571072,13216,341640,0,0,29,122,92
0,0,0,1835008,1021571072,13216,341667,0,0,1630,2192,2038
0,483328,0,1835008,1021571072,13216,341712,0,0,2716,3872,3306
0,0,0,1835008,1021571072,13216,341713,0,0,343,373,87
0,3637248,0,1835008,1021571072,13216,341722,0,0,1139,1718,1357
0,0,0,1835008,1021571072,13216,341686,0,0,184,372,974
0,0,0,1835008,1021571072,13216,341694,0,0,1501,1609,1595
0,622592,0,1835008,1021571072,13216,341696,0,0,324,467,188
0,0,0,1835008,1021571072,13216,341724,0,0,1236,1657,4529
0,1998848,0,1835008,1021571072,13216,341770,0,0,5223,6615,1387
0,0,0,1835008,1021571072,13216,341769,0,0,1289,1658,1867
0,0,0,1835008,1021571072,13216,341769,0,0,1605,1369,1347
0,0,0,1835008,1021571072,13216,341741,0,0,31,256,1710
0,475136,0,1835008,1021571072,13216,341682,0,0,24,220,3121
0,4317184,0,1835008,1021571072,13216,341692,0,0,132,1037,1457
0,0,0,1835008,1021571072,13216,341719,0,0,2058,2176,2706
0,0,0,1835008,1021571072,13216,341720,0,0,1282,1548,1645
0,0,0,1835008,1021571072,13216,341765,0,0,6271,7354,1426
0,835584,0,1835008,1021571072,13216,341766,0,0,30,476,183
16384,3514368,0,1835008,1021571072,13216,341697,0,0,318,529,955
0,0,0,1835008,1021571072,13216,341698,0,0,1298,1496,1379
0,0,0,1835008,1021571072,13216,341717,0,0,4092,5876,8480
0,0,0,1835008,1021571072,13216,341745,0,0,1182,1625,2565
0,696320,0,1835008,1021571072,13216,341745,0,0,324,323,437
8192,1425408,0,1835008,1021571072,13216,341792,0,0,5255,6817,1846
0,0,0,1835008,1021571072,13216,341792,0,0,1320,1378,1940
0,0,0,1835008,1021571072,13216,341791,0,0,1277,1501,1637
0,0,0,1835008,1021571072,13216,341791,0,0,341,114,84
0,0,0,1835008,1021571072,13216,341792,0,0,7,467,292
24576,3801088,0,1835008,1021571072,13216,341830,0,0,675,1633,8610
0,0,0,1835008,1021571072,13248,341829,0,0,1354,1552,1624
0,0,0,1835008,1021571072,13248,341829,0,0,1592,1382,1429
0,0,0,1835008,1021571072,13248,341876,0,0,5288,6742,2674
0,0,0,1835008,1021571072,13248,341875,0,0,502,323,738
8192,4046848,0,1835008,1021571072,13248,341876,0,0,5,652,591
0,417792,0,1835008,1021571072,13248,342021,0,0,14318,13944,7547
0,0,0,1835008,1021571072,13248,342063,0,0,3662,4565,3827
0,0,0,1835008,1021571072,13248,342063,0,0,27,234,457
0,0,0,1835008,1021571072,13248,342063,0,0,348,2388,2279
0,3481600,0,1835008,1021571072,13280,342110,0,0,964,2574,1549
0,540672,0,1835008,1021571072,13280,342109,0,0,1298,1483,1478
0,0,0,1835008,1021571072,13280,342108,0,0,2814,2765,2986
0,0,0,1835008,1021571072,13280,342111,0,0,30,377,89
0,0,0,1835008,1021571072,13280,342140,0,0,1498,1818,2699
0,0,0,1835008,1021571072,13280,342149,0,0,138,252,366
0,3301376,0,1835008,1021571072,13280,342148,0,0,1856,2397,2244
0,0,0,1835008,1021571072,13280,342148,0,0,1270,1632,1539
0,0,0,1835008,1021571072,13280,342194,0,0,5462,6381,3229
0,0,0,1835008,1021571072,13280,342194,0,0,34,260,355
0,0,0,1835008,1021571072,13280,342195,0,0,20,366,176
0,4005888,0,1835008,1021571072,13312,342162,0,0,2707,3682,4985
0,0,0,1835008,1021571072,13216,342011,0,0,1672,1690,9837
0,0,0,1835008,1021571072,13216,342021,0,0,496,624,438
0,0,0,1835008,1021571072,13216,341993,0,0,27,439,3860
0,0,0,1835008,1021571072,13248,341994,0,0,4860,6103,1813
0,4431872,0,1835008,1021571072,13248,341992,0,0,1366,1926,2181
0,909312,0,1835008,1021571072,13248,341991,0,0,1429,1488,1617
0,0,0,1835008,1021571072,13248,342021,0,0,1444,2102,2394
0,1138688,0,1835008,1021571072,13248,342021,0,0,398,821,807
0,0,0,1835008,1021571072,13248,342043,0,0,3530,5124,2947
0,1400832,0,1835008,1021571072,13248,342014,0,0,1476,1576,1923
0,622592,0,1835008,1021571072,13216,342016,0,0,1288,1903,4992
0,0,0,1835008,1021571072,13184,342015,0,0,5292,6389,3606
0,0,0,1835008,1021571072,13184,342014,0,0,95,103,221
0,0,0,1835008,1021571072,13184,342040,0,0,2086,2706,1482
0,4186112,0,1835008,1021571072,13184,342037,0,0,1343,2086,4399
0,163840,0,1835008,1021571072,13184,342043,0,0,1157,1205,1228
0,0,0,1835008,1021571072,13184,342017,0,0,791,915,1529
0,0,0,1835008,1021571072,13184,342019,0,0,158,489,376
0,0,0,1835008,1021571072,13184,342018,0,0,1494,2620,2717
0,4980736,0,1835008,1021571072,13152,342017,0,0,1748,2152,2264
0,729088,0,1835008,1021571072,13152,342047,0,0,1100,1846,382
0,0,0,1835008,1021571072,13152,342048,0,0,1566,1531,1382
0,0,0,1835008,1021571072,13152,342047,0,0,22,91,360
0,0,0,1835008,1021571072,13152,342056,0,0,181,287,236
0,3121152,0,1835008,1021571072,13152,342031,0,0,1431,2166,1983
0,458752,0,1835008,1021571072,13152,342032,0,0,252,290,157
0,0,0,1835008,1021571072,13152,342031,0,0,6341,7441,4302
0,655360,0,1835008,1021571072,13152,342060,0,0,393,1216,6030
0,0,0,1835008,1021571072,13152,342061,0,0,75,238,103
0,3465216,0,1835008,1021571072,13152,342060,0,0,1544,1807,2055
0,0,0,1835008,1021571072,13152,342059,0,0,20,85,244
0,0,0,1835008,1021571072,13152,342042,0,0,1845,2106,4091
0,524288,0,1835008,1021571072,13152,342043,0,0,75,307,172
0,0,0,1835008,1021571072,13184,342087,0,0,5514,6372,3174
24576,2310144,0,1835008,1021571072,13216,342070,0,0,2460,3442,6423
0,0,0,1835008,1021571072,13216,342069,0,0,4,289,164
0,0,0,1835008,1021571072,13216,342066,0,0,1368,1434,2591
0,0,0,1835008,1021571072,13216,341977,0,0,252,118,5059
0,868352,0,1835008,1021571072,13216,341988,0,0,135,598,231
0,0,0,1835008,1021571072,13216,341988,0,0,1317,1442,1428
16384,1900544,0,1835008,1021571072,13216,341942,0,0,75,470,945
0,0,0,1835008,1021571072,13216,342015,0,0,7310,8625,6060
0,0,0,1835008,1021571072,13216,342016,0,0,22,341,100
0,770048,0,1835008,1021571072,13216,342019,0,0,317,521,355
0,90112,0,1835008,1021571072,13216,342018,0,0,1373,1375,1630
32768,3342336,0,1835008,1021571072,13216,341988,0,0,275,525,768
0,0,0,1835008,1021571072,13184,342010,0,0,3476,5459,3315
0,0,0,1835008,1021571072,13184,342011,0,0,5,224,94
0,0,0,1835008,1021571072,13184,342038,0,0,2381,3759,3478
0,0,0,1835008,1021571072,13184,342037,0,0,1553,1704,1574
8192,5513216,0,1835008,1021571072,13184,342040,0,0,1547,2190,2053
0,0,0,1835008,1021571072,13184,342037,0,0,1291,1400,1624
0,0,0,1835008,1021571072,13184,342008,0,0,73,101,781
0,0,0,1835008,1021571072,13216,342020,0,0,397,424,381
0,0,0,1835008,1021571072,13216,342021,0,0,1316,1637,1401
0,1351680,0,1835008,1021571072,13216,342047,0,0,1865,2197,2348
0,0,0,1835008,1021571072,13248,342046,0,0,6325,7406,5860
0,0,0,1835008,1021571072,13248,342048,0,0,292,327,881
0,0,0,1835008,1021571072,13248,342021,0,0,22,361,248
0,0,0,1835008,1021571072,13248,342018,0,0,1303,1372,1767
0,6488064,0,1835008,1021571072,13248,342018,0,0,100,926,888
0,0,0,1835008,1021571072,13248,342030,0,0,1619,1922,6624
0,0,0,1835008,1021571072,13248,342057,0,0,1194,1605,963
0,0,0,1835008,1021571072,13248,342056,0,0,5340,6456,2125
0,0,0,1835008,1021571072,13248,342063,0,0,688,597,481
0,4489216,0,1835008,1021571072,13248,342060,0,0,955,1884,1683
0,0,0,1835008,1021571072,13248,342031,0,0,1301,1371,1640
0,0,0,1835008,1021571072,13248,342029,0,0,3,89,357
0,0,0,1835008,1021571072,13248,342040,0,0,445,497,1618
0,0,0,1835008,1021571072,13248,342070,0,0,1443,1929,1048
0,860160,0,1835008,1021571072,13248,342067,0,0,1314,1506,2774
0,0,0,1835008,1021571072,13248,342067,0,0,4237,5363,5407
0,0,0,1835008,1021571072,13248,342040,0,0,99,516,428
0,0,0,1835008,1021571072,13248,342038,0,0,252,87,209
0,0,0,1835008,1021571072,13248,341977,0,0,29,144,1960
0,4317184,0,1835008,1021571072,13248,341978,0,0,1324,2079,4953
0,0,0,1835008,1021571072,13248,342019,0,0,3128,3829,1867
0,0,0,1835008,1021571072,13248,342017,0,0,253,79,460
0,0,0,1835008,1021571072,13248,342017,0,0,5319,6407,1127
0,0,0,1835008,1021571072,13248,342019,0,0,7,486,97
0,0,0,1835008,1021571072,13248,341991,0,0,1663,1708,2328
0,4808704,0,1835008,1021571072,13248,341988,0,0,1545,1878,2329
0,0,0,1835008,1021571072,13248,341988,0,0,22,91,132
0,0,0,1835008,1021571072,13216,342037,0,0,3411,5583,4946
0,802816,0,1835008,1021571072,13216,342039,0,0,154,624,291
0,0,0,1835008,1021571072,13216,341990,0,0,1550,1388,2198
0,2473984,0,1835008,1021571072,13216,342036,0,0,6530,7964,3235
0,0,0,1835008,1021571072,13216,342010,0,0,29,497,218
0,0,0,1835008,1021571072,13216,342010,0,0,72,100,94
0,655360,0,1835008,1021571072,13216,342013,0,0,256,369,723
0,0,0,1835008,1021571072,13216,342041,0,0,2428,3625,2500
0,2506752,0,1835008,1021571072,13216,342053,0,0,1317,3045,5092
0,0,0,1835008,1021571072,13216,342052,0,0,484,1034,1164
0,0,0,1835008,1021571072,13216,342051,0,0,4505,6090,5133
0,819200,0,1835008,1021571072,13216,342025,0,0,29,1393,1160
0,0,0,1835008,1021571072,13216,342025,0,0,1304,2213,6432
0,5496832,0,1835008,1021571072,13216,342022,0,0,1310,2902,5339
0,0,0,1835008,1021571072,13216,342050,0,0,1451,2396,1242
0,0,0,1835008,1021571072,13216,342062,0,0,34,1338,1132
0,0,0,1835008,1021571072,13216,342078,0,0,29,1991,2081
0,532480,0,1835008,1021571072,13216,342070,0,0,1293,2306,2640
0,3825664,0,1835008,1021571072,13216,342037,0,0,6413,8727,5934
0,0,0,1835008,1021571072,13216,342039,0,0,25,1212,1521
0,0,0,1835008,1021571072,13216,342036,0,0,3,873,1274
0,0,0,1835008,1021571072,13216,342065,0,0,894,1996,1382
0,868352,0,1835008,1021571072,13216,342066,0,0,1643,2716,2431
0,1490944,0,1835008,1021571072,13216,342076,0,0,1452,2559,2868
0,0,0,1835008,1021571072,13216,342046,0,0,4,863,1383
0,0,0,1835008,1021571072,13216,342047,0,0,4877,6911,3489
0,0,0,1835008,1021571072,13216,342044,0,0,356,771,638
0,688128,0,1835008,1021571072,13216,342044,0,0,2850,2731,2723
0,2334720,0,1835008,1021571072,13216,342011,0,0,1980,2787,10199
0,0,0,1835008,1021571072,13216,342012,0,0,6,233,100
0,0,0,1835008,1021571072,13216,342013,0,0,325,415,282
0,770048,0,1835008,1021571072,13216,341994,0,0,861,1103,1746
0,0,0,1835008,1021571072,13216,341999,0,0,1320,1509,1379
0,3899392,0,1835008,1021571072,13216,341995,0,0,6751,8487,3981
0,0,0,1835008,1021571072,13216,341994,0,0,653,1541,1420
0,0,0,1835008,1021571072,13216,342021,0,0,1860,2317,4396
0,843776,0,1835008,1021571072,13216,342022,0,0,16,325,197
0,0,0,1835008,1021571072,13216,342022,0,0,1319,1640,1509
0,0,0,1835008,1021571072,13088,342980,0,0,56074,77475,33432
