"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/sys_proc_mem.csv --sys --proc --mem 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"system",,"procs",,,"memory usage",,,
1487,21726,0,0,9,3266240512,2044174336,195928064,10624749568
786,1560,0,0,0,3259252736,2050412544,195928064,10626490368
767,1228,0,0,0,3259727872,2049925120,195940352,10625966080
784,1743,0,0,0,3274625024,2034212864,195944448,10626576384
835,2338,2,0,8,3274797056,2033778688,195944448,10627629056
858,2397,2,0,8,3274473472,2034102272,195944448,10626830336
639,1053,0,0,0,3274690560,2033872896,195944448,10627051520
795,2048,2,0,0,3274608640,2033954816,195944448,10627584000
1022,2166,3,0,0,3249741824,2058088448,195964928,10628288512
854,2605,0,0,8,3250434048,2057396224,195964928,10627756032
1050,2813,0,0,8,3250540544,2057277440,195964928,10627776512
975,2459,0,0,0,3266166784,2040594432,195964928,10629615616
694,1237,0,0,1,3266101248,2040655872,195964928,10628562944
667,1317,1,0,0,3266277376,2040463360,195977216,10628837376
1734,6037,0,0,36,3274280960,2032435200,195985408,10636931072
1181,3445,2,0,8,3277242368,2028838912,195985408,10638487552
639,1048,0,0,0,3278155776,2027831296,195985408,10638303232
648,1535,0,0,0,3276808192,2029174784,195985408,10637791232
766,1761,0,0,0,3278286848,2026610688,195985408,10639966208
911,2486,0,0,8,3280031744,2024845312,195993600,10639691776
1160,4602,2,0,16,3281305600,2023567360,195993600,10638897152
581,1064,0,0,0,3281514496,2023362560,195993600,10639101952
892,2502,2,0,0,3275767808,2028535808,195993600,10640465920
618,1062,0,0,0,3276374016,2027786240,195993600,10639601664
1273,3295,1,0,9,3278864384,2025254912,196018176,10639888384
837,2362,0,0,8,3278827520,2025279488,196018176,10640609280
777,1633,2,0,0,3291885568,2011140096,196018176,10641408000
621,1117,0,0,0,3291865088,2011156480,196018176,10640879616
584,1013,1,0,0,3291865088,2011156480,196018176,10640879616
1124,3260,3,2,8,3290427392,2012491776,196026368,10641747968
1291,3198,3,0,8,3266220032,2036576256,196030464,10632986624
621,1090,2,0,0,3265507328,2037194752,196030464,10632826880
678,1891,0,0,0,3247390720,2055852032,196030464,10632552448
799,1567,0,0,0,3263909888,2039361536,196030464,10633371648
930,2691,0,0,8,3265867776,2037399552,196034560,10632507392
827,2406,0,0,8,3266347008,2036895744,196046848,10632003584
766,1524,0,0,0,3262345216,2040274944,196046848,10633416704
691,1960,0,0,1,3264110592,2038509568,196046848,10633142272
922,19857,0,0,0,3264606208,2037776384,196046848,10632863744
861,2593,0,0,8,3265122304,2037796864,196050944,10632065024
897,2540,0,0,8,3257774080,2045120512,196063232,10633392128
832,1639,0,0,0,3270004736,2032848896,196063232,10632642560
655,1225,2,0,0,3270246400,2032603136,196063232,10632380416
864,2428,0,0,0,3268603904,2033635328,196063232,10633531392
1226,3140,2,0,8,3263217664,2038988800,196096000,10634240000
765,2046,2,0,4,3263418368,2038759424,196112384,10633453568
732,1789,1,0,4,3263705088,2038915072,196112384,10632495104
589,1050,0,0,0,3262537728,2040082432,196112384,10633285632
762,1567,0,0,0,3260493824,2042060800,196112384,10633048064
935,2572,1,0,9,3261870080,2040651776,196116480,10632556544
965,1922,0,0,0,3261628416,2040246272,196128768,10632974336
749,2213,0,0,8,3264692224,2037243904,196128768,10634227712
563,1039,0,0,0,3264909312,2037026816,196128768,10633687040
559,973,0,0,0,3264856064,2037080064,196128768,10633420800
1009,3914,0,0,8,3266125824,2036240384,196128768,10633547776
798,1413,1,0,0,3266392064,2035957760,196141056,10634121216
1066,3081,0,0,8,3280666624,2021646336,196141056,10632560640
723,1574,0,0,0,3264495616,2037190656,196161536,10633965568
634,1060,0,0,0,3264946176,2036715520,196161536,10634723328
867,2593,4,0,8,3264561152,2037100544,196165632,10633920512
659,1124,0,0,0,3264729088,2036928512,196165632,10633408512
886,2409,1,0,9,3256520704,2045587456,196165632,10633748480
685,1219,0,0,0,3257950208,2044133376,196177920,10634285056
737,1552,1,0,0,3268554752,2032721920,196177920,10633760768
968,2822,2,0,8,3251933184,2049474560,196177920,10633371648
873,2220,0,0,0,3252617216,2048774144,196190208,10634424320
858,2356,0,0,8,3251941376,2049437696,196190208,10633895936
570,1037,0,0,0,3236765696,2065690624,196190208,10632503296
663,1038,1,0,0,3237154816,2065301504,196202496,10632232960
952,3379,0,0,8,3238047744,2064318464,196202496,10633371648
784,1535,1,0,0,3239895040,2063470592,196214784,10632085504
1258,3270,0,0,8,3243081728,2058600448,196214784,10633252864
587,1044,0,0,0,3244060672,2057621504,196214784,10632994816
629,1090,0,0,1,3244314624,2057363456,196227072,10634035200
868,2372,2,0,8,3244462080,2057203712,196235264,10633895936
770,1518,0,0,0,3244199936,2057977856,196255744,10632581120
1218,21306,0,0,8,3245436928,2056499200,196255744,10633814016
618,1126,0,0,0,3245387776,2056540160,196255744,10634088448
910,2072,5,0,0,3243184128,2058293248,196255744,10633998336
839,2401,0,0,8,3244314624,2056933376,196255744,10633715712
1069,4042,0,0,8,3247820800,2053394432,196272128,10634518528
815,2248,0,0,8,3248766976,2052448256,196272128,10634178560
568,1042,0,0,0,3248975872,2052771840,196272128,10633195520
690,1204,0,0,0,3249401856,2052288512,196272128,10633093120
778,2380,0,0,8,3250397184,2051293184,196272128,10634665984
875,1827,0,0,0,3249053696,2051985408,196284416,10633957376
985,2798,0,0,9,3248939008,2052059136,196284416,10633756672
798,2020,1,0,0,3247865856,2053132288,196284416,10633957376
535,1028,1,0,0,3249676288,2051854336,196284416,10634731520
666,1703,1,0,4,3250315264,2051215360,196284416,10633400320
1066,2806,0,0,4,3249283072,2052210688,196313088,10633166848
902,2240,2,0,8,3229290496,2072100864,196313088,10633535488
845,1677,4,0,0,3228598272,2072166400,196313088,10635468800
805,1471,2,0,0,3246501888,2054483968,196313088,10633916416
630,1156,0,0,0,3246727168,2053996544,196313088,10634002432
892,2561,1,0,8,3248480256,2052231168,196325376,10635640832
787,2291,0,0,8,3249016832,2052231168,196325376,10634838016
551,1019,2,0,0,3249246208,2052001792,196325376,10633773056
783,1356,0,0,1,3247030272,2054123520,196325376,10633826304
932,2710,1,0,0,3248877568,2051653632,196325376,10635755520
984,2580,0,0,8,3245625344,2054905856,196337664,10634412032
1008,3063,1,0,8,3243413504,2057048064,196337664,10634240000
651,1136,0,0,0,3244466176,2056577024,196337664,10635014144
593,1064,0,0,0,3244486656,2056622080,196337664,10634866688
629,1067,0,0,0,3243061248,2058575872,196337664,10633015296
966,2770,1,0,8,3226226688,2075385856,196349952,10633043968
1174,4035,0,0,9,3226996736,2073907200,196349952,10635325440
579,1020,0,0,0,3227238400,2073661440,196349952,10633998336
715,1491,0,0,0,3248152576,2052501504,196349952,10634002432
575,1068,0,0,0,3249119232,2051739648,196349952,10634321920
1154,3382,0,0,9,3248603136,2052792320,196349952,10634833920
892,2653,0,0,8,3248529408,2052849664,196362240,10633506816
568,1010,0,0,0,3248504832,2052874240,196362240,10633265152
915,20090,2,0,0,3240210432,2060550144,196362240,10634149888
890,2248,1,0,0,3240669184,2059816960,196370432,10635722752
976,2621,0,0,8,3241181184,2060103680,196370432,10633527296
1064,3267,0,0,8,3259437056,2041008128,196370432,10634125312
556,970,0,0,0,3259715584,2041274368,196370432,10633846784
671,1171,0,0,0,3260391424,2040598528,196370432,10635153408
822,1413,0,0,0,3258945536,2042019840,196382720,10633834496
1912,4492,1,0,8,3262722048,2037624832,196382720,10634342400
2032,5060,1,0,8,3262160896,2038091776,196382720,10636009472
1778,2986,0,0,1,3261820928,2038431744,196382720,10635743232
1582,3140,0,0,0,3271258112,2029215744,196382720,10634465280
1565,2732,0,0,0,3270725632,2030022656,196382720,10634207232
1872,4123,1,0,8,3257659392,2043072512,196395008,10635517952
1872,4445,2,0,8,3246383104,2054348800,196395008,10633920512
1791,3198,7,0,0,3247001600,2053103616,196395008,10634506240
1625,2849,1,0,0,3248504832,2051588096,196395008,10635841536
1791,3005,8,0,0,3248603136,2051391488,196395008,10635722752
2172,5426,0,0,8,3248300032,2051678208,196403200,10634874880
2243,5813,2,0,8,3257008128,2043486208,196403200,10634108928
1782,3626,0,0,0,3258195968,2042286080,196403200,10635694080
1458,2612,0,0,0,3257950208,2042527744,196403200,10634100736
1762,3305,1,0,0,3258859520,2040995840,196403200,10634747904
1877,4285,0,0,9,3259564032,2040274944,196415488,10636324864
1809,4090,3,0,8,3257069568,2042662912,196419584,10636427264
1537,2736,0,0,0,3258093568,2042187776,196419584,10634547200
1623,3170,2,0,0,3263967232,2036535296,196419584,10634608640
1124,1938,0,0,0,3264204800,2036039680,196419584,10634600448
1211,4611,1,0,16,3265638400,2034581504,196431872,10635403264
1029,2984,2,0,8,3235229696,2064891904,196431872,10634702848
641,1155,2,0,0,3235811328,2064363520,196431872,10634956800
845,2014,0,0,0,3236028416,2064142336,196431872,10635743232
756,1463,0,0,0,3232272384,2068332544,196452352,10634231808
944,2534,0,0,8,3233628160,2066964480,196452352,10634518528
1485,3954,0,0,8,3252457472,2048090112,196452352,10634555392
808,1307,0,0,1,3251290112,2049261568,196452352,10635268096
825,1579,0,0,0,3241988096,2057932800,196452352,10634833920
648,1292,1,0,0,3242930176,2056978432,196464640,10635108352
916,2478,2,0,8,3243593728,2056302592,196464640,10635902976
1932,33111,6,0,8,3462029312,1831956480,196464640,10641473536
